rank	username	minecraft:used/minecraft:bamboo
221	WildTamara	81
224	DarlaMeow	80
225	H72l9w	79
225	hanaryheatwave	79
225	epiksk8erduck	79
228	Will_Bee	78
229	youhjjhhhjj	76
229	TechnoNinja64	76
231	Barjas	74
232	KarlKaek	73
232	Lez_	73
232	xxPipperDipperxx	73
235	T045RTY	72
235	Notta	72
237	Euclidoris	71
237	imaginek1d	71
239	_Wannabe_	70
240	LikeableSausage	69
240	Useless_Relic	69
242	jushykins	67
242	Felenov	67
244	Matemax	66
245	gren_ben	65
245	MattieHD	65
245	GigaSl	65
248	Bucscw24	64
248	Xclax101	64
248	Bawbman	64
248	Kekoo	64
248	skrongus	64
253	Rebytre	63
253	DTwenty	63
253	XxCookiequeenxX	63
253	Segotep999	63
257	peachfuzz1267	62
257	MonitorLizards	62
257	HELLO_I_AM_BEAR	62
260	jessewegottacook	61
260	PhoenixAlpha	61
260	ori0le	61
260	ItsDeltaMC	61
260	Kowcio_	61
260	Kijiki	61
266	uprexcool	60
267	Dakota100	59
267	weabis	59
269	H0UNDFRMH3LL	58
269	heckface	58
271	FlashMigma	57
271	Zoeyfortnite	57
273	ProfessorBee	56
273	smogfrog	56
273	2blox_	56
276	Vellu21	55
276	00000000-0000-0000-0009-01ff0c3e5e4f	55
278	openatheclose	54
278	SteveCraftBlocks	54
278	HoltGrim	54
278	TheTrueClipse	54
278	Deathkob	54
278	Njensen7	54
284	Jovaphobic	53
284	MissCeleste7	53
286	Zielo2017PL	52
286	xolstoi	52
288	godipose	51
288	AstreaTSS	51
288	StinkyDiplomat	51
288	PortlyPete69	51
292	ZaneABrain	50
292	Studyhallsaver	50
292	Spenduh	50
295	Cryptacity	49
295	IROMAKKEM	49
295	AngalexikCZ	49
295	Chromary	49
295	DukBob	49
295	Kubeusz2010	49
