rank	username	minecraft:used/minecraft:iron_sword
145	Zaridey	891
146	_TCARREIRA_	887
147	2blox	883
148	DTwenty	881
149	LetsDoItLive	873
150	NYJ	871
151	GravitySaint	866
152	LordAurum	863
153	MineMaster0012	862
154	IWorkAtIkea	859
155	marumochis	857
156	Warlord324	852
157	The11thDoctor	850
158	binman420	846
159	Da_Boss_Rani	841
160	Jackattack53	839
161	Jokerman369	825
161	C0oOK13M0N5T3R	825
163	pintsizedrogue	821
163	groofles	821
165	Barry_All3n_	818
166	DeGodz4life	810
167	Ezekson	806
168	Hyugo	804
169	FreddyFart	803
170	regulator75	799
171	Crowman1	794
172	sp00ky_ghost977	789
173	aldplaysmc	787
174	o0z	786
175	Fast_Turtle	783
176	jacxhadow	780
177	Mowelan	779
178	33sudo	774
178	Hermanni__	774
180	Wooptey	768
181	TAKrules	767
181	eviltunix	767
183	laron58	764
184	Sky_light_KING	763
185	youhjjhhhjj	757
186	chrolus	754
187	cytotoxaint	752
188	AlexStrange	744
189	WarMachina	741
190	PabloGonza02	738
191	NotMeowMix	730
192	lOlmantschi	728
193	xorompole	727
194	CrookedKaptain	723
195	TTNG	716
195	cog	716
197	Kokeech	714
198	ivorico	713
199	SeverianTheLame	708
200	Ozixar	703
200	NarwhalTaco	703
202	XeroByMyth	702
203	CasperHxly	698
204	Strangemonkey71	696
205	Typadopoulos	692
206	Valoth	691
206	nitram49b	691
208	SaucyDark	690
209	tramizu	687
210	PlasticOtari	682
211	jushykins	681
211	kiluaemc	681
211	PortlyPete69	681
214	SvenskaAlvar	680
215	LeeMcGee30	679
216	SkateboardR6	678
216	Rainaldus	678
218	Chuglyfe	676
218	JohnPrice	676
220	fluddd	675
221	Barlycorn	674
222	fred870d	672
222	Toiton	672
224	Templar_David	670
225	Ristebraaten	663
226	swag_bro2004	660
226	MustaLoordi	660
228	ItzYaBoiPicard	659
229	purpolepickle	658
229	CharlieButt	658
231	Vetral1	656
232	Rumpletaezer	655
233	teslawolf38	652
233	_Gabae	652
233	AvaRosey	652
236	Ssor69	648
237	Nyxiom_	645
238	THExMuffinx	642
238	jaimshae	642
240	trixterrx	641
241	Stynxy	640
242	07shiny	634
243	set67	632
244	Hisiste	631
245	AuroraSkies	628
246	lolpoottoot	623
247	Megarboh	622
248	UrbanPlanner1978	620
249	rotten_mango	618
250	CliffEmAll	613
251	leaf26	612
252	UncleDanDan	611
253	DepressedCubic	608
253	m_be9	608
255	Jackywho	607
256	Queen_Jalapeno	603
257	madderfall	597
257	Moetis	597
257	Wolverine4302	597
260	chipklip	594
261	ProfessorBee	593
261	Katthaj	593
263	dopplexd	592
264	diamondgolem35	590
265	aec9	586
266	Septemb3r	584
267	TheBiggestFeller	583
267	Iagoku	583
269	Historical_Sand	578
270	ProfessorDiaper	574
271	seanitoo	573
272	maxdacatv2	571
272	Paleshield	571
272	Panoe	571
275	SvenskaHugo	570
276	Parcc	566
276	Inbefour	566
278	Deathkob	565
279	bluefragmentt	558
280	ToastedGamingYT	556
280	HuangMeiHua	556
282	Kymarmalade	554
282	mobunni	554
284	KlausVonStiglitz	552
284	Nycteus_	552
284	Erased_Identity	552
287	Seyaboy	550
288	sandmire	549
289	Akuzmi	546
290	himak1	545
291	Eraxa	544
292	Moofyman	543
293	JEWISHBadenBeele	541
294	epiksk8erduck	539
295	Mookle96	537
296	Poppy235	536
297	dudcreeper	533
297	starbits140	533
299	CarltheCuck	532
300	r123moore	527
