rank	username	minecraft:used/minecraft:diorite
142	I_Am_Mushkin	205
144	CrateOfBoxes	202
145	Inbefour	201
146	pr33tu	200
147	Zoeyfortnite	197
148	Groovy_MoonBird	196
149	Winklepicker279	195
150	ROY4LE	194
150	FelixPSY375	194
152	_Virify_	190
153	Deodorante	183
154	MattieHD	182
155	RodSerlingCringe	181
156	set67	178
157	TheEnderman548	176
158	GLLogan2	175
158	eiC_	175
158	platinumzero	175
161	Barlycorn	174
162	Hermanni__	172
163	Lutres_Torane	171
163	Leftsy	171
163	Kubeusz2010	171
166	ssleepless	169
166	cytotoxaint	169
168	thescout7	168
169	Wolverine4302	166
170	Jovaphobic	165
171	trexgb	163
172	BobDeBouwer1337	162
172	m_be9	162
172	Nicserso	162
175	Corbsman	160
176	cog	159
177	RebelAndroid	158
178	WyngGoy	152
179	Eraxa	151
180	Kubelz	148
181	DolphinLaugh	147
182	bloomkieren	146
183	6king6colt6	145
184	ProfessorBee	144
184	Omar_Alone	144
184	Strangemonkey71	144
187	SSytex_X	141
188	Segotep999	139
189	_Dean_123	137
190	AuroraValkyrie	136
191	Wowful	135
191	Groundler	135
193	SLASHZEERA	134
193	chipklip	134
195	SUN_DREAM	133
195	Erased_Identity	133
197	fingerguns__	132
197	CoffeeNoir	132
199	Mewar	131
200	RatatJuice	128
201	Nycteus_	127
202	CharlieButt	126
203	BumbleBeever	125
203	kinas45y5	125
205	Wooptey	124
206	fred870d	123
206	IdeallyGrey	123
206	PlzNoBM	123
209	Sleek_Storm_721	122
210	_Boipl_	121
211	Moetis	118
212	Optiprimus	117
213	hcb238	116
213	TheDankPlatypus	116
213	RadarHz	116
216	mwrty	111
217	Stiar	110
217	lizardfightclub	110
217	MightyWertu	110
220	livingdaydreams	109
220	MissCeleste7	109
222	bigstankyy	108
222	PegLegPete93	108
222	Rasmanden	108
225	LeauVox4921	104
225	fkGrim	104
225	__tomato	104
225	Sheldor097	104
229	picardred	103
229	MinttyFressh	103
229	33sudo	103
229	GlitchyPlate810	103
233	NinjaKnifeKill	102
233	_Nuf	102
233	Ze_BaronKrigler	102
236	Karetoko	101
236	Warlord324	101
238	sufjanlover	99
238	MakeHistory157	99
238	brofrickcheaters	99
238	Skippeh	99
242	TheBiggestFeller	98
242	MOSS000	98
244	Froste131	97
244	LitoDelvito	97
244	Maenara	97
244	Quotary	97
248	ILoveCarrot	94
248	lillips	94
250	0nly_sn1per	93
250	BronkerBrum	93
250	ClemenPine	93
250	censorsheep	93
250	anbbang	93
255	Noah_Bez	92
256	RobotMinion101	91
256	_naturell	91
256	Joestra	91
259	paranoid_plant	90
259	fr_ser	90
259	Shin69	90
262	BreadFruggis	89
262	killmeiamtraitor	89
264	Hoid_the_Roamer	88
264	The11thDoctor	88
264	Nagasaki_Riku	88
264	MineMaster0012	88
268	ThePoliteG	87
268	masskedman	87
268	IAmTheWalrus910	87
271	Quincannon	86
272	SlayerCrypto	85
272	KeruNatsema	85
272	MyNameIsDakar	85
275	benediktine1	84
275	_TCARREIRA_	84
277	Fildyr	83
277	stavgod	83
279	2blox	82
280	Toriankel	81
280	07shiny	81
282	SaucyDark	80
282	Vizzoid	80
282	AngalexikCZ	80
282	ayamefag	80
286	Smashic	79
286	Smiguli_	79
288	Bandito_Roamer	78
288	Seindi	78
290	Deathkob	77
291	Swexti	76
292	Karbl	75
293	NotMeowMix	74
293	KG1999	74
295	AshleeCW	73
295	Ryker	73
295	egglapras	73
295	Suraidu	73
295	jcool7	73
295	mediumBev	73
