rank	username	minecraft:used/minecraft:birch_log
172	PegLegPete93	58
172	HesDemonPants	58
174	CLG_Kata	57
175	teslawolf38	56
175	Killercatty78	56
177	Tommhh	55
177	NarwhalTaco	55
179	heckface	52
180	DrBalloon	50
180	NameGenerat0r	50
182	Masssonnn	49
182	killmeiamtraitor	49
184	thescout7	48
185	swag_bro2004	47
185	al626win52	47
187	MC_Gamer_Geek	46
187	Upstro10	46
187	Jij0	46
190	Euclidoris	45
190	GooseWithin	45
190	Vellu21	45
193	PigDab	44
194	Beagle_Boy	43
195	SecretSH	42
196	CollinMH06	41
196	E775	41
196	Optiprimus	41
199	corpsecity	40
199	KeruNatsema	40
199	Racengan	40
202	ROY4LE	39
203	EkkoTraveler	38
203	GreedyFern8581	38
205	RoskobiOne	37
206	excelsionprime	36
207	MindyDooWho	35
208	H0UNDFRMH3LL	33
208	fkGrim	33
208	WeebleSock	33
211	NatalieTW	32
211	whoaluv	32
211	DarkS0L	32
214	Krasnal1337	31
214	Da_Boss_Rani	31
214	Skylord_Luke	31
217	_Cloverbelle_	30
217	The_slideV3	30
217	bluefragmentt	30
217	AssFullaCum	30
221	Comma__	29
221	The11thDoctor	29
223	TheBiggestFeller	28
224	MakeHistory157	27
225	The_Quack_Dealer	25
226	CarltheCuck	24
226	Leyna3	24
226	RadarHz	24
229	q_wq	23
229	infiniteQuery	23
231	Patwannabegamer	22
232	Luigipunch989	21
232	00000000-0000-0000-0009-01f898304150	21
234	TheMaster972	20
234	MelodyGaysharks	20
236	Foof13	19
236	Iagoku	19
236	titanlax	19
236	SlayerCrypto	19
236	Ghemmah	19
236	Druid95	19
236	TheEnderMan548	19
243	swagcrayon	18
243	Awyrlas	18
243	olliebollie48	18
243	DemTechAlpha	18
243	Burge_r	18
248	2blox_	17
249	bigstankyy	16
249	Marbz_	16
249	blimpeey	16
252	Kkanot	15
252	Winston_Ingram	15
252	TechnoNinja64	15
255	Ailmast	14
255	fr0stss	14
255	MangoSalad316	14
258	eviltunix	13
258	Avrelion	13
258	vampgey	13
258	LeonelSalamanca	13
258	ese_wn_po	13
258	LordSpeed37	13
264	Napoleonpancake	12
264	jessewegottacook	12
264	Y_A_N_N_I	12
264	groofles	12
264	SpouHn	12
264	Avocadogerms	12
264	Typadopoulos	12
264	Eraxa	12
264	Sheldor097	12
273	CliffEmAll	11
273	kars0n	11
273	ooga47	11
273	DC_XII	11
273	07shiny	11
273	SkinnyBois	11
279	The_Fulgurator	10
279	Truckoss	10
279	YahooScreen9000	10
279	Tyrannosplart	10
279	censorsheep	10
279	LeEricc	10
279	BiggieDawg	10
286	himak1	9
286	Chazama	9
286	yulgur1	9
286	DanTheBuilderino	9
286	Blaiku	9
286	sp00ky_ghost977	9
286	IdeallyGrey	9
286	Segotep999	9
294	gren_ben	8
294	Wooptey	8
294	lotarp	8
294	Vizzoid	8
294	GingerNeutron	8
294	Winklepicker279	8
294	JitteryJared2	8
