rank	username	minecraft:used/minecraft:stone_axe
90	NieToksikpl	681
91	privatemeekly	680
92	heckface	679
93	SaucyDark	669
94	calamariclam_I	663
95	SammiWolfGirl	662
96	dendydoom	659
96	wwwwinnebagoooo	659
98	dongli	657
99	Myrosia	656
100	Powowowow	654
101	_k2x	649
102	Krimys	638
103	blackmage426	622
104	Minc_	616
105	Swexti	613
106	CaptainDeadBread	609
107	Paint	599
108	DiscardedCE	597
109	Kynigito	593
110	_Dean_123	587
110	binman420	587
112	majlin16	586
113	Soul_Atreus	580
114	Matorz	579
115	Fakiuss	568
115	Kymarmalade	568
117	Cortexia	563
118	ElderRifken	560
119	Pootis11	558
120	Whiterooster001	551
121	_Karmaa	544
122	IamCL4SSY	540
123	SKYPEX_	536
124	shdesolt	532
125	Gingayy	529
125	ADEXTV	529
127	Skyler_Diablo	528
127	ProfessorDiaper	528
129	squigglybones	525
129	Drawgirl	525
131	Akoot_	517
132	NarwhalTaco	513
133	olliebollie48	506
134	bruh072	496
135	bpmm	492
136	felincaus	490
137	Toriankel	485
138	AlphaWolfPlaysMC	483
139	fxiryglitch	480
140	epiksk8erduck	479
141	BigMoneyH	471
142	tortillatitan	470
143	Fast_Turtle	469
144	ArdaAslan02	463
145	rats_life	459
146	ashetrays	449
146	redikul	449
148	soundad	446
149	rarrq	438
150	Winklepicker279	435
150	DeeDeeThonk	435
150	Ghemmah	435
153	StanceTB	431
154	HoltGrim	424
154	satuern	424
156	brickman241	422
157	__Fanda__	420
158	madderfall	410
159	youhjjhhhjj	399
160	IWorkAtIkea	398
161	Wooptey	397
161	KermitTheKripple	397
163	DefiantDragon	396
163	VentiHilton	396
163	QueenOfDirt	396
166	FirsTimeGamingTV	394
166	H_O_M_H	394
168	Mr_Byzantine	393
168	2xil2	393
170	killerzant	392
170	blimpeey	392
172	VanJosh	391
173	SpicyMeatballs	390
173	c0la_c0ca	390
175	Felenov	389
176	nut_e	387
177	SSytex_X	384
178	Frozil20	383
179	IAmTheWalrus910	382
180	ratglock	381
180	okCrypto	381
180	bieeee	381
183	Notta	380
184	xolstoi	378
185	KarlKaek	376
186	Kowcio_	374
187	DASH_X7	373
188	LavenderBi1ch	372
189	Kubeusz2010	367
190	faulder	364
191	TheSeismicDuck	363
191	spencersolberg	363
193	Studyhallsaver	362
194	PizzaJake	358
195	ItsDeltaMC	357
196	FennYuzuna	356
196	SvenskaHugo	356
198	RedcatVII	354
199	Malorn_Aetherius	352
199	Ernnous	352
201	SHAOBADMAN	351
202	teslawolf38	348
202	Jackattack53	348
204	Ezekson	347
205	Quaintster	345
206	__lizi	344
206	hm947	344
206	Lord_Jord	344
209	OreoPenguin_	339
210	athereall	337
211	Choco_Spy	336
212	CACTUSLAD	335
213	Poppy235	333
214	Tyrannosplart	332
215	CaptainSteve345	330
215	Lord_Zacler	330
217	Fuhrer_Teemo	328
218	iElijah	325
219	Teebone15	322
220	Nab3rius	319
221	Prismyst	318
222	MovingFish7	316
223	Harotio	313
223	KillerNekoRain	313
225	duelcard	311
225	TheThomas69	311
227	_TCARREIRA_	310
228	Cryptacity	309
228	killmeiamtraitor	309
230	Jimi7hits	307
231	Meepcraft	305
232	AnnieBathory	303
232	fluddd	303
234	Invisie	300
235	Moofyman	299
236	WithoutPyr	298
237	LordAurum	297
238	Xclax101	294
239	Ravenbie	292
240	Justins_Juliet	291
241	Russiancat1	290
241	DamagedSin	290
243	Merv__	289
244	coobert42	287
245	BigBootyHudge	286
246	MunkaKris	283
246	Rumpletaezer	283
248	_stets	281
248	m_be9	281
250	tyraxxx	280
250	bladeefan2009	280
252	F_Uhre	274
253	Jokerman369	273
254	Reamdin	268
254	MinerDec	268
256	MinuteMira	267
256	Slapface522	267
256	HuangMeiHua	267
259	Jorrdi	266
259	grislgrobl	266
259	jambvds	266
262	_havick	265
262	CoffeeNoir	265
262	DrGrant	265
265	leaf26	264
265	slkiey	264
265	TahkoLive	264
265	Drewen24	264
265	Shoutur1	264
270	Icyyyyy	263
270	TakeThis2UrGrave	263
270	RoofTyler	263
270	sleepdrifter_	263
274	ShedJr_	262
274	paranoid_plant	262
274	cytotoxaint	262
274	Ossem	262
274	Deliriohm	262
279	weezygator	261
279	Lukeee33	261
279	wiqor	261
279	BreadFruggis	261
279	adeptius	261
279	SexcMf	261
285	ryan521	260
285	xX_Stalin69_Xx	260
287	Khelvoryk	259
287	Upstro10	259
289	Sleepy_Time_	258
290	Adlair	257
290	bitsplease	257
292	RoboTramp7865	256
293	SkateboardR6	254
294	BINKENSTOCK	253
295	LuceImaginary	252
296	Soplight	250
297	MusicMe1005	249
298	Professor_x8	248
299	Comma__	247
299	noam464	247
