rank	username	minecraft:used/minecraft:glass
163	sp00ky_ghost977	952
164	Druid95	937
165	BreadBacon	916
166	tsitrawhy	915
167	legal_tax_evader	905
168	Enderxz3	890
169	Akoot_	884
170	prizm_	844
171	purpolepickle	842
171	Kowcio_	842
173	yulgur1	826
173	KlausVonStiglitz	826
175	ItzYaBoiPicard	824
176	diggydog67	815
177	Racengan	802
178	ZeroAbyssTTV	779
179	_Nuf	775
180	Smashic	765
181	NotoriousNina	760
182	Darkgon	751
183	FishisTTV	746
184	IAmTheWalrus910	733
185	AlphaWolfPlaysMC	722
186	__tomato	720
187	fw3xy74	709
188	Biites	707
189	yheece	702
190	The_Quack_Dealer	698
191	Eczbek	689
192	ShedJr_	681
193	CoffeeNoir	676
194	RedcatVII	667
195	wwwwinnebagoooo	660
196	Eczbox	657
197	RatatJuice	653
198	KeruNatsema	647
199	MuffinManzz	641
200	Ssor69	640
201	Motsaro	631
202	Fizznut909	627
203	Quincannon	626
204	Aangezet	624
205	dudcreeper	617
206	TheSecondLord	605
207	hdtpm	604
208	Awyrlas	601
209	_i_ERROR_i_	599
210	Merv__	592
210	6king6colt6	592
212	MirielThePastor	588
213	PegLegPete93	583
214	ECstardust	578
215	tuckerdoodle	574
216	Winklepicker279	570
217	pixelviolin	565
218	CollinMH06	559
219	ReSynced	543
220	masskedman	542
221	Rasmanden	536
222	Scathra	534
223	stavgod	532
224	SvenskaHugo	530
225	chimpmunker	528
226	Kubelz	523
227	SolicitedPuma101	516
228	CliffEmAll	514
229	m_be9	510
230	Iagoku	508
231	VentiHilton	501
232	fkGrim	500
233	q_wq	497
234	AlexxO_o	492
235	eiC_	490
236	Jordan_R	489
237	luseis	486
238	PlasticOtari	485
239	nattybears	482
240	NoChumpChange	479
240	skrongus	479
242	Tiberonus	468
243	BlankityMcBlank	459
244	Frxnkz	458
244	EveryonesUncle	458
246	SkateboardR6	457
247	shadowthemonkey	456
248	Jalvajar	453
248	Swexti	453
250	Optiprimus	443
251	BodaciousCake	441
252	Xalithia	432
253	Factoroni	431
254	NarwhalTaco	429
255	bigstankyy	426
256	stellarjay	418
257	jushykins	408
257	Fakiuss	408
257	2blox_	408
260	Strangemonkey71	405
261	KGTV	403
262	Kyrum2169	400
263	Touched_Bread	399
264	LittleBug562	395
265	LordSpeed37	387
266	dimondking777	386
267	12Magner05	385
267	CharlieButt	385
269	SyntheticSurgeon	383
270	Cortexia	379
271	little_dUki	378
272	Wowful	373
273	sxc_	372
274	Weepingbiel	370
275	RyuNeko932000	364
276	Krowuss	362
277	Western_1	358
278	SaucyDark	355
279	RadarHz	354
280	Jackster03	353
281	TheTrueClipse	346
282	theonlymagikarp	344
282	censorsheep	344
284	Leyna3	335
285	KingMatthew506	333
286	DSYisDizzy	328
286	Typadopoulos	328
288	lorpus	325
288	GeromeMerris	325
290	zToasty69z	324
290	EfficientC52	324
290	calamariclam_I	324
293	Sharkbyte0	322
294	4774	320
294	seramalen	320
294	NomadicRobin_	320
297	YahooScreen9000	317
298	TheThomas69	316
299	UncreativeArtist	315
300	Badenbeele	312
