rank	username	minecraft:used/minecraft:oak_fence
235	SokaOtaku	72
237	sufjanlover	71
237	lordpipe	71
239	SteveCraftBlocks	70
239	Zythose	70
239	bloomkieren	70
242	PlzNoBM	69
243	ergoalias	68
243	fr0stss	68
243	TheMaster972	68
243	Shiirazuku	68
243	LilLizardWizard	68
243	Spacewardharpy7	68
243	Shadow4381	68
243	momis24	68
251	Ardennes	67
251	andy_rex	67
251	Werbe	67
251	Cocoamallows	67
255	Optiprimus	66
256	zorin123	64
256	Winklepicker279	64
256	Sheldor097	64
259	cowgirlkasia	62
259	minersam1	62
261	Stiar	60
262	hollowww	59
262	Dedalus36	59
264	Sebaschan__	58
264	xo_Marren_xo	58
264	Oxygen16	58
267	Ravenbie	57
267	StanceTB	57
267	Motsaro	57
267	MakeHistory157	57
267	SpicyDuckMan	57
272	Gingayy	56
272	superGamerBoy_	56
272	starbits140	56
275	Dali1465	55
275	skelctal	55
275	jewbacaman	55
275	KermitTheKripple	55
275	bluefragmentt	55
275	NotMeowMix	55
281	BRRRN179	54
281	Njensen7	54
283	heysushii	53
283	lotarp	53
283	ShedJr_	53
283	r123moore	53
283	_Boipl_	53
283	The_Quack_Dealer	53
283	RadarHz	53
290	Healthing	52
290	tsohomie	52
290	Frxnkz	52
290	AJplaysMC_	52
290	420BreadLizard	52
290	_Crimson_Legate	52
290	kinas45y5	52
297	Jackster03	51
297	jushykins	51
297	Kamflame10	51
297	halfbakedlasagna	51
