rank	username	minecraft:used/minecraft:dark_oak_boat
180	Nekomin0	14
180	2blox	14
190	jessemgaming	13
190	itburb	13
190	SpaceGrenadier	13
190	slkiey	13
190	ThePurpleFire	13
190	lizardfightclub	13
190	Leyna3	13
190	Maenara	13
190	NameGenerat0r	13
190	stahouo	13
190	obzii	13
201	dongli	12
201	Ardennes	12
201	redikul	12
201	Paintz	12
201	Shiirazuku	12
201	yulgur1	12
201	KlausVonStiglitz	12
201	_Karmaa	12
201	iHuntWeeaboos	12
201	felincaus	12
201	Nicserso	12
201	FishisTTV	12
213	EMC_	11
213	ratglock	11
213	4383	11
213	Nicky_H225	11
213	Scathra	11
213	emrekn	11
213	SokaOtaku	11
213	fred870d	11
213	XMiner22	11
213	Agent108	11
213	TheOnlyRake	11
213	imaginek1d	11
225	Lez_	10
225	CranialBlowout	10
225	CruncyIsTaken	10
225	Bloo2406	10
225	Razzgriz	10
225	faqpilot	10
225	_TCARREIRA_	10
232	Gary_	9
232	TooManyDuck	9
232	melono_o	9
232	Avermu	9
232	loveseeker	9
232	Di_infiri	9
232	Snowflowe	9
232	SourPapaSmurf	9
232	DTwenty	9
232	_Bguette_	9
232	Shogunite	9
232	AvaRosey	9
232	Nagasaki_Riku	9
232	fffMike	9
232	Eczbek	9
232	Sorins	9
232	smogfrog	9
249	bigstankyy	8
249	heckface	8
249	2Stout	8
249	Covalents	8
249	lia1337owo	8
249	Noah_Bez	8
249	platinumzero	8
249	Rainistry	8
249	Zaridey	8
249	_naturell	8
249	binman420	8
249	linxthesontaran	8
249	fkGrim	8
249	avalan64	8
249	DemTechAlpha	8
249	33sudo	8
249	sarcopterygian	8
249	Quotary	8
249	_AAZAR	8
249	FallenCorps	8
249	MusicMe1005	8
270	Mr_Byzantine	7
270	abramgray	7
270	Hyugo	7
270	oreee	7
270	nocturne78	7
270	Alphanzt99	7
270	Hano_Clown	7
270	ZigzagLily43042	7
270	GingerNeutron	7
270	PegLegPete93	7
270	Cellcorgi649	7
270	CharlieButt	7
270	fr_ser	7
270	Misty_Breeze	7
270	Xeno175	7
270	ADEXTV	7
270	Wowful	7
270	59a59bf5-3603-4415-b66f-3096d4958b34	7
270	Mr_Gulle	7
270	MyNameIsDakar	7
270	Racengan	7
270	Yahir091	7
270	SvenskaHugo	7
270	Sheldor097	7
294	Froste131	6
294	King_Wars125	6
294	Ninzyyy	6
294	Huwulling	6
294	awesomeoneme	6
294	Ozixar	6
294	cowgirlkasia	6
