rank	username	minecraft:used/minecraft:diamond_sword
191	UncreativeArtist	4332
192	KingMatthew506	4320
193	stellarjay	4224
194	FirsTimeGamingTV	4216
195	Barlycorn	4209
196	Jackster03	4123
197	fkGrim	4106
198	SkateboardR6	4095
199	fr_ser	4071
200	Kakolbus	4066
201	whoaluv	4047
202	ShedJr_	4045
203	Powowowow	4025
204	Kyrum2169	4011
205	BobDeBouwer1337	3994
206	LAVA129	3951
207	FlashMigma	3940
208	GravitySaint	3921
209	ExtraDumb	3902
210	Kouridragon	3879
211	2Stout	3864
212	EveryonesUncle	3843
213	fanofbands101	3838
214	SpookyDraggin	3827
215	peach0s	3825
216	IAmTheWalrus910	3806
217	Awyrlas	3804
218	DemTechAlpha	3765
219	ayamefag	3758
220	titanlax	3735
221	301851	3728
222	SvenskaHugo	3672
223	SeverianTheLame	3668
224	SquadMonster	3663
225	MustaLoordi	3661
226	ediballbearings	3613
227	EMC_	3592
228	KeruNatsema	3579
229	BreadBacon	3561
230	SellyZ	3533
231	TheDankPlatypus	3532
232	Juh1s	3527
233	Deerfoot	3522
234	NomadicRobin_	3516
235	Kubelz	3499
236	Vizzoid	3481
237	XxCookiequeenxX	3474
238	Swexti	3444
239	Luigipunch989	3437
240	Quaintster	3435
241	yaboo88	3430
242	RoboTramp7865	3423
243	mimbo1211	3408
244	Kamflame10	3406
245	LeeMcGee30	3386
246	PigDab	3359
247	Invisie	3345
248	WYFYoyo	3335
249	Scathra	3333
250	masskedman	3326
251	SwooshBoi	3315
252	mawileite	3313
253	SpouHn	3307
254	Natty	3300
255	BumbleBeever	3297
256	Airem_Core	3250
257	smogfrog	3237
258	AuroraSkies	3236
259	jushykins	3221
260	ImDisconnected_	3209
261	07shiny	3164
262	Z3braYTIL	3158
263	Dreamdbr14	3155
264	boog4loo	3116
264	Kubeusz2010	3116
266	_8man	3110
267	ssleepless	3087
268	pixelviolin	3086
269	Meatlaugh	3076
270	fr0stss	3066
271	PlzNoBM	3026
272	Voxin2K	2984
273	Karetoko	2981
274	SSytex_X	2970
274	GlitchyPlate810	2970
276	Kkanot	2930
277	surfinggiraffejp	2923
278	Lutres_Torane	2918
279	Zaridey	2915
280	CruncyIsTaken	2897
281	fw3xywashere	2885
282	Paintz	2879
283	NotKaden_	2876
284	Winklepicker279	2856
285	emrekn	2850
286	zorin123	2833
287	Razzgriz	2820
288	jimintyy	2814
289	lizardfightclub	2807
290	MAns_44	2803
291	sxc_	2801
292	Tolhart	2800
293	Truckoss	2797
294	Karbl	2791
295	WarHammer3	2789
296	ColeSnyder	2754
296	HesDemonPants	2754
298	starbits140	2725
299	DarlaMeow	2716
300	Fuhrer_Teemo	2714
