rank	username	minecraft:used/minecraft:spruce_fence_gate
110	07shiny	19
115	4774	18
115	PartyPhoenix	18
117	LeeMcGee30	17
118	PazinGaming	16
118	ceAndy200	16
118	SammiWolfGirl	16
118	ThisUserIsStump	16
122	HellsSponge	15
122	Quotary	15
122	diggydog67	15
125	Crowman1	13
125	ewpunk	13
125	Slapface522	13
128	ColeSnyder	12
128	ThiccExotic	12
128	CrookedKaptain	12
128	Jeteight	12
128	PigDab	12
128	SaintJosie	12
128	MakeHistory157	12
128	Hermanni__	12
136	Sleek_Storm_721	11
136	ROY4LE	11
136	Chromary	11
136	Jimi7hits	11
136	StinkyDiplomat	11
136	freya__b	11
142	Ardennes	10
142	xxPipperDipperxx	10
142	groofles	10
142	Akoot_	10
142	AvaRosey	10
142	2bolx_	10
148	MangoTheFish	9
148	Joestra	9
148	MAns_44	9
148	Cavetorch	9
148	Njensen7	9
148	Eczbek	9
154	Froste131	8
154	hm947	8
154	H72l9w	8
154	whoaluv	8
154	_Boipl_	8
154	rotten_mango	8
154	Lutres_Torane	8
154	wwwwinnebagoooo	8
162	IWorkAtIkea	7
162	orxngejuice	7
162	Rumpletaezer	7
162	ApophisNova	7
162	claivin	7
162	SvenskaHugo	7
162	Fizznut909	7
162	MyNamaSheff	7
162	TechnoNinja64	7
162	Jordan_R	7
162	00000000-0000-0000-0009-01ff0c3e5e4f	7
173	KarlKaek	6
173	DinoDoctor_	6
173	jacxhadow	6
173	John6970	6
173	SlayerCrypto	6
173	CrateOfBoxes	6
173	MyNameIsDakar	6
173	Typadopoulos	6
173	Kowcio_	6
173	Luigipunch989	6
173	VentiHilton	6
173	Lowjinx	6
173	The_SlideV5	6
186	squigglybones	5
186	JohnnyMines	5
186	jessewegottacook	5
186	gilesmcriles	5
186	Guillemet	5
186	Masssonnn	5
186	xFaiithyX	5
186	Studyhallsaver	5
186	Shavrin	5
186	_Bguette_	5
186	fluddd	5
186	sleepdrifter_	5
198	xyct	4
198	q_wq	4
198	Tolhart	4
198	Ryker	4
198	corvidpartyfor6	4
198	G1ldor	4
198	potato292	4
198	Kkanot	4
198	Laykon	4
198	SeverianTheLame	4
198	Donutt	4
198	Rebytre	4
198	selectrix	4
198	seramalen	4
198	Waffleman258	4
198	Hail_the_wombat	4
198	natajimi	4
198	Quincannon	4
198	FlashMigma	4
198	Dusk_95	4
198	Smiguli_	4
198	al626win52	4
198	krutas2000	4
198	TheOnlyRake	4
198	Wolverine4302	4
223	rats_life	3
223	SaltineDream	3
223	heysushii	3
223	RoskobiOne	3
223	AuroraValkyrie	3
223	T045RTY	3
223	Lez_	3
223	Stynxy	3
223	Malorn_Aetherius	3
223	SteveCraftBlocks	3
223	set67	3
223	TakeThis2UrGrave	3
223	SuperPooch06	3
223	ItsAki_	3
223	epiksk8erduck	3
223	BunkeredTree	3
223	thgrocks	3
223	Toasty_Tom	3
223	lillips	3
223	KermitTheKripple	3
223	Nycteus_	3
223	OG_Songsee	3
223	Ze_BaronKrigler	3
223	daybreakus	3
223	bladeefan2009	3
223	trexgb	3
223	MelodyGaysharks	3
223	_Dri_	3
251	Groovy_MoonBird	2
251	Bandito_Roamer	2
251	PhantomsGhost_	2
251	DepressedCubic	2
251	EMC_	2
251	Esme_1	2
251	TooManyDuck	2
251	Hpdinosaur	2
251	Natty	2
251	_AceOfSpace_	2
251	MrKrabOnCoke	2
251	Alphanzt99	2
251	FirsTimeGamingTV	2
251	roxycherry	2
251	UncreativeArtist	2
251	kaldarra	2
251	purpolepickle	2
251	Zaridey	2
251	_Gabae	2
251	BlueZabu	2
251	Bazongoman	2
251	jedi_george	2
251	dedgt	2
251	The_Fulgurator	2
251	Kynigito	2
251	Moofyman	2
251	FungalCat	2
251	J4ko8_	2
251	ougstur	2
251	AuroraSkies	2
251	Inbefour	2
251	NoChumpChange	2
251	The_slideV3	2
251	EfficientC52	2
251	Factoroni	2
251	Lord_Doob	2
251	IAmTheWalrus910	2
251	YungMaki	2
251	AssFullaCum	2
251	RealGroot	2
251	gusstationwerker	2
251	c0la_c0ca	2
251	ssniffles	2
251	bitsplease	2
251	mountaingirl311	2
251	UrbanPlanningEx	2
251	WYFYoyo	2
298	HBA00_	1
298	soundad	1
298	6king6colt6	1
