rank	username	minecraft:used/minecraft:cobblestone
108	slkiey	8847
109	soundad	8807
110	Inbefour	8802
110	Strangemonkey71	8802
112	Covalents	8585
113	Kferno	8511
114	CrateOfBoxes	8502
115	PlzNoBM	8404
115	elliebelle107	8404
117	Jackster03	8353
118	Lorcout	8345
119	h2p_emrld	8324
120	hermmm_	8120
121	Sral7	8098
122	__tomato	8024
123	EveryonesUncle	7990
124	CollinMH06	7914
125	hydrothebot	7864
126	Nicserso	7857
127	Tyrannosplart	7841
128	Nicky_H225	7798
129	Bumpy419	7791
130	Malorn_Aetherius	7777
131	Warlord324	7760
132	vandmanden	7600
133	JayToe	7510
134	CacheOut	7160
135	bigstankyy	6997
136	Merv__	6975
137	q_wq	6950
138	TheSecondLord	6815
139	luseis	6768
140	Ryan_GEMS	6758
141	IAmTheWalrus910	6752
142	NomadicRobin_	6704
143	djancak	6656
144	obzii	6638
145	Werbe	6608
146	_flud	6602
147	ItsDeltaMC	6569
148	Spenduh	6566
149	Quincannon	6428
150	Zaridey	6312
150	Skomo	6312
152	audiocracked	6196
153	F_Uhre	6166
154	Kakolbus	6117
155	TheSandwhich_	6075
156	Groundler	6052
157	abdomera	6030
158	Fullut	6003
159	ActualPatbaf	5994
160	U_Mos_	5971
161	FreakGenius	5942
162	royal_2	5935
163	500am	5924
164	FishyBoy3811	5901
165	Smiguli_	5883
166	MattieHD	5823
167	powercas_gamer	5812
168	RoskobiOne	5788
169	Logain42	5774
170	PortlyPete69	5747
171	_8man	5743
172	Awyrlas	5696
173	WET_WET_WET	5675
174	Kubelz	5672
175	Russiancat1	5653
176	Comma__	5630
177	_TCARREIRA_	5615
178	masskedman	5577
179	Mahoose	5576
180	PlasticOtari	5541
181	miramyu	5539
182	_Karmaa	5494
183	Maenara	5493
184	seramalen	5480
185	12Magner05	5472
186	Alteriity	5468
187	Creativebuilder2	5440
188	CoffeeNoir	5412
189	starbits140	5375
190	ROY4LE	5303
191	epiksk8erduck	5254
192	AuroraValkyrie	5249
193	MAns_44	5234
194	StinkyDiplomat	5164
195	SaucyDark	5140
196	SSytex_X	5111
197	Wolverine4302	5064
198	wwwwinnebagoooo	5034
199	TachibanaAkira	5016
200	_i_ERROR_i_	4901
201	MC_Skribble	4826
202	MuffinManzz	4786
203	11Brewer	4719
204	Meatlaugh	4686
205	Powowowow	4659
206	Cortexia	4654
207	T045RTY	4629
208	SpacesickPrism	4619
209	NotMyLucKMC	4600
210	Kijiki	4599
211	AlphaWolfPlaysMC	4579
212	Hiryu27	4578
213	4774	4562
214	DarkS0L	4545
215	es0th	4525
216	Barlycorn	4495
217	301851	4436
218	BPTY4618	4389
219	HelloIamSora	4286
220	livingdaydreams	4273
221	bloodbiter	4263
222	CharlieButt	4249
223	XboxPanda	4214
224	SUN_DREAM	4203
225	Historical_Sand	4190
226	robotemo	4156
227	BobDeBouwer1337	4152
228	cytotoxaint	4138
229	Typadopoulos	4133
230	DolphinLaugh	4125
231	zmpeg	4113
232	CalebDHawk	4103
233	theonlymagikarp	4093
234	platinumzero	4021
235	KingFaenor	4010
236	catandmoose	3994
237	shrimp_flips	3977
238	Kamflame	3973
239	Boipl	3943
240	taengoos	3885
241	Fildyr	3881
242	AuroraSkies	3802
243	Kateesaur	3782
244	jcool7	3740
245	RadarHz	3731
246	domagawha	3727
247	SamZombie	3719
248	weabis	3675
248	Eraxa	3675
250	Studio4x32	3671
251	radioactv_jelly	3662
252	Iamthejo	3648
253	seanitoo	3645
254	ProfessorDiaper	3628
255	legal_tax_evader	3595
256	IdeallyGrey	3594
257	ShedJr_	3580
258	Blu3beast	3569
259	TooManyDuck	3557
259	Factoroni	3557
261	Sheldor097	3556
262	DAD_1996	3474
263	Windo_licker	3410
264	Flopperdonkey	3407
265	6king6colt6	3368
266	yyatsuta	3364
267	SammiWolfGirl	3360
268	Blaiku	3330
269	PaperCanvas	3314
270	Segotep999	3310
271	shineh10	3295
272	drumine	3285
273	Forcolp	3258
274	Prodiginus	3232
275	Inchef	3211
276	Winklepicker279	3210
277	Jimb0nat0r	3208
278	eviltunix	3186
279	chlorinex	3181
280	parodypatient	3117
281	lorpus	3113
282	Sabby65	3105
283	TwinTowerV2	3085
284	Louiis123	3038
285	Paul_Katan	3008
286	Tobinator_007	3001
287	Steelynan	2982
288	fanofbands101	2971
289	ConnorDanky_	2962
290	SpaceGrenadier	2957
291	jacxhadow	2938
291	NoChumpChange	2938
293	FirsTimeGamingTV	2927
294	MovingFish7	2923
295	SvenskaHugo	2910
296	SyntheticSurgeon	2904
296	Tersea_	2904
298	Vorlice	2878
299	_Nuf	2876
300	GravitySaint	2872
