rank	username	minecraft:used/minecraft:repeater
254	claivin	35
254	SpacesickPrism	35
263	set67	34
264	Soap_Bender	33
265	heysushii	32
265	Jackster03	32
265	Rich_Kat	32
268	NutellaPenguinz	31
269	Samificator	30
270	Sleek_Storm_721	29
270	Incinere	29
270	abdomera	29
270	royal_2	29
270	LugusMcGrugus	29
270	seramalen	29
270	Kijiki	29
277	dimondking777	28
277	Vizzoid	28
277	TheDankPlatypus	28
277	_Duckery	28
281	CollinMH06	27
282	mattybeewrapss	26
282	emreknugrlu	26
284	EKUG	25
284	Prodiginus	25
284	KGTV	25
284	Winston_Ingram	25
284	Powowowow	25
289	groggregg42	24
290	Mr_Byzantine	23
290	heckface	23
290	bloodbiter	23
290	Purplehere	23
290	Chromary	23
290	PaperCanvas	23
290	Leyna3	23
290	valkam13	23
290	Sorry_Arey07	23
290	Quincannon	23
290	Kferno	23
