rank	username	minecraft:used/minecraft:coarse_dirt
110	Luigipunch989	43
113	Bandito_Roamer	42
113	Soplight	42
115	Parcc	38
115	Rebytre	38
115	fffMike	38
118	RyuNeko932000	36
119	MattieHD	35
119	Skylord_Luke	35
121	Hpdinosaur	34
121	Fuad_R	34
123	claivin	33
123	Fildyr	33
125	numbra	32
125	slkiey	32
125	hanaryheatwave	32
128	KingMatthew506	31
129	DinoDoctor_	29
130	Unitas_isa	28
131	SquadMonster	27
132	Snowflowe	25
132	MilleGrug	25
134	TheMilkerOfCats	24
134	Lez_	24
134	thgrocks	24
134	Groundler	24
138	__Fanda__	23
139	Notta	22
139	PegLegPete93	22
139	El_Jalapeno	22
142	TheMaster972	21
142	SammiWolfGirl	21
144	ExtraDumb	20
145	the_fireminer	18
145	Fizznut909	18
147	wirelesstree	17
147	ebanana	17
149	TheSecondLord	16
149	lordpipe	16
151	Zedducius	15
151	Smashic	15
151	Moofyman	15
151	ayamefag	15
155	loveseeker	14
155	ogoa	14
155	ItsJunoIGuess	14
158	QueenShuvi	13
158	SvenskaHugo	13
160	DarkDescent2392	12
160	SteveCraftBlocks	12
160	JollyDroopy52	12
160	SpaceTurtleOX	12
164	xxPipperDipperxx	11
164	SpicyMeatballs	11
164	Deathkob	11
164	SwooshBoi	11
164	Optiprimus	11
169	Sheepwarder	10
169	Euclidoris	10
169	Forcolp	10
172	ROY4LE	9
172	Arceus1975	9
172	Nyxiom_	9
172	bean__salad	9
172	DizzleJay311	9
172	TechnoNinja64	9
178	youhjjhhhjj	8
178	hcb238	8
178	Kubeusz2010	8
181	Covalents	7
181	Kynigito	7
181	chipklip	7
181	Eon_57	7
185	RatatJuice	6
185	awesomeoneme	6
185	mwrty	6
185	Jackattack53	6
185	fluddd	6
185	Racengan	6
185	33sudo	6
185	smogfrog	6
193	Vizzoid	5
193	_Boipl_	5
193	kars0n	5
193	JonahTheMans	5
193	NameGenerat0r	5
193	BlankityMcBlank	5
193	stahouo	5
193	Ezekson	5
201	Sleek_Storm_721	4
201	heckface	4
201	bloodbiter	4
201	groggregg42	4
201	eiC_	4
201	wfk7	4
201	Meatlaugh	4
201	censorsheep	4
201	BumbleBeever	4
201	LetsDoItLive	4
201	WyngGoy	4
201	TitanCrafting	4
201	Quotary	4
214	Koffeeinz	3
214	ProfessorBee	3
214	John6970	3
214	SHAOBADMAN	3
214	Zythose	3
214	Corbsman	3
214	Tank_Kuma	3
214	_Karmaa	3
214	Dusk_95	3
214	jcool7	3
214	alderban107	3
214	NoxXIV	3
214	MeetTheWollo	3
214	Faart	3
228	duelcard	2
228	THExMuffinx	2
228	_Virify_	2
228	BigMaoguai	2
228	error10101	2
228	Incinere	2
228	nocturne78	2
228	Ssor69	2
228	DirtyDalle	2
228	blockgamer_69	2
228	fr_ser	2
228	Polar6767	2
228	regulator75	2
228	Big_Nate_36	2
228	binman420	2
228	yulgur1	2
228	NomadicRobin_	2
228	Deodorante	2
228	cringenaynaybaby	2
228	IAmTheWalrus910	2
228	_TCARREIRA_	2
228	kinas45y5	2
250	Mr_Worthless	1
250	maxdacatv2	1
250	Wuoahter	1
250	seanitoo	1
250	Menthas	1
250	Ze1ig	1
250	teslawolf38	1
250	Vollkommenheit	1
250	shineh10	1
250	Healthing	1
250	SlavBylat	1
250	ColeSnyder	1
250	Hysna	1
250	TooManyDuck	1
250	1dss	1
250	Dogbound	1
250	T045RTY	1
250	scottkidz	1
250	Prismyst	1
250	ShedJr_	1
250	H72l9w	1
250	301851	1
250	Feersee	1
250	Shadoko_	1
250	patrykf03	1
250	Master_Kol	1
250	_Pins_	1
250	SellyZ	1
250	__TheNorseMan__	1
250	phatrob	1
250	Boogaloo242	1
250	TylerDupree	1
250	Rainistry	1
250	_Gabae	1
250	klir	1
250	CaptainSteve345	1
250	Rafalb8	1
250	gabriels543	1
250	vampgey	1
250	RefluxRatio	1
250	Misty_Breeze	1
250	Dazure	1
250	LilyNova	1
250	MisterKanister	1
250	zielkairos	1
250	Infernowithazero	1
250	Voxin2K	1
250	fred870d	1
250	Shiirazuku	1
250	TTNG	1
250	SvenskaAlvar	1
