rank	username	minecraft:used/minecraft:dark_oak_stairs
192	Kakolbus	111
193	KeruNatsema	110
194	Kyrum2169	108
194	VentiHilton	108
196	djancak	105
197	TowenPL	104
197	Jij0	104
199	LexMakesHistory	102
200	MrExplorer	101
200	JayToe	101
202	Cartoonmaniac	100
202	Kynigito	100
204	YoshikageBites	96
205	Hannah_Banana_69	93
205	CruncyIsTaken	93
207	youhjjhhhjj	92
208	Drlzyy	90
209	Spacewardharpy7	88
210	Werbe	87
210	The_slideV3	87
210	AssEatrAndLicker	87
213	RadarHz	86
214	I_Am_Mushkin	82
214	07shiny	82
216	Invisie	79
217	ATrojansLegend	78
218	Skomo	77
219	joethahobo	76
220	MineMaster0012	73
221	PegLegPete93	72
221	Covalents	72
221	_naturell	72
224	JingleLizi	70
225	BigBootyHudge	67
226	rachcl	64
226	avalan64	64
226	Dreamdbr14	64
229	voiding_	63
230	Snowflowe	62
231	mediumBev	61
232	Lutres_Torane	60
233	hm947	59
233	CollinMH06	59
233	Matorz	59
233	YungMaki	59
237	LittleBug562	58
237	CantinaTaco	58
237	CliffEmAll	58
240	wirelesstree	57
240	KingMatthew506	57
242	Cryptacity	56
242	Queen_Jalapeno	56
242	1442	56
245	Karbl	55
245	_Dri_	55
247	Blaiku	53
248	Will_Bee	52
249	ProbablyNick	51
249	Rich_Kat	51
249	ogoa	51
249	Toriankel	51
253	KliBeast21	50
254	_stets	49
255	Armattillo	47
256	TheOuterCore	45
257	PigDab	44
257	RodSerlingCringe	44
257	Mister3z	44
257	Winston_Ingram	44
257	Smaldo	44
262	NarwhalTaco	43
263	Avermu	42
263	happy_mileo	42
263	thewindmillman	42
266	MonitorLizards	41
267	BlossomOwO	40
268	nocturne78	39
268	RohnJosin	39
268	h2p_emrld	39
271	AlazelTheReal	38
272	noam464	36
272	CampAura	36
272	KartivGal	36
275	Lumien_	35
275	2Stout	35
275	Ecplosive	35
275	annoyingenderman	35
279	Ch4osDoom64	34
279	moonman169	34
279	Tristankill	34
282	heckface	33
282	censorsheep	33
282	laron58	33
285	AshleeCW	32
286	SyK7	31
286	SidorAlex	31
286	tramizu	31
286	fffMike	31
290	Ozixar	30
290	egglapras	30
292	madderfall	27
293	BlancoFlaco	26
293	zMarciano	26
293	alderban107	26
296	301851	25
296	FishyBoy3811	25
298	intropass	24
298	benediktine1	24
298	kinas45y5	24
