rank	username	minecraft:used/minecraft:cooked_salmon
186	Kubelz	12
186	DirtyBoar	12
186	Ecplosive	12
186	corpsecity	12
186	Blamphe	12
186	sufjanlover	12
186	BabyDaddy1	12
186	chiakirice	12
197	catandmoose	11
197	JitteryJared2	11
197	FlashMigma	11
197	trashmammals	11
197	bloomkieren	11
197	Spaghettatron	11
203	k_ce	10
203	ImpavidArcher	10
203	BlancoFlaco	10
203	Lukeee33	10
203	Paleshield	10
203	Malorn_Aetherius	10
203	2_young_2_die	10
203	Dynamic_wolf_1	10
203	Deathkob	10
203	Vorlice	10
203	Kura2218	10
203	ConnorDanky_	10
203	JungeSchnauzer	10
203	h2p_emrld	10
217	heckface	9
217	Ozixar	9
217	RustyKedel	9
217	ImDisconnected_	9
217	Boipl	9
217	master9067	9
217	DASH_X7	9
217	nagyvad	9
217	pk1297	9
217	BubblyOrangutan	9
227	funeralhome	8
227	PazinGaming	8
227	KingFaenor	8
227	royal_2	8
227	Auseawesome	8
227	Sleepy_Evelyn	8
227	12Magner05	8
227	squeezal	8
227	burbankbuilder28	8
227	CranialBlowout	8
227	BeeMunch	8
227	Spankathor	8
227	Cocoamallows	8
227	voiding_	8
227	Shin69	8
227	SirBreadward	8
227	TheWickedBird	8
244	dudcreeper	7
244	EMC_	7
244	SidorAlex	7
244	Jackster03	7
244	301851	7
244	CliffEmAll	7
244	TheSecondLord	7
244	MitexFTW	7
244	Winklepicker279	7
244	yaboo88	7
244	Zythose	7
244	Dragonlfw	7
244	SolicitedPuma101	7
244	BumbleBeever	7
244	iGotUrHost	7
244	PabloGonza02	7
244	Enderxz3	7
244	00000000-0000-0000-0009-01f16526f034	7
262	mennorovers	6
262	Irko	6
262	TableTim	6
262	PumpkinPie1600	6
262	skelctal	6
262	bluefragmentt	6
262	Blu3beast	6
262	Kowcio_	6
262	CalebDHawk	6
262	LeeMcGee30	6
262	Rainaldus	6
262	PeaceAndQuiet	6
274	Killercatty78	5
274	Lez_	5
274	excelsionprime	5
274	NotoriousNina	5
274	WET_WET_WET	5
274	KyleGamingBoss10	5
274	thewindmillman	5
274	Corbsman	5
274	selectrix	5
274	LilLizardWizard	5
274	wrgates99	5
274	Hahaa_0	5
274	Meatlaugh	5
274	mihimihimihi	5
274	bndo	5
274	_Tilariel_	5
274	Captain_Hardtak	5
291	heysushii	4
291	fanofbands101	4
291	brainbrainbrain	4
291	lcn	4
291	TooManyDuck	4
291	Flores991	4
291	AtlanticRobin	4
291	Seyaboy	4
291	lotarp	4
291	MOSS000	4
