rank	username	minecraft:used/minecraft:iron_hoe
86	Azmodan_246	630
87	bloodbiter	619
88	toj__	614
89	Razzgriz	610
90	Majonezzon	581
91	Dynamic_wolf_1	578
92	wobn	568
93	coobert42	566
94	Warlord324	564
95	Avocadogerms	560
96	dopplexd	559
96	PigDab	559
96	Druid95	559
99	Enderxz3	554
99	TheSandwhich_	554
101	Zerosene	551
102	Killercatty78	538
103	Minimize501	536
104	Juansinmiedo18	533
105	Prodiginus	531
106	ZeroAbyssTTV	530
107	Hyugo	529
108	r123moore	527
109	Lepthymo	517
110	TooManyDuck	513
110	Elastiq	513
112	Kakolbus	512
113	beeperbeeper5	509
114	Arceus1975	505
115	Jovaphobic	500
115	Tolhart	500
115	pumpfonzo	500
115	Vanni9	500
115	HuangMeiHua	500
120	Russiancat1	499
121	Tiktola01	498
122	ActualPatbaf	483
123	seramalen	482
124	jushykins	479
125	fade_emerge78823	474
126	creatineshakes	471
127	andy_rex	464
127	Athenaeaen	464
129	obzii	462
130	_Destina_	461
130	masskedman	461
132	slkiey	458
133	MC_Skribble	457
134	lorywithay	455
135	__tomato	441
136	fanofbands101	440
137	Historical_Sand	436
137	superGamerBoy_	436
139	knarian	431
140	SOA1RR	428
141	mariominejedi	424
142	Fullut	418
143	cedric72	417
144	NormanFetus	415
145	SvenskaHugo	411
146	Reneedium	404
147	kekhon	400
148	TAKrules	396
149	Studio4x32	394
150	07shiny	393
151	XxCookiequeenxX	390
152	Mowelan	387
152	DennyKai	387
154	dendydoom	386
155	starbits140	383
156	RoskobiOne	381
157	xorompole	380
158	CaptainDeadBread	377
159	lordpipe	370
160	AuroraSkies	366
161	AuroraValkyrie	365
161	m_be9	365
161	TheWickedBird	365
164	Bumpy419	363
165	Matek_	361
166	rachcl	358
167	Colmer94	354
168	CattSoup	353
169	thescout7	350
169	JESS_THE_RERE	350
171	DepressedCubic	341
172	AngalexikCZ	340
173	TheOnlyRake	339
174	i2f8x4h8ro	332
175	OG_Songsee	330
176	Sabby65	326
177	RebelAndroid	321
178	benediktine1	319
178	dartwaffle	319
180	DirtyBoar	315
181	Smaldo	314
182	Louiis123	306
182	Fakiuss	306
184	TwinTowerV2	303
185	Fuad_R	301
185	monky_irl	301
187	Lutres_	299
188	sufjanlover	298
189	_Virify_	297
189	The_Fulgurator	297
189	Vorlice	297
192	cichy096	296
193	PlasticOtari	290
194	Nicserso	289
195	Dreamdbr14	288
196	craaaash	286
197	Racengan	279
198	Penguinllama517	274
199	_Huge_Male_	272
200	Frozil20	271
201	4774	270
202	zToasty69z	268
203	DTwenty	263
204	joethahobo	262
204	WYFYoyo	262
206	ItsAki_	260
207	Wooptey	258
208	Kateesaur	257
209	Jordan_R	256
210	LeCavalier636	255
211	Mattesco	253
212	Rumpletaezer	252
212	Joestra	252
212	Paguz01	252
215	jacxhadow	251
215	SingedBread	251
215	nagyvad	251
215	GustavoMS_64	251
219	PazinGaming	250
219	KingFaenor	250
219	Natty	250
219	301851	250
219	IgnoredBee	250
219	gilesmcriles	250
219	catandmoose	250
219	prizm_	250
219	RefluxRatio	250
219	2extreeme	250
219	Living_Storms	250
219	calamariclam_I	250
231	killmeiamtraitor	249
232	Comma__	248
233	SuperPooch06	246
233	Wolverine4302	246
235	_flud	245
236	Iagoku	244
237	Harotio	241
238	Toiton	239
239	SaucyDark	238
240	mihimihimihi	237
241	selectrix	236
242	Mekahsvu	233
242	YairZaki	233
242	Quotary	233
245	Ryker	232
246	DragonGaming_5	231
246	hoaimi	231
248	Crowvens	229
248	ChampPog_	229
248	ConnorDanky_	229
251	xxPipperDipperxx	228
252	Cortexia	227
252	lizardfightclub	227
252	kyouma777	227
255	yuuxxii	226
255	gustarlep	226
257	Meatlaugh	225
258	UltimuShadow	224
259	Frxnkz	223
260	RobotMinion101	222
261	Skyler_Diablo	221
261	yyatsuta	221
261	Sheldor097	221
264	spellmre	220
264	youarefrench_	220
264	Sral7	220
267	CarltheCuck	219
268	SnowfallUwU	216
269	Malorn_Aetherius	212
269	MustardDrinker	212
269	natajimi	212
272	Koffeeinz	211
273	PhantomsGhost_	209
274	BPTY4618	208
274	es0th	208
276	NYJ	204
277	Inbefour	202
277	SammiWolfGirl	202
279	abramgray	201
280	Alexanderjac	199
281	Ev0luti0nz	198
281	lwyl	198
283	Huwulling	197
284	drunkeeez	194
284	TheALV	194
286	lumiscosity	193
286	Spankathor	193
288	xzvu	192
288	athereall	192
290	miramyu	190
290	ZoomieZoomie	190
292	Segotep999	189
293	funnyblitz123	186
294	the__Reaper4999	185
295	ThePoliteG	184
295	Moham	184
295	Soplight	184
295	Rainaldus	184
299	mwrty	183
300	TheBiggestFeller	182
