rank	username	minecraft:used/minecraft:purpur_block
253	SyntheticSurgeon	1
253	Da_Boss_Rani	1
253	rarrq	1
253	Vizzoid	1
253	Mercadies	1
253	I_Moose	1
253	cyrusisntgay	1
253	Motsaro	1
253	Arceus1975	1
253	pappaberg	1
253	DAD_1996	1
253	Cruncy_	1
253	Mr_Froxy	1
253	ougstur	1
253	Rasmanden	1
253	IamCL4SSY	1
253	EdGalbraith	1
253	Gab4101	1
253	NomadicRobin_	1
253	audiocracked	1
253	ese_wn_po	1
253	AspenLightVT	1
253	Katthaj	1
253	YungWali	1
253	ebanana	1
253	MAns_44	1
253	mihimihimihi	1
253	TheDumbHuman	1
253	Cocoamallows	1
253	Razzgriz	1
253	Majonezzon	1
253	Strangemonkey71	1
253	Eraxa	1
253	Kijiki	1
253	Luigipunch989	1
253	CalebDHawk	1
253	Njensen7	1
253	elliebelle107	1
253	AltnumberF4	1
