rank	username	minecraft:used/minecraft:fishing_rod
130	Blu3beast	707
131	jacxhadow	697
132	Eraxa	691
133	Euclidoris	630
134	Ssor69	625
135	Smashic	616
136	Akoot_	602
136	ElectricDragon81	602
138	Hiryu27	590
139	SammiWolfGirl	583
140	Ardennes	573
141	wezzzi	541
142	Di_infiri	540
143	Kouridragon	528
144	Scathra	526
145	chipklip	512
146	pintsizedrogue	501
147	Paleshield	500
148	Xalithia	486
149	dongli	485
150	T045RTY	468
151	Paintz	466
152	jushykins	456
153	wwwwinnebagoooo	455
154	DarlaMeow	446
155	SaucyDark	441
156	ooga47	440
157	Irko	431
158	Alteriity	419
159	Marbz_	414
160	oxfordschool	407
161	Iagoku	396
162	urbeans	395
163	Vizzoid	393
163	Hermanni__	393
165	NanoShot	391
165	TechnoNinja64	391
167	LetsDoItLive	390
168	lcvezra	378
169	SuperPooch06	377
170	Sank34	370
171	Shin69	364
172	12Magner05	360
173	Cambo5000	352
174	grislgrobl	337
175	lillips	334
176	gabriels543	332
177	Ecplosive	331
178	Snowflowe	326
179	LeauVox4921	324
180	CliffEmAll	317
180	Cocoamallows	317
182	Fuhrer_Teemo	314
183	TheOuterCore	290
184	GingerNeutron	288
184	stavgod	288
186	Lord_Jord	278
187	dabloons	276
188	Rebytre	270
189	geekbird	263
190	Captain_Nasty	257
191	boog4loo	253
192	TheDiamondCG	252
193	kinas45y5	250
194	Batman922	248
194	RobotMinion101	248
196	Airem_Core	247
197	M_Patata	246
198	thescout7	242
198	MasterNueve	242
200	RodSerlingCringe	240
201	UCP_TheKingK	237
202	OG_Songsee	234
203	obzii	233
204	djancak	232
205	seanitoo	230
206	fxiryglitch	229
207	Stephenpoling	228
208	Drlzyy	225
209	PigDab	223
210	Nach0Bear	221
211	Kubeusz2010	219
212	Touched_Bread	216
213	Furiuosbeast0404	215
214	AvaRosey	212
215	JitteryJared2	200
216	CharlieButt	196
217	PhantomsGhost_	195
218	DemTechAlpha	190
219	UncreativeArtist	188
220	Freak_Genius	187
221	joethahobo	186
221	firesgal3116	186
223	legoclone09	185
224	aikabot	181
225	thewindmillman	179
225	the_russell1611	179
227	fred870d	174
228	Nycteus_	169
229	Lowjinx	168
230	DinoDoctor_	165
230	Mobstr	165
232	teslawolf38	164
233	500am	163
234	mimbo1211	161
234	whoaluv	161
234	Steelynan	161
237	MAns_44	159
238	loveseeker	158
238	master9067	158
238	Dogcorn69420	158
241	_Boipl_	157
241	MightyWertu	157
243	Toiton	155
244	rats_life	154
244	redikul	154
246	Sleek_Storm_721	153
247	_Razar	150
248	regulator75	149
249	SlimeBOI03	148
250	Russiancat1	147
251	Rasmanden	143
252	peach0s	136
253	titanlax	135
254	monky_irl	134
255	Nicserso	132
256	Xclax101	128
257	anbbang	127
258	fade_emerge78823	126
259	Natty	124
260	CalebDHawk	120
261	Hyp3rion_	119
262	Wooptey	118
262	Seyaboy	118
262	Parcc	118
265	Malorn_Aetherius	115
265	KermitTheKripple	115
267	EllaBellaChu	114
267	SteveCraftBlocks	114
269	Ozixar	112
270	_zzoe	111
271	MOSS000	110
271	majlin16	110
271	Zetsey	110
274	Kowcio_	109
274	EcksDofficial	109
276	jedi_george	108
277	RustyKedel	107
278	ComplexSquirrel	104
279	jcool7	103
280	Jij0	102
281	FujiBS	101
282	ShedJr_	100
282	Tmb1	100
284	Typadopoulos	99
285	fffMike	96
286	Zoeyfortnite	94
287	Chromary	92
287	jambvds	92
289	NomadicRobin_	90
290	lizardfightclub	89
291	Rox_The_Box	87
291	Prodiginus	87
293	BRRRN179	86
294	Spacewardharpy7	85
295	fr_ser	84
296	Ailmast	82
297	heysushii	81
297	MinttyFressh	81
299	KiRemon77	80
299	Huwulling	80
