rank	username	minecraft:used/minecraft:oak_slab
253	HollieDaNugget	102
253	KlausVonStiglitz	102
255	_k2x	101
255	__tomato	101
255	Eczbek	101
258	picardred	98
258	Kakolbus	98
258	BasedEphex	98
261	Reamdin	96
261	RealDelver	96
263	musique99	94
263	burbankbuilder28	94
263	MinerDec	94
266	LetsDoItLive	93
267	Zlatovlas	92
267	Werbe	92
269	fluddd	91
269	silverpopcorn	91
271	YungJakobo	90
271	Jij0	90
273	Gmoney390	89
274	IsabellasOF	88
275	EvenMina	86
275	thewindmillman	86
275	CaptainAvenger7	86
278	BleachMyEyes	84
278	AJplaysMC_	84
278	WyngGoy	84
281	a_smol_bean	83
282	Slinkyy7071	82
282	ssleepless	82
282	Nekomin0	82
282	MissCeleste7	82
286	Stynxy	81
287	domon41c_2	80
287	MSK__	80
287	2blox	80
290	dragonstalker21	79
291	Cowison	77
291	jiggywraps	77
293	Eman__1	76
293	Coolblubird	76
295	bigstankyy	75
295	Avermu	75
297	EkkoTraveler	74
297	gcaisawesome	74
297	Inbefour	74
297	RadarHz	74
