rank	username	minecraft:used/minecraft:netherite_pickaxe
136	Legendosh	71839
137	Sleepy_Evelyn	71740
138	weabis	71670
139	Xalithia	71334
140	r123moore	70986
141	Yatitay	69719
142	ApophisNova	68696
143	lorywithay	68423
144	MAns_44	68034
145	MyNamaSheff	67844
146	SmashingPump	66849
147	Wowful	66388
148	StinkyDiplomat	66172
149	ConnorDanky_	65992
150	prizm_	65960
151	shadowthemonkey	65866
152	elliebelle107	65808
153	AltnumberF4	65060
154	Eczbek	64532
155	BlancoFlaco	64477
156	pretty_pink_reno	63962
157	Eraxa	63844
158	Awyrlas	61842
159	lizardfightclub	60854
160	Shogunite	60396
161	MSK__	58928
162	_Huge_Male_	58126
163	StarCookiees_	58118
164	NoChumpChange	57660
165	Deathkob	57626
166	Strangemonkey71	57311
167	theonlymagikarp	56224
168	ogoa	55705
169	CattSoup	55596
170	shrimp_flips	55102
171	MinttyFressh	54713
172	TheKingK_	54264
173	mwrty	54200
174	masskedman	52943
175	drunkeeez	52833
176	zToasty69z	52580
177	Wooptey	51769
178	EdGalbraith	51750
179	censorsheep	50649
180	Airem_Core	49906
181	NinjaKnifeKill	49849
182	AlexxO_o	49798
183	2blox_	49412
184	lorpus	48663
185	truonggojo777	48593
186	ShedJr_	48516
187	hermmm_	46797
188	TheBananaKat	46682
189	Megarboh	45474
190	iSammael	45086
191	F_Uhre	43390
192	skroobiez	43222
193	excelsionprime	43187
194	PuFY	42929
195	Myszoaz	42343
196	RadarHz	41918
197	jacxhadow	40762
198	SammiWolfGirl	40443
199	OreTheBear	40282
200	TheDankPlatypus	40253
201	_Yonk_	40155
202	KartivGal	40087
203	ZeroKraken	39580
204	MissCeleste7	38818
205	_stets	38692
206	Flapjacker687	38513
207	4774	38260
208	hm947	36861
209	xPixelRainx	36806
210	NieToksikpl	36513
211	PhantomsGhost_	36175
212	XboxPanda	35344
213	ROY4LE	34444
214	Quaintster	34300
215	Samificator	34227
216	catandmoose	33886
217	Dakar_	33629
218	Prodiginus	33614
219	Creativebuilder2	33543
220	MuffinManzz	33486
221	Wolf_Mauler_73	32768
222	Solar_Power	32195
223	Nicky_H225	31796
224	CalebDHawk	31729
225	Da_Boss_Rani	31577
226	WET_WET_WET	31519
227	UltraZombie	31406
228	_Karmaa	31137
229	Biites	30582
230	Frigzy_	30564
231	wwwwinnebagoooo	30127
232	SquadMonster	29868
233	Akoot_	29584
234	Sheldor097	29368
235	TheOuterCore	29365
236	diggydog67	29063
237	SaphLaseer	28659
238	livingdaydreams	28331
239	HesDemonPants	27500
240	Eczbox	27356
241	djancak	26278
242	Ryker	26220
243	PortlyPete69	26048
244	little_dUki	25898
245	CliffEmAll	25697
246	jnp_gaming	25416
247	Jovaphobic	25318
248	DanTheBuilderino	25042
249	NATE_the_HALO	24344
250	CLG_Kata	24339
251	ReSynced	24289
252	Erased_Identity	24108
253	Dreamdbr14	23596
254	BronkerBrum	23358
255	THEKINGLyric10	23231
256	BungalowBeet	23002
257	FirsTimeGamingTV	22872
258	LeEricc	22604
259	QuiCreans	21549
260	U_Mos_	21513
261	burbankbuilder28	21442
262	RoBe__	21428
263	LexMakesHistory	21096
264	Flores991	20772
265	WyngGoy	20431
266	Chickenchaser2	20430
267	yulgur1	20304
268	Aryamanee	20143
269	Afinnity	19994
270	ZoomieZoomie	19875
271	Jonte0599	19873
272	LittleIan365	19150
273	SpaceGrenadier	18560
274	LagVibes	18163
275	monky_irl	18129
276	MightyWertu	17957
277	Tersea_	17446
278	jcool7	17443
279	Heisenbberrg	17434
280	benediktine1	17368
281	ProfessorDiaper	17186
282	ItsDeltaMC	16926
283	TAKrules	16844
284	Optiprimus	16390
285	Weepingbiel	16325
286	pumpfonzo	16204
287	ganyuganyu	16179
288	Boipl	15801
289	OverallConcept	15755
290	lunkuku	15505
291	striker90333	15077
292	SyntheticSurgeon	14970
293	paranoid_plant	14951
294	HAIRYCLOUD626	14667
295	xxPipperDipperxx	14431
296	Dan_Scha	14019
297	EcksD	13968
298	tartanboy	13777
299	NumbaOneMunch	13634
300	YairZaki	13602
