rank	username	minecraft:used/minecraft:oak_boat
271	YahooScreen9000	21
271	TheCordicus	21
271	Fuhrer_Teemo	21
271	Rocket103	21
271	HeyGoat	21
271	radioactv_jelly	21
271	OG_Songsee	21
271	Hylo482y	21
271	trexgb	21
287	TheBlackDeth	20
287	Dali1465	20
287	Paintz	20
287	trixterrx	20
287	nitram49b	20
287	DAD_1996	20
287	Kokeech	20
287	yulgur1	20
287	Inbefour	20
287	Jiminbub	20
287	MilleGrug	20
287	_3Stump_	20
287	Nicserso	20
287	SylvarumBee	20
