rank	username	minecraft:used/minecraft:diamond_ore
234	jacxhadow	25
234	FishyBoy3811	25
234	Quaintster	25
240	abramgray	24
240	ProfessorBee	24
240	MonitorLizards	24
240	Katthaj	24
240	Cocoamallows	24
240	RadarHz	24
246	ProbablyNick	23
246	6king6colt6	23
246	fr0stss	23
246	Nyxiom_	23
250	chipklip	22
250	SUN_DREAM	22
250	verynothing	22
250	Eraxa	22
254	Kegradigm	21
254	_czarny	21
256	YungJakobo	20
256	MrExplorer	20
256	Covalents	20
256	Hiryu27	20
256	RoyalDorrr	20
256	MightyWertu	20
256	SkateboardR6	20
256	Jij0	20
256	JohnPrice	20
265	MOSS000	19
265	titanlax	19
265	burbankbuilder28	19
265	RobotMinion101	19
269	JEWISHBadenBeele	18
269	wickedword	18
269	ivorico	18
269	Roosje69	18
269	Sky_light_KING	18
269	pixelviolin	18
275	Hpdinosaur	17
275	leaf26	17
275	xxPipperDipperxx	17
275	Drewen24	17
275	h2p_emrld	17
280	SaltineDream	16
280	fanofbands101	16
280	awesomeoneme	16
280	Stynxy	16
280	ColdPath	16
280	XeroByMyth	16
280	Xclax101	16
280	radioactv_jelly	16
280	00000000-0000-0000-0009-01fec705f83f	16
289	Travasaur	15
289	Vizzoid	15
289	_Dean_123	15
289	wobn	15
289	501g	15
289	Winston_Ingram	15
295	egglapras	14
295	BronkerBrum	14
295	Kynigito	14
295	TheTrueClipse	14
299	Menthas	13
299	NotP0tato	13
