rank	username	minecraft:used/minecraft:sea_lantern
291	lorpus	22
292	Prodiginus	21
292	PegLegPete93	21
294	HAIRYCLOUD626	20
294	TheTommyGun63	20
296	jimintyy	19
296	drunkeeez	19
296	Vellu21	19
299	Vorlice	18
299	_Dri_	18
