rank	username	minecraft:used/minecraft:cactus
213	Prodiginus	5
213	xxPipperDipperxx	5
213	pappaberg	5
213	LilLizardWizard	5
213	SolicitedPuma101	5
213	rii1efnaki	5
213	AstreaTSS	5
213	Deerfoot	5
213	BumbleBeever	5
213	yatsuta	5
213	MrMeisterProper	5
213	Sral7	5
226	diamondgolem35	4
226	TooManyDuck	4
226	MoistMicrowave	4
226	Stynxy	4
226	cheerytomato	4
226	Rich_Kat	4
226	Xalithia	4
226	KingEgg1	4
226	Touched_Bread	4
226	CarltheCuck	4
226	SuperPooch06	4
226	Fakiuss	4
226	NomadicRobin_	4
226	Manaateee	4
226	cog	4
226	wwwwinnebagoooo	4
226	Soul_Atreus	4
226	BlankityMcBlank	4
226	Moetis	4
226	Steelynan	4
226	EcksD	4
226	jnp_gaming	4
248	Apollo_993	3
248	SaucyDark	3
248	Dogbound	3
248	ivorico	3
248	gaziter10	3
248	heckface	3
248	mattybeewrapss	3
248	bloodbiter	3
248	Ravenbie	3
248	_Dean_123	3
248	Smashic	3
248	Cambo5000	3
248	Bazongoman	3
248	CollinMH06	3
248	_Cloverbelle_	3
248	victorLIE	3
248	ADEXTV	3
248	aldplaysmc	3
248	NameIsSeven	3
248	Quaintster	3
248	kalzor	3
248	censorsheep	3
248	MightyWertu	3
248	Leithz6	3
248	LetsDoItLive	3
248	Cocoamallows	3
248	33sudo	3
248	kyouma777	3
248	xzvu	3
248	Nekomin0	3
248	Luigipunch989	3
248	_i_ERROR_i_	3
248	Dogcorn69420	3
248	CalebDHawk	3
248	fffMike	3
248	laron58	3
248	xolstoi	3
248	calamariclam_I	3
248	00000000-0000-0000-0009-01ff0c3e5e4f	3
287	Bandito_Roamer	2
287	diminub	2
287	ECstardust	2
287	Wooptey	2
287	RebelAndroid	2
287	Rox_The_Box	2
287	Jackster03	2
287	12Magner05	2
287	Awyrlas	2
287	theonlymagikarp	2
287	XboxPanda	2
287	An_Turtle	2
287	Hoid_the_Roamer	2
287	drompje	2
