rank	username	minecraft:used/minecraft:spruce_boat
152	hm947	30
152	Septemb3r	30
152	AssEatrAndLicker	30
152	Racengan	30
152	Nicserso	30
157	paranoid_plant	29
157	r123moore	29
157	Rocco_Lane	29
157	epiksk8erduck	29
157	Quincannon	29
157	E775	29
157	kinas45y5	29
164	SteveCraftBlocks	28
164	OtariCharlie	28
164	SkateboardR6	28
167	Ze_BaronKrigler	27
167	Poppy235	27
167	LeeMcGee30	27
170	Natty	26
170	Kkanot	26
170	Lord_Jord	26
170	Blaiku	26
174	hollowww	25
174	Shazzyling	25
174	FirsTimeGamingTV	25
174	Covalents	25
174	2blox	25
179	Harotio	24
179	zqw10k	24
179	AnnieBathory	24
179	CrateOfBoxes	24
179	RobotMinion101	24
179	SlinkyPinky	24
185	MunkaKris	23
185	Ardennes	23
185	Awyrlas	23
185	lordpipe	23
185	yatsuta	23
185	h2p_emrld	23
191	Thaumatarge	22
191	Matek_	22
191	reiwai	22
191	Inbefour	22
191	Groundler	22
191	stahouo	22
191	PlzNoBM	22
191	trexgb	22
199	rats_life	21
199	6king6colt6	21
199	Stynxy	21
199	jiggywraps	21
199	CarbonatedCola	21
199	egglapras	21
199	eiC_	21
199	TiborSterle	21
199	ayamefag	21
199	MineMaster0012	21
199	SSytex_X	21
199	lcvezra	21
211	bigstankyy	20
211	tramizu	20
211	G1ldor	20
211	encraft05	20
211	Parcc	20
211	Kynigito	20
211	Joestra	20
211	The_slideV3	20
211	IAmTheWalrus910	20
211	OG_Songsee	20
211	_3Stump_	20
211	Powowowow	20
223	EMC_	19
223	Voxin2K	19
223	XeroByMyth	19
223	FishyBoy3811	19
223	Jiminbub	19
223	El_Jalapeno	19
223	smogfrog	19
230	Cowison	18
230	ssleepless	18
230	ratglock	18
230	WET_WET_WET	18
230	cedric72	18
230	QueenShuvi	18
230	sp00ky_ghost977	18
230	Nagasaki_Riku	18
230	Optiprimus	18
230	erkada	18
230	MeetTheWollo	18
241	MinttyFressh	17
241	Ithaca_GC	17
241	John6970	17
241	The11thDoctor	17
241	Shiirazuku	17
241	TTNG	17
241	MyNameIsDakar	17
241	Bloo2406	17
241	ItzWqlfy	17
241	WYFYoyo	17
251	Ozixar	16
251	jushykins	16
251	AdvertisingMerc	16
251	Cambo5000	16
251	SuperPooch06	16
251	Eerini	16
251	Kubeusz2010	16
251	anbbang	16
259	Prodiginus	15
259	mariominejedi	15
259	thewindmillman	15
259	wrgates99	15
259	cosq	15
259	AlphaWolfPlaysMC	15
259	ogoa	15
259	EfficientC52	15
259	verynothing	15
259	Kowcio_	15
259	da10shi	15
270	jimintyy	14
270	XboxPanda	14
270	__Fanda__	14
270	Misty_Breeze	14
270	Hiryu27	14
270	Maenara	14
270	sufjanlover	14
270	Factoroni	14
270	Bonzaidalek	14
270	CassiusDio	14
270	Slapface522	14
270	jcool7	14
282	Krasnal1337	13
282	_stets	13
282	nocturne78	13
282	SirMinza	13
282	thescout7	13
282	CruncyIsTaken	13
282	Sqwishy	13
282	thgrocks	13
282	ClemenPine	13
282	OverallConcept	13
282	censorsheep	13
282	Cocoamallows	13
282	LordSpeed37	13
282	VentiHilton	13
282	Quotary	13
297	teslawolf38	12
297	Sna_Ke	12
297	ketaminmann	12
297	M_Patata	12
