rank	username	minecraft:used/minecraft:anvil
138	__tomato	17
138	laron58	17
144	tuckerdoodle	16
144	wezzzi	16
144	Meatlaugh	16
144	El_Jalapeno	16
144	censorsheep	16
144	MightyWertu	16
144	MovingFish7	16
144	Kubeusz2010	16
152	Jovaphobic	15
152	Euclidoris	15
152	Rumpletaezer	15
152	Arceus1975	15
152	Soap_Bender	15
152	Warlord324	15
152	WyngGoy	15
152	StarCookiees_	15
152	Spenduh	15
161	audiocracked	14
161	Kyrum2169	14
161	hermmm_	14
161	Nicserso	14
165	k_ce	13
165	MoistMicrowave	13
165	Archsam	13
165	legal_tax_evader	13
165	xDraggin	13
165	EdGalbraith	13
165	miramyu	13
165	TheBananaKat	13
165	TheWickedBird	13
174	I_Am_Mushkin	12
174	Megarboh	12
174	surfinggiraffejp	12
174	SuperPooch06	12
174	pretty_pink_reno	12
174	BumbleBeever	12
174	TheKingK_	12
174	PortlyPete69	12
174	ProbsNotNova	12
174	MilleGrug	12
184	Bandito_Roamer	11
184	Tommhh	11
184	Incinere	11
184	Wooptey	11
184	WarHammer3	11
184	QuiCreans	11
184	Crowman1	11
184	RobotMinion101	11
184	DarlaMeow	11
184	iSammael	11
184	SvenskaHugo	11
184	RadarHz	11
184	HesDemonPants	11
184	Sral7	11
198	Napoleonpancake	10
198	Comma__	10
198	TheDankPlatypus	10
198	yheece	10
198	epiksk8erduck	10
198	Fuad_R	10
198	MakeHistory157	10
198	SSytex_X	10
198	obzii	10
198	diggydog67	10
208	q_wq	9
208	6king6colt6	9
208	hm947	9
208	Swexti	9
208	eclipseboi	9
208	lorpus	9
208	Mewar	9
208	__TheNorseMan__	9
208	CollinMH06	9
208	fr_ser	9
208	AlphaWolfPlaysMC	9
208	yulgur1	9
208	Xclax101	9
208	_TCARREIRA_	9
208	CalebDHawk	9
208	_3Stump_	9
208	MissCeleste7	9
208	amkold	9
208	TheOnlyRake	9
227	H0UNDFRMH3LL	8
227	KarlKaek	8
227	T045RTY	8
227	CoffeeNoir	8
227	SpaceGrenadier	8
227	Tersea_	8
227	jacxhadow	8
227	MinttyFressh	8
227	Kamflame	8
227	Xalithia	8
227	Touched_Bread	8
227	nstuartwilliams1	8
227	SeverianOfUrth	8
227	MyNameIsJobo	8
227	LAVA129	8
227	LilyNova	8
227	ooga47	8
227	Truckoss	8
227	HyperCave	8
227	FishyBoy3811	8
227	Deodorante	8
227	AspenLightVT	8
227	_Karmaa	8
227	GravitySaint	8
227	SexcMf	8
227	TheEnderMan548	8
227	starbits140	8
254	maxdacatv2	7
254	NatalieTW	7
254	RoskobiOne	7
254	Flores991	7
254	RebelAndroid	7
254	ZaneABrain	7
254	MSK__	7
254	catandmoose	7
254	ProfessorBee	7
254	Cambo5000	7
254	hcb238	7
254	drunkeeez	7
254	Winklepicker279	7
254	King_Pancake1	7
254	cedric72	7
254	Maenara	7
254	True_Clipse	7
254	masskedman	7
254	NYJ	7
254	DarkS0L	7
254	StinkyDiplomat	7
254	Bloo2406	7
254	Synthoum	7
254	33sudo	7
254	SpacesickPrism	7
254	2blox_	7
254	h2p_emrld	7
281	Lepthymo	6
281	gren_ben	6
281	Hpdinosaur	6
281	Natty	6
281	Arteriana	6
281	ShedJr_	6
281	gaziter10	6
281	Malorn_Aetherius	6
281	Frxnkz	6
281	Cryptacity	6
281	bloodbiter	6
281	BilboBaggins23	6
281	Septemb3r	6
281	2Stout	6
281	Zythose	6
281	lizardfightclub	6
281	Hahaa_0	6
281	fkGrim	6
281	Fuhrer_Teemo	6
281	Deathkob	6
