rank	username	minecraft:used/minecraft:birch_fence
210	Hormones	8
210	pappaberg	8
210	NomadicRobin_	8
210	monolu	8
215	Foof13	7
215	Kkanot	7
215	YahooScreen9000	7
215	NameGenerat0r	7
219	TheDankPlatypus	6
219	ADEXTV	6
219	RedcatVII	6
219	MineMaster0012	6
219	CalebDHawk	6
219	Powowowow	6
225	12Magner05	5
225	TheDiamondCG	5
225	4774	5
225	magmaniacmc	5
229	angwla	4
229	SteveCraftBlocks	4
229	emrekn	4
229	phomic	4
229	CarltheCuck	4
229	Hiryu27	4
229	Skylord_Luke	4
229	RodSerlingCringe	4
229	Gryglu583	4
229	claivin	4
239	littlesophiagirl	3
239	BlancoFlaco	3
239	T045RTY	3
239	Myszoaz	3
239	bloodbiter	3
239	wiqor	3
239	Awyrlas	3
239	killmeiamtraitor	3
239	wrinkledpiglet	3
239	SUN_DREAM	3
249	AgressiveEggdog	2
249	ssleepless	2
249	Hpdinosaur	2
249	Swexti	2
249	fade_emerge78823	2
249	ROY4LE	2
249	hcb238	2
249	Winklepicker279	2
249	Giannism	2
249	Werbe	2
249	thgrocks	2
249	dezxalo	2
249	Rasmanden	2
249	sxc_	2
249	Sky_light_KING	2
249	Fuhrer_Teemo	2
249	Shin69	2
249	PortlyPete69	2
249	mawileite	2
249	AltnumberF4	2
269	Drlzyy	1
269	KingFaenor	1
269	Paleshield	1
269	Wooptey	1
269	ewsophie	1
269	jimintyy	1
269	H72l9w	1
269	Whiterooster001	1
269	Boboczus	1
269	G1ldor	1
269	NotMeanttoChange	1
269	Mookle96	1
269	intropass	1
269	gcaisawesome	1
269	Yuvl	1
269	SHAOBADMAN	1
269	Hoid_the_Roamer	1
269	dualvoidzz	1
269	Truckoss	1
269	BRRRN179	1
269	CarryLine	1
269	Maenara	1
269	lillips	1
269	chipklip	1
269	DarlaMeow	1
269	Quincannon	1
269	_Laverne_	1
269	33sudo	1
269	Nagasaki_Riku	1
269	ayamefag	1
269	TheEnderman548	1
269	pixelviolin	1
