rank	username	minecraft:used/minecraft:beacon
211	WET_WET_WET	5
211	King_Pancake1	5
211	ogoa	5
211	audiocracked	5
211	Deodorante	5
211	Deathkob	5
211	DarlaMeow	5
211	Barlycorn	5
211	Quotary	5
211	little_dUki	5
211	diggydog67	5
228	_NieToksikpl_	4
228	MixerDixer	4
228	abramgray	4
228	JEWISHBadenBeele	4
228	Iagoku	4
228	T045RTY	4
228	MSK__	4
228	oreee	4
228	jushykins	4
228	MinttyFressh	4
228	_Dean_123	4
228	groggregg42	4
228	emrekn	4
228	theonlymagikarp	4
228	MangoTheFish	4
228	Rocco_Lane	4
228	domagawha	4
228	Sky_light_KING	4
228	MyNameIsDakar	4
228	Warlord324	4
228	ElKaySVK	4
228	33sudo	4
228	07shiny	4
228	_TCARREIRA_	4
228	ProbsNotNova	4
228	MissCeleste7	4
228	TechnoNinja64	4
228	trexgb	4
256	nataliecool	3
256	_stets	3
256	I_Am_Mushkin	3
256	Flores991	3
256	NinjaKnifeKill	3
256	SpaceGrenadier	3
256	301851	3
256	Zedducius	3
256	Chickenchaser2	3
256	jiggywraps	3
256	YungJakobo	3
256	Z3braYTIL	3
256	SellyZ	3
256	NotKaden_	3
256	Bazongoman	3
256	burbankbuilder28	3
256	Afinnity	3
256	Sqwishy	3
256	HyperCave	3
256	Vetral1	3
256	Invisie	3
256	TheShyPig	3
256	RodSerlingCringe	3
256	DTwenty	3
256	Syropatathe	3
256	Karbl	3
256	drumine	3
256	Beagle_Boy_Bop	3
256	_Karmaa	3
256	ProfessorDiaper	3
256	Airem_Core	3
256	TheTommyGun63	3
256	MakeHistory157	3
256	Nagasaki_Riku	3
256	starbits140	3
256	ediballbearings	3
256	Luigipunch989	3
256	Winston_Ingram	3
256	Powowowow	3
256	The_SlideV5	3
256	FishisTTV	3
297	Crowvens	2
297	fanofbands101	2
297	TheMilkerOfCats	2
297	Houstonion	2
