rank	username	minecraft:used/minecraft:redstone
180	RobotMinion101	188
182	Syropatathe	187
183	Spenduh	183
184	CarltheCuck	179
185	diamondgolem35	176
185	BlueZabu	176
187	__Fanda__	174
187	BronkerBrum	174
187	Logain42	174
190	erkada	173
191	youhjjhhhjj	172
192	ivorico	171
193	gabriels543	170
194	bloodbiter	168
194	Factoroni	168
196	NoChumpChange	167
197	Fildyr	166
198	Crowvens	163
199	DAD_1996	162
200	SokaOtaku	158
201	Sleek_Storm_721	155
202	Ardennes	152
203	Wowful	151
204	teslawolf38	146
204	Kyrum2169	146
206	yatsuta	145
207	valkam13	144
208	Jackster03	143
209	M_Patata	142
210	Soul_Atreus	141
211	SDMNAEK	139
211	Kubeusz2010	139
213	Xalithia	136
213	JayToe	136
213	h2p_emrld	136
216	AnnieBathory	135
217	Prodiginus	132
217	mimbo1211	132
217	lillips	132
220	TheDankPlatypus	125
221	jacxhadow	124
221	MineMaster0012	124
223	Conrad139	123
224	Rich_Kat	121
224	Forcolp	121
226	Luigipunch989	120
227	stellarjay	119
228	Doom_melon	118
228	CrateOfBoxes	118
230	emrekn	117
230	claivin	117
230	_czarny	117
230	vandmanden	117
234	The_Thund	116
235	Purplehere	115
236	tartanboy	114
237	SharpDev	113
237	benediktine1	113
237	Winston_Ingram	113
240	Typadopoulos	111
241	SlowMoNinja1994	110
242	Steven1282598	109
243	SvenskaHugo	108
243	Kowcio_	108
245	Kferno	107
245	Nicserso	107
247	mariominejedi	106
247	Bloo2406	106
249	Kegradigm	105
249	TheDumbHuman	105
251	Comma__	104
251	Gryglu583	104
251	SingedBread	104
254	heysushii	103
254	TheSeismicDuck	103
256	SquadMonster	102
257	sxc_	100
258	Karbl	99
258	SkateboardR6	99
260	Merv__	98
260	Nicky19	98
262	bndo	97
263	UltraZombie	96
264	Chromary	95
264	KlausVonStiglitz	95
266	DepressedCubic	93
266	MasterNueve	93
268	PlzNoBM	92
269	Tobinator_007	91
269	CoffeeNoir	91
269	H72l9w	91
269	MeetTheWollo	91
273	Gary_	90
273	ROY4LE	90
275	AltnumberF4	89
276	Strangemonkey71	88
277	Nach0Bear	84
277	theonlymagikarp	84
277	ori0le	84
277	MovingFish7	84
281	Motsaro	83
281	Rasmanden	83
283	MOSS000	82
284	Houstonion	80
284	CruncyIsTaken	80
286	MinttyFressh	78
286	Meepcraft	78
288	SammiWolfGirl	77
289	SteveCraftBlocks	76
289	CalebDHawk	76
291	lizardfightclub	75
292	SaucyDark	71
293	Malorn_Aetherius	70
293	groggregg42	70
295	pappaberg	69
295	silverpopcorn	69
297	rarrq	68
297	_Dean_123	68
297	Hoid_the_Roamer	68
297	Donutt	68
