rank	username	minecraft:used/minecraft:smoker
168	Stynxy	4
168	Guillemet	4
168	Jokerman369	4
168	Master_Kol	4
168	Gingayy	4
168	Mariopreeet	4
168	Bobby808	4
168	Mewar	4
168	SpicyMeatballs	4
168	XboxPanda	4
168	TheDankPlatypus	4
168	Hyp3rion_	4
168	SvenskaSara	4
168	The11thDoctor	4
168	Jimi7hits	4
168	Aangezet	4
168	wobn	4
168	MinuteMira	4
168	1442	4
168	EfficientC52	4
168	LordAurum	4
168	Dusk_95	4
168	ItsDeltaMC	4
168	Decaying_Lotus	4
168	UCP_TheKingK	4
168	_TCARREIRA_	4
168	Erased_Identity	4
168	ConnorDanky_	4
168	Legendosh	4
168	UrbanPlanningEx	4
168	TechnoNinja64	4
168	bladeefan2009	4
168	Biites	4
210	SugarMyNuggets	3
210	Yatitay	3
210	Gemstuff	3
210	diamondgolem35	3
210	RatatJuice	3
210	Flores991	3
210	RebelAndroid	3
210	ewsophie	3
210	Jahara	3
210	SidorAlex	3
210	peach0s	3
210	Mercadies	3
210	Notta	3
210	Auseawesome	3
210	Cryptacity	3
210	StanceTB	3
210	corvidpartyfor6	3
210	Awyrlas	3
210	LeauVox4921	3
210	SHAOBADMAN	3
210	trixterrx	3
210	gabriels543	3
210	Zythose	3
210	AnnieBathory	3
210	nut_e	3
210	epiksk8erduck	3
210	ougstur	3
210	KliBeast21	3
210	yulgur1	3
210	Syropatathe	3
210	fkGrim	3
210	NYJ	3
210	Deathkob	3
210	SolicitedPuma101	3
210	Mr_Gulle	3
210	MyNameIsDakar	3
210	Typadopoulos	3
210	DarkLawD	3
210	xyfrs	3
210	MakeHistory157	3
210	33sudo	3
210	Optiprimus	3
210	c0la_c0ca	3
210	DennyKai	3
210	MineCryptian	3
210	ThisUserIsStump	3
210	TheOuterCore	3
210	Skippeh	3
210	TheOnlyRake	3
210	xorompole	3
210	mountaingirl311	3
210	coobert42	3
210	00000000-0000-0000-0009-01ff0c3e5e4f	3
263	funeralhome	2
263	_Virify_	2
263	dudcreeper	2
263	fanofbands101	2
263	awesomeweasel	2
263	Houstonion	2
263	Tolhart	2
263	JokoFiskare	2
263	Alteriity	2
263	AlazelTheReal	2
263	Jackster03	2
263	oreee	2
263	TastyPorkchop	2
263	Shazzyling	2
263	Ganjier	2
263	ccormacs	2
263	cheerytomato	2
263	NieToksikpl	2
263	Sloths_Ender	2
263	shyshyannne	2
263	Scattman_	2
263	slkiey	2
263	PegLegPete93	2
263	hayybails	2
263	HoltGrim	2
263	CharlieButt	2
263	ehunt54	2
263	CaptainSteve345	2
263	SuperPooch06	2
263	Chromary	2
263	fenkuu	2
263	LAVA129	2
263	moonman169	2
263	Jeteight	2
263	Skylord_Luke	2
263	N7November	2
263	FungalCat	2
263	Ghemmah	2
