rank	username	minecraft:used/minecraft:birch_trapdoor
184	Drewen24	5
184	BumbleBeever	5
184	LetsDoItLive	5
184	ediballbearings	5
184	Nicserso	5
194	dimondking777	4
194	Incinere	4
194	Wooptey	4
194	gaziter10	4
194	AJplaysMC_	4
194	whoaluv	4
194	Hyp3rion_	4
194	Skylord_Luke	4
194	Myhym	4
194	natajimi	4
194	_Karmaa	4
194	Shin69	4
194	mobunni	4
207	teslawolf38	3
207	Historical_Sand	3
207	shdesolt	3
207	NotMeanttoChange	3
207	ItzYaBoiPicard	3
207	RustyKedel	3
207	Rumpletaezer	3
207	ChocolatePepsi	3
207	censorsheep	3
207	Blaiku	3
207	JosephCW	3
207	Eraxa	3
207	y0shik	3
207	jcool7	3
207	_KuruKuru	3
207	EcksD	3
207	cichy096	3
207	_AAZAR	3
207	MelodyGaysharks	3
226	The_Great_Jake	2
226	chimpmunker	2
226	Hpdinosaur	2
226	HollieDaNugget	2
226	OwenBrew	2
226	cowgirlkasia	2
226	jacxhadow	2
226	ProfessorBee	2
226	Ithaca_GC	2
226	Covalents	2
226	Chazama	2
226	CharlieButt	2
226	__Fanda__	2
226	epiksk8erduck	2
226	wrinkledpiglet	2
226	xKhoshekh	2
226	PuFY	2
226	ADEXTV	2
226	Tergandius	2
226	NomadicRobin_	2
226	proxivitoid	2
226	NameGenerat0r	2
226	Nycteus_	2
226	EtherealEspresso	2
226	Luigipunch989	2
226	UltraZombie	2
226	CalebDHawk	2
226	KingMatthew506	2
226	BreadBacon	2
226	FelixPSY375	2
256	Mr_Byzantine	1
256	bigstankyy	1
256	ivorico	1
256	IWorkAtIkea	1
256	Atroxes	1
256	Meme25327	1
256	Ssor69	1
256	MrExplorer	1
256	NotTrixi	1
256	emrekn	1
256	Tenns	1
256	Poppycop	1
256	Zenlou	1
256	mimbo1211	1
256	Avrelion	1
256	Ecplosive	1
256	valiSW	1
256	Chromary	1
256	AlexStrange	1
256	ooga47	1
256	Truckoss	1
256	HyperCave	1
256	YahooScreen9000	1
256	The_Quack_Dealer	1
256	the__Reaper4999	1
256	Barlycorn	1
256	BlankityMcBlank	1
256	stahouo	1
256	HesDemonPants	1
