rank	username	minecraft:used/minecraft:dark_oak_door
108	MunkaKris	9
108	joethahobo	9
108	Alphanzt99	9
108	intropass	9
108	Bumpy419	9
108	RohnJosin	9
108	PigDab	9
108	sp00ky_ghost977	9
108	stahouo	9
108	diggydog67	9
118	6king6colt6	8
118	301851	8
118	jacxhadow	8
118	egglapras	8
118	M_Patata	8
118	Sky_light_KING	8
118	Deathkob	8
118	fluddd	8
118	Matorz	8
118	MasterNueve	8
118	layabout100	8
118	Sank34	8
118	Juh1s	8
118	JayToe	8
118	fastPREDATOR	8
133	Jovaphobic	7
133	Tobinator_007	7
133	ProbablyNick	7
133	spaece	7
133	Ao_Ken	7
133	ratglock	7
133	GingerNeutron	7
133	Awyrlas	7
133	Boogaloo242	7
133	Karetoko	7
133	selectrix	7
133	Onennon	7
133	Leyna3	7
133	RodSerlingCringe	7
133	avalan64	7
133	Airem_Core	7
133	IAmTheWalrus910	7
133	07shiny	7
133	Sheldor097	7
133	Njensen7	7
133	Hermanni__	7
133	potatocan	7
133	jnp_gaming	7
133	YoshikageBites	7
157	T045RTY	6
157	ZaneABrain	6
157	PhantomBionic	6
157	ProfessorBee	6
157	Tjhodskins19	6
157	Stiar	6
157	benediktine1	6
157	gabriels543	6
157	fred870d	6
157	Kynigito	6
157	theofiel	6
157	Akoot_	6
157	DarkS0L	6
157	1442	6
157	cringenaynaybaby	6
157	Blaiku	6
157	bndo	6
157	Zetsey	6
157	PncakeUniverse	6
157	cichy096	6
157	Jordan_R	6
178	AuroraValkyrie	5
178	HollieDaNugget	5
178	Natty	5
178	heckface	5
178	Euclidoris	5
178	ThePoliteG	5
178	TowenPL	5
178	500am	5
178	Zaridey	5
178	wirelesstree	5
178	LexMakesHistory	5
178	FlashMigma	5
178	Xclax101	5
178	MakeHistory157	5
178	Kowcio_	5
178	Nekomin0	5
178	JasmineGK	5
178	Enderslayerxz3	5
178	TechnoNinja64	5
178	kinas45y5	5
198	RosaDoesMC	4
198	Khelvoryk	4
198	Notta	4
198	CliffEmAll	4
198	jushykins	4
198	joppen12	4
198	DarkDescent2392	4
198	shyshyannne	4
198	UncreativeArtist	4
198	type11	4
198	Purplehere	4
198	Zythose	4
198	lordpipe	4
198	LordSpeed37	4
198	starbits140	4
198	__tomato	4
198	GlitchyPlate810	4
198	laron58	4
198	Skippeh	4
198	trexgb	4
218	AshleeCW	3
218	La_Conne	3
218	dongli	3
218	Hpdinosaur	3
218	maliraspberry	3
218	SpaceGrenadier	3
218	zorin123	3
218	emrekn	3
218	Inchef	3
218	n2ckn2ck	3
218	SLASHZEERA	3
218	gcaisawesome	3
218	mimbo1211	3
218	moist_jellyfish	3
218	fallingemma	3
218	CollinMH06	3
218	Di_infiri	3
218	LAVA129	3
218	moonman169	3
218	ooga47	3
218	Toiton	3
218	Beagle_Boy_Bop	3
218	SkateboardR6	3
218	Yahir091	3
218	monky_irl	3
218	__hinterland__	3
218	Ze_BaronKrigler	3
218	Eraxa	3
218	SSytex_X	3
218	_TCARREIRA_	3
218	MusicMe1005	3
249	THExMuffinx	2
249	Ganongeek	2
249	dudcreeper	2
249	Lotheburgh	2
249	Sleek_Storm_721	2
249	I_Am_Mushkin	2
249	Nesquiczek	2
249	bigstankyy	2
249	Incinere	2
249	Zlatovlas	2
249	buss081	2
249	MSK__	2
249	CantinaTaco	2
249	musique99	2
249	Ozixar	2
249	Prodiginus	2
249	InfernalMound	2
249	Auseawesome	2
249	SteveCraftBlocks	2
249	TheDiamondCG	2
249	Austine6698	2
249	Ch4osDoom64	2
249	SourPapaSmurf	2
249	ApophisNova	2
249	Hyperphoenix42	2
249	OtariCharlie	2
249	Aangezet	2
249	ese_wn_po	2
249	Jiminbub	2
249	NYJ	2
249	madderfall	2
249	DarlaMeow	2
249	Soap_Bender	2
249	claivin	2
249	carpet4_69	2
249	Leithz6	2
249	OG_Songsee	2
249	Nagasaki_Riku	2
249	tsitrawhy	2
249	snizv1	2
249	stellarjay	2
249	Deguns123	2
249	felincaus	2
249	fffMike	2
249	TheOuterCore	2
249	MyNamaSheff	2
249	_Dri_	2
249	Tristankill	2
297	dabloons	1
297	Drlzyy	1
297	Healthing	1
297	numbra	1
