rank	username	minecraft:used/minecraft:dispenser
103	Historical_Sand	41
103	EngagedGrub41	41
105	Legendosh	40
106	Zythose	39
107	m_be9	38
107	fw3xy	38
107	Soplight	38
107	Nicserso	38
111	TheSecondLord	36
111	07shiny	36
111	PortlyPete69	36
114	RoskobiOne	35
114	legal_tax_evader	35
116	Huwulling	34
116	masskedman	34
118	q_wq	32
118	Shogunite	32
120	Masssonnn	31
121	MC_Skribble	30
121	obzii	30
123	lorpus	28
124	j5ylim	27
124	Ryker	27
124	SteveCraftBlocks	27
124	Pumpkin_P_Patch	27
128	MinttyFressh	26
128	MAns_44	26
128	Quotary	26
131	M_Patata	25
131	MasterNueve	25
133	_Duckery	24
133	BumbleBeever	24
135	tuckerdoodle	23
136	Ryan_GEMS	22
136	AngalexikCZ	22
136	gcaisawesome	22
136	Covalents	22
136	prizm_	22
136	AltnumberF4	22
136	TechnoNinja64	22
143	TheShyPig	21
144	EKUG	20
145	SvenskaHugo	19
145	CalebDHawk	19
147	Jovaphobic	18
147	philandr	18
147	CharlieButt	18
147	Hoid_the_Roamer	18
151	heysushii	17
151	skroobiez	17
151	set67	17
151	mwrty	17
151	MyNameIsJobo	17
151	seramalen	17
151	IamCL4SSY	17
151	Akoot_	17
151	Racengan	17
151	ProbsNotNova	17
161	CoffeeNoir	16
161	_8man	16
161	ori0le	16
161	Hisiste	16
161	Segotep999	16
166	Comma__	15
166	Studio4x32	15
166	Enderxz3	15
169	AshleeCW	14
169	Jahara	14
169	SoftSix	14
169	CollinMH06	14
169	pappaberg	14
169	bruh072	14
175	_Dean_123	13
175	Paintz	13
175	burbankbuilder28	13
175	Kyrum2169	13
175	Jordan_R	13
180	IWorkAtIkea	12
180	r123moore	12
180	Cruncy_	12
180	Airem_Core	12
180	UrbanPlanningEx	12
180	es0th	12
186	ActualPatbaf	11
186	mattybeewrapss	11
186	bloodbiter	11
186	Scathra	11
186	Fullbit_	11
186	Inchef	11
186	2extreeme	11
186	miramyu	11
194	Merv__	10
194	CarltheCuck	10
194	KeruNatsema	10
194	ReSynced	10
194	EdGalbraith	10
194	balin55	10
194	censorsheep	10
194	Xclax101	10
194	Fildyr	10
194	lordpipe	10
194	StarCookiees_	10
194	_TCARREIRA_	10
206	QuiCreans	9
206	Rich_Kat	9
206	himak1	9
206	theonlymagikarp	9
206	ooga47	9
206	Onennon	9
206	Forcolp	9
206	The_slideV3	9
206	Optiprimus	9
206	Sheldor097	9
206	HesDemonPants	9
206	Powowowow	9
218	ECstardust	8
218	tortillatitan	8
218	yaboo88	8
218	GamerDuck123	8
218	FishyBoy3811	8
218	Jimi7hits	8
218	BartekB19	8
218	WyngGoy	8
218	jcool7	8
227	IgnoredBee	7
227	Euclidoris	7
227	shadowthemonkey	7
227	SlayerCrypto	7
227	wezzzi	7
227	TheSeismicDuck	7
227	audiocracked	7
227	luseis	7
227	AspenLightVT	7
227	FiguraDei	7
227	Jij0	7
227	SammiWolfGirl	7
227	K_a__a_n	7
240	powercas_gamer	6
240	NieToksikpl	6
240	Secret_Canary	6
240	Purplehere	6
240	Winklepicker279	6
240	grislgrobl	6
240	epiksk8erduck	6
240	MustaLoordi	6
240	__tomato	6
240	Luigipunch989	6
240	PlzNoBM	6
251	skatch212	5
251	teslawolf38	5
251	Niklas20114552	5
251	diamondgolem35	5
251	SOA1RR	5
251	Julmish	5
251	hydrothebot	5
251	NotMeanttoChange	5
251	emrekn	5
251	Boipl	5
251	Mr_Froxy	5
251	Rasmanden	5
251	Maenara	5
251	Fuhrer_Teemo	5
251	_Karmaa	5
251	Barlycorn	5
251	Eraxa	5
251	Invintic	5
251	Kubeusz2010	5
270	H0UNDFRMH3LL	4
270	Lorcout	4
270	robertsnose	4
270	bigstankyy	4
270	EkkoTraveler	4
270	remgrandt	4
270	Wooptey	4
270	SyntheticSurgeon	4
270	Nicky_H225	4
270	ABUSNA1996	4
270	kekhon	4
270	cyrusisntgay	4
270	i2f8x4h8ro	4
270	slkiey	4
270	eiC_	4
270	Zaridey	4
270	tobinwilliams	4
270	cedric72	4
270	Olib3ar	4
270	HolyVenom	4
270	groofles	4
270	KliBeast21	4
270	hoaimi	4
270	AuroraSkies	4
270	Lutres_	4
270	_flud	4
270	Lord_Doob	4
270	IAmTheWalrus910	4
270	Vetomo8000	4
270	2blox_	4
300	k_ce	3
