rank	username	minecraft:used/minecraft:spruce_log
133	Dakar_	913
134	livingdaydreams	894
135	hanaryheatwave	892
136	TheKingK_	890
137	RebytreGT	883
138	Kkanot	871
139	SnowyAvi	866
140	RatatJuice	864
141	SmashingPump	837
142	2Stout	836
143	Tiktola01	821
144	FreakGenius	820
145	prizm_	814
146	CoffeeNoir	812
147	taengoos	811
148	obzii	804
149	tuckerdoodle	793
150	ZoomieZoomie	790
151	12Magner05	776
152	BlancoFlaco	774
153	Huwulling	757
154	Septemb3r	756
155	Winklepicker279	751
156	Smashic	738
157	Spacewardharpy7	735
158	lordpipe	721
159	PortlyPete69	717
160	RobotMinion101	714
161	catandmoose	712
162	LugusMcGrugus	702
163	krutas2000	700
164	seanitoo	699
165	Wolverine4302	698
166	HesDemonPants	697
167	EngagedGrub41	687
168	Spenduh	675
169	PigDab	668
170	heysushii	659
171	John6970	658
172	Patwannabegamer	638
173	ADEXTV	634
174	SpicyMeatballs	625
175	Saucepeh	619
176	Paint	613
177	U_Mos_	612
178	Harotio	608
179	NomadicRobin_	602
180	fffMike	600
181	orxngejuice	591
181	weabis	591
183	Buuck_	589
184	PegLegPete93	586
185	queenalina123	585
186	Lutres_	583
187	Niklas20114552	577
188	Xalithia	576
189	Segotep999	560
190	Soplight	559
191	FishyBoy3811	556
192	Cortexia	554
193	NieToksikpl	551
193	Fakiuss	551
195	olliebollie48	549
196	CrookedKaptain	544
197	TheGameArchitect	543
198	Enigma0251	542
199	Burge_r	537
200	MightyWertu	536
201	teslawolf38	534
202	Groovy_MoonBird	529
203	LeauVox4921	526
204	Zlatovlas	521
205	Myntsys	514
206	Felenov	511
207	SammiWolfGirl	509
208	icim	508
209	elliebelle107	506
210	YungMaki	499
211	Jonte0599	497
212	Cruncy_	493
213	Avocadogerms	491
214	LetsDoItLive	489
215	r123moore	483
216	corvidpartyfor6	482
217	andy_rex	479
218	layabout100	473
219	Ryker	467
219	RedcatVII	467
219	Ze_BaronKrigler	467
222	Zee_zey	466
223	Healthing	460
224	Bandito_Roamer	454
225	pappaberg	453
226	CalebDHawk	451
227	redikul	449
228	purpolepickle	448
229	MinttyFressh	447
230	The_Quack_Dealer	438
230	UrbanPlanningEx	438
232	Typadopoulos	434
233	roxycherry	430
234	Boipl	426
235	HollieDaNugget	422
236	monolu	407
237	NoxxxxiS	398
237	iSammael	398
237	2blox_	398
240	Jovaphobic	393
240	Stiar	393
242	AlexxO_o	391
243	IgnoredBee	389
243	AuroraSkies	389
245	dopplexd	381
245	hermmm_	381
247	cytotoxaint	377
248	Studyhallsaver	376
248	StarCookiees_	376
250	DepressedCubic	374
250	Optiprimus	374
252	JETrotter	373
253	MAns_44	370
254	Inbefour	367
255	avalan64	365
256	Sheellky	361
257	Kamflame	356
257	Fizznut909	356
259	EfficientC52	355
260	Ristebraaten	354
260	_Karmaa	354
262	The_slideV3	350
263	tsitrawhy	349
263	_i_ERROR_i_	349
263	h2p_emrld	349
266	Tolhart	347
267	laron58	341
268	guiltybastard	340
269	RebelAndroid	336
269	dedgt	336
269	Slapface522	336
272	Yatitay	335
273	Bobby808	334
274	FlashMigma	331
275	SuperPooch06	328
275	xzvu	328
277	SquadMonster	322
277	Aangezet	322
279	ougstur	321
279	privatemeekly	321
281	Maenara	318
282	ExtraDumb	311
283	Creativebuilder2	310
283	Cartoonmaniac	310
285	Shiirazu	302
286	Matorz	301
287	excelsionprime	300
288	HellsSponge	299
289	SourPapaSmurf	296
289	Warlord324	296
289	TechnoNinja64	296
292	HyperCave	294
292	ewpunk	294
294	Nadhorion	292
295	DairyNickel756	291
296	4774	288
296	DC_XII	288
298	IamCL4SSY	286
298	NebulousBadger	286
300	TheOuterCore	285
