rank	username	minecraft:used/minecraft:diamond_block
99	Onennon	21
99	_Karmaa	21
101	xxPipperDipperxx	20
102	DAD_1996	19
102	Airem_Core	19
104	Comma__	18
104	Shogunite	18
106	Groundler	17
107	Awyrlas	16
107	SBean737	16
107	bladeefan2009	16
110	Enderxz3	15
111	nattybears	14
111	Lord_Jord	14
111	RedcatVII	14
111	LeEricc	14
111	Hermanni__	14
111	MirielThePastor	14
117	SoftSix	13
117	thescout7	13
117	Snowflowe	13
117	audiocracked	13
117	Nycteus_	13
122	BlankityMcBlank	12
123	Jackattack53	11
123	RoofTyler	11
125	jessewegottacook	10
125	thewindmillman	10
125	Bumpy419	10
125	wezzzi	10
125	DolphinLaugh	10
130	seanitoo	9
130	Smussa	9
130	Truckoss	9
133	PhantomsGhost_	8
133	I_Am_Mushkin	8
133	NotP0tato	8
133	ROY4LE	8
133	gabriels543	8
133	Rumpletaezer	8
133	AlexxO_o	8
133	weabis	8
133	Eraxa	8
133	SammiWolfGirl	8
133	MilleGrug	8
144	XboxPanda	7
144	EveryonesUncle	7
144	sufjanlover	7
147	ThiccExotic	6
147	Rebytre	6
147	Hiryu27	6
147	FishyBoy3811	6
147	NATE_the_HALO	6
147	Dreamdbr14	6
147	Eczbek	6
147	xolstoi	6
155	dimondking777	5
155	T045RTY	5
155	ZaneABrain	5
155	bloodbiter	5
155	paranoid_plant	5
155	mwrty	5
155	juuustpeachy	5
155	Arceus1975	5
155	Fuhrer_Teemo	5
155	wwwwinnebagoooo	5
155	TheTommyGun63	5
155	Cocoamallows	5
155	lcvezra	5
155	ZeroKraken	5
169	Euclidoris	4
169	MattieHD	4
169	Scathra	4
169	_Bguette_	4
169	DarlaMeow	4
169	Mythic1130	4
169	Soplight	4
176	chipklip	3
176	Dogbound	3
176	oreee	3
176	ProfessorBee	3
176	BilboBaggins23	3
176	Kakolbus	3
176	RobotMinion101	3
176	Wowful	3
176	FreddyFart	3
176	Katthaj	3
176	censorsheep	3
176	Xclax101	3
176	Dogcorn69420	3
176	Njensen7	3
176	Nicserso	3
176	JayToe	3
192	Krasnal1337	2
192	k_ce	2
192	CadenSteele	2
192	PazinGaming	2
192	Sabby65	2
192	Myszoaz	2
192	featherflyy	2
192	roxycherry	2
192	Crowman1	2
192	DermeinUser	2
192	Zaridey	2
192	Marbz_	2
192	ItsMrRamen	2
192	ApophisNova	2
192	aec9	2
192	theofiel	2
192	ZA07	2
192	The_Quack_Dealer	2
192	ItsDeltaMC	2
192	SexcMf	2
192	brofrickcheaters	2
192	_TCARREIRA_	2
192	MyNamaSheff	2
192	TechnoNinja64	2
216	Bandito_Roamer	1
216	FazeObama69	1
216	teslawolf38	1
216	q_wq	1
216	diamondgolem35	1
216	bigstankyy	1
216	gren_ben	1
216	ssleepless	1
216	LeDuctTape	1
216	Hpdinosaur	1
216	Incinere	1
216	RebelAndroid	1
216	WarHammer3	1
216	H72l9w	1
216	gaziter10	1
216	Da_Boss_Rani	1
216	MrExplorer	1
216	noodlepack	1
216	Timfinity4	1
216	SteveCraftBlocks	1
216	slkiey	1
216	Z3braYTIL	1
216	Kamflame10	1
216	4774	1
216	2Stout	1
216	Winklepicker279	1
216	Lil_Breadboy	1
216	SuperPooch06	1
216	Jonafrog99	1
216	AmbroseForLife	1
216	pappaberg	1
216	Felenov	1
216	Mattesco	1
216	Kynigito	1
216	fkGrim	1
216	luseis	1
216	madderfall	1
216	Karbl	1
216	Quaintster	1
216	GoofySilly	1
216	MightyWertu	1
216	THEKINGLyric10	1
216	Vegvisir	1
216	SkateboardR6	1
216	mihimihimihi	1
216	MovingFish7	1
216	Dusk_95	1
216	Godspirit249	1
216	Ze_BaronKrigler	1
216	ayamefag	1
216	pixelviolin	1
216	Kowcio_	1
216	UCP_TheKingK	1
216	thedhub	1
216	GlitchyPlate810	1
216	Nargotah	1
216	Iamthejo	1
