rank	username	minecraft:used/minecraft:cooked_beef
96	Enderxz3	289
97	SvenskaHugo	288
98	Malorn_Aetherius	281
99	Cowison	280
100	_Nuf	278
101	Bandito_Roamer	275
102	Fuhrer_Teemo	271
103	Truckoss	270
104	SuperPooch06	267
105	Zaridey	265
106	Vizzoid	264
107	Warlord324	257
108	Hyugo	256
109	fffMike	254
110	Nicserso	252
111	intropass	251
111	MyNameIsJobo	251
113	AnnieBathory	248
114	The_slideV3	247
114	ConnorDanky_	247
116	joethahobo	246
117	301851	240
117	corvidpartyfor6	240
117	Avocadogerms	240
120	epiksk8erduck	239
121	Rumpletaezer	238
122	bloomkieren	236
122	SSytex_X	236
124	MakeHistory157	230
125	ClemenPine	228
126	xxPipperDipperxx	222
127	TheDankPlatypus	219
128	selectrix	215
129	emrekn	214
130	_Karmaa	213
131	DC_XII	211
132	Meatlaugh	210
133	_TCARREIRA_	208
134	lcvezra	206
135	6king6colt6	203
136	Tyrannosplart	201
137	Groovy_MoonBird	199
137	jacxhadow	199
139	ReflexCode	194
139	Spenduh	194
141	lillips	193
141	EfficientC52	193
143	bigstankyy	192
143	_Mythic____	192
145	CharlieButt	191
146	Voxin2K	186
146	DTwenty	186
146	anbbang	186
149	Incinere	185
150	GravitySaint	184
151	Hiryu27	182
151	MustaLoordi	182
153	m_be9	181
154	Kateesaur	180
154	00000000-0000-0000-0009-01ff0c3e5e4f	180
156	DarlaMeow	179
156	calamariclam_I	179
158	Soplight	175
159	Historical_Sand	174
160	Russiancat1	173
161	Karbl	172
162	wobn	169
163	QuiCreans	167
163	Inbefour	167
165	BlancoFlaco	166
165	yulgur1	166
165	HesDemonPants	166
168	NieToksikpl	163
169	ratglock	161
170	J4k__	158
170	Kim_Jong_eel	158
172	tsitrawhy	157
172	skrongus	157
174	StanceTB	156
175	DennyKai	155
175	CattSoup	155
177	RyuNeko932000	153
178	Winklepicker279	151
178	Wolverine4302	151
180	Jackster03	150
181	Noah_Bez	149
182	Marbz_	147
182	Ezekson	147
184	fkGrim	146
184	33sudo	146
186	Druid95	145
187	MoistMicrowave	144
187	Mewar	144
187	FishisTTV	144
190	Pofen	143
191	Jackattack53	139
191	Kyrum2169	139
191	jcool7	139
194	obzii	138
195	KingFaenor	137
196	ThePoliteG	135
197	KingMatthew506	134
198	ROY4LE	133
198	Hoid_the_Roamer	133
200	Barlycorn	132
201	Froste131	131
201	Natty	131
201	Crowman1	131
204	1442	129
205	RedcatVII	128
205	Hisiste	128
207	Mahoose	127
207	Powowowow	127
209	Shadoko_	126
209	Smashic	126
211	KarlKaek	125
212	Guillemet	124
212	whoaluv	124
212	DolphinLaugh	124
215	Lepthymo	123
215	Euclidoris	123
217	voiding_	121
218	jewbacaman	120
218	Dakar_	120
220	Katsuragi0243218	117
221	Moofyman	116
221	BRRRN179	116
223	Arceus1975	115
223	wezzzi	115
223	Darkgon	115
226	Killercatty78	114
227	Huwulling	110
227	SUN_DREAM	110
227	Strangemonkey71	110
230	WET_WET_WET	108
230	yaboo88	108
230	trexgb	108
233	PhantomsGhost_	107
233	HeraclesOGU	107
233	yatsuta	107
236	Harotio	106
236	eiC_	106
238	LeeMcGee30	105
239	AlphaWolfPlaysMC	104
240	livingdaydreams	103
240	CoffeeNoir	103
240	Skomo	103
243	gaziter10	102
244	I_Am_Mushkin	101
244	underscore_2	101
246	TheOnlyRake	100
247	Cryptacity	99
247	Jiminbub	99
249	Zippyzam	97
250	gary_	96
250	Nach0Bear	96
252	SammiWolfGirl	95
253	MrExplorer	94
253	noam464	94
253	aec9	94
253	_i_ERROR_i_	94
253	laron58	94
258	Wooptey	93
258	nocturne78	93
258	jushykins	93
261	sxc_	92
262	Joestra	91
263	NatalieTW	87
264	SoftSix	86
264	GingerNeutron	86
264	Kubelz	86
267	r123moore	85
267	platinumzero	85
267	mimbo1211	85
267	CalebDHawk	85
271	Swexti	84
271	G1ldor	84
271	CollinMH06	84
271	PortlyPete69	84
275	dudcreeper	83
275	Shiirazu	83
275	Racengan	83
275	Decaying_Lotus	83
279	Giannism	82
279	LilLizardWizard	82
279	masskedman	82
282	Houstonion	81
282	paranoid_plant	81
282	LexMakesHistory	81
285	Ssor69	80
285	Enigma0251	80
285	Silvo614	80
285	HolyVenom	80
289	InfernalMound	79
290	_stets	78
291	Tiberonus	77
291	RoBe__	77
293	Paint	76
293	TheDiamondCG	76
293	ItsAki_	76
293	_Meow_Mix	76
293	Kura2218	76
298	SingedBread	75
299	F_Uhre	74
299	XxCookiequeenxX	74
