rank	username	minecraft:used/minecraft:glowstone
119	Snowflowe	80
120	killmeiamtraitor	78
121	MightyWertu	77
122	Cowison	74
122	AJplaysMC_	74
122	ItsDeltaMC	74
125	sebastiensaborio	73
126	MinttyFressh	71
127	Nicky_H225	70
127	MyNameIsJobo	70
127	Deguns123	70
130	censorsheep	69
130	JayToe	69
132	fallingemma	68
132	WyngGoy	68
132	obzii	68
135	NoxxxxiS	67
135	DarlaMeow	67
137	TheBiggestFeller	66
137	stellarjay	66
139	Arceus1975	65
139	stuy9	65
141	RadarHz	64
142	chipklip	63
143	burbankbuilder28	62
143	2blox	62
145	abramgray	61
145	Drlzyy	61
147	jacxhadow	59
148	Matorz	57
148	EcksD	57
150	Barlycorn	56
151	Bandito_Roamer	55
151	Njensen7	55
153	PhantomsGhost_	54
153	TheTrueClipse	54
155	Hyugo	52
155	ApophisNova	52
155	Kyrum2169	52
155	MyNamaSheff	52
159	ssleepless	51
159	BodaciousCake	51
159	madderfall	51
159	Lutres_Torane	51
163	MattieHD	49
163	seramalen	49
163	Invisie	49
166	rarrq	46
166	Valoth	46
166	XxCookiequeenxX	46
169	Euclidoris	45
170	CalebDHawk	44
171	Scathra	43
172	The11thDoctor	41
172	PlzNoBM	41
174	Billious	40
175	q_wq	39
175	Blu3beast	39
175	Dusk_95	39
178	IWorkAtIkea	38
178	Comma__	38
178	eiC_	38
178	AlphaWolfPlaysMC	38
182	SaucyDark	37
182	whoaluv	37
182	__tomato	37
185	yaboo88	36
185	wobn	36
185	Deerfoot	36
188	6king6colt6	34
188	wwwwinnebagoooo	34
188	anbbang	34
191	Ozixar	33
191	XeroByMyth	33
193	little_dUki	32
194	ibarker21	31
194	alderban107	31
196	Doom_melon	30
196	ogoa	30
196	marumochis	30
199	T045RTY	29
199	Malorn_Aetherius	29
199	RohnJosin	29
199	Dreamdbr14	29
199	Kubeusz2010	29
199	MeetTheWollo	29
205	ABUSNA1996	28
205	MAns_44	28
205	KG1999	28
205	Hermanni__	28
209	thescout7	27
209	Queen_Jalapeno	27
209	DanTheBuilderino	27
212	Wooptey	26
212	r123moore	26
212	FelixPSY375	26
215	Kamflame10	25
215	surfinggiraffejp	25
215	Sky_light_KING	25
215	RedcatVII	25
219	pr33tu	24
219	M_Patata	24
219	Kynigito	24
222	awesomeoneme	23
222	ItzYaBoiPicard	23
222	rotten_mango	23
222	LexMakesHistory	23
222	mawileite	23
227	StarPlanetMoon	22
227	Western_1	22
229	Crowvens	21
229	Frxnkz	21
229	Awyrlas	21
229	RodSerlingCringe	21
229	FlashMigma	21
229	trexgb	21
229	SilentKarma	21
236	soundad	20
236	benediktine1	20
236	Rebytre	20
239	jspwn	19
239	SingedBread	19
239	mobunni	19
242	ivorico	18
242	Fractured_	18
242	Ardennes	18
242	ClemenPine	18
246	_Boipl_	17
246	Soap_Bender	17
246	EfficientC52	17
246	MineMaster0012	17
246	adiccting01	17
251	mwrty	16
251	Jackattack53	16
251	Leyna3	16
251	Aezekial	16
251	UrbanPlanner1978	16
256	set67	15
256	Paintz	15
256	tobinwilliams	15
256	SammiWolfGirl	15
256	FishisTTV	15
261	TheThomas69	14
261	MangoTheFish	14
261	RobotMinion101	14
261	Warlord324	14
261	TheDumbHuman	14
261	Cocoamallows	14
267	AlazelTheReal	13
267	Cryptacity	13
267	Kim_Jong_eel	13
267	starbits140	13
267	TitanCrafting	13
272	DepressedCubic	12
272	NotKaden_	12
272	SwooshBoi	12
272	Optiprimus	12
272	jnp_gaming	12
277	TildaAndrea	11
277	AnnieBathory	11
277	_naturell	11
277	KeruNatsema	11
277	Drewen24	11
277	TheSeismicDuck	11
277	ori0le	11
277	Razzgriz	11
277	07shiny	11
277	pixelviolin	11
287	DarkDescent2392	10
287	sandmire	10
287	himak1	10
287	CharlieButt	10
287	Ecplosive	10
287	TJawesome09	10
287	Fuhrer_Teemo	10
287	The_Quack_Dealer	10
287	NotMeowMix	10
287	OG_Songsee	10
287	HAruSAme14	10
287	UltraZombie	10
287	The_SlideV5	10
300	teslawolf38	9
