rank	username	minecraft:used/minecraft:gold_ore
231	MakeHistory157	3
231	Decaying_Lotus	3
231	djancak	3
231	scarletwarrior1	3
231	JohnPrice	3
253	CLG_Kata	2
253	fanofbands101	2
253	_Razaria	2
253	lotarp	2
253	AlazelTheReal	2
253	Pofen	2
253	Smashic	2
253	set67	2
253	Inchef	2
253	eviltunix	2
253	Tjhodskins19	2
253	shadowthemonkey	2
253	epiksk8erduck	2
253	CaptainAvenger7	2
253	XeroByMyth	2
253	Akoot_	2
253	Lord_Jord	2
253	Wowful	2
253	TheSeismicDuck	2
253	AspenLightVT	2
253	Fuad_R	2
253	lolpoottoot	2
253	MovingFish7	2
253	Druid95	2
253	_Tilariel_	2
253	non089	2
253	Dreamdbr14	2
253	Chihuahua_Fan	2
253	HelloIamSora	2
253	2blox_	2
283	Matemkas	1
283	Crowvens	1
283	dudcreeper	1
283	ExtraDumb	1
283	BlancoFlaco	1
283	TooManyDuck	1
283	Sabby65	1
283	Incinere	1
283	livingdaydreams	1
283	Humpcat	1
283	KomputerDude	1
283	CoffeeNoir	1
283	Reamdin	1
283	Gregward_Smith	1
283	gaziter10	1
283	Meme25327	1
283	Euclidoris	1
283	shdesolt	1
