rank	username	minecraft:used/minecraft:birch_boat
197	TheShyPig	20
197	NomadicRobin_	20
197	ese_wn_po	20
197	blackeemperor	20
197	BumbleBeever	20
197	BreadBacon	20
197	Nicserso	20
209	Poliitikko	19
209	SaphSaff	19
209	Hpdinosaur	19
209	SyntheticSurgeon	19
209	Swexti	19
209	Crowman1	19
209	SHAOBADMAN	19
209	Hashises	19
209	ADEXTV	19
209	AspenLightVT	19
209	xzvu	19
209	elliebelle107	19
221	lorywithay	18
221	skroobiez	18
221	NieToksikpl	18
221	Blazebit	18
221	Gorilladam	18
221	Deodorante	18
221	Quincannon	18
221	Wenceslavs	18
229	Frigzy_	17
229	fanofbands101	17
229	BPTY4618	17
229	Prismyst	17
229	Historical_Sand	17
229	Cruncy_	17
229	masskedman	17
229	Lord_Zacler	17
229	El_Jalapeno	17
229	bungalowbeet	17
239	soundad	16
239	Incinere	16
239	Natty	16
239	r123moore	16
239	Zythose	16
239	LilLizardWizard	16
239	LoFPS	16
239	Syropatathe	16
239	Deathkob	16
239	DJzombiehunter	16
239	WhyTho_1	16
239	koo_kaburra	16
251	LovelyDane	15
251	6king6colt6	15
251	NotMyLucKMC	15
251	AtlanticRobin	15
251	uhm__okay	15
251	Smashic	15
251	Rumpletaezer	15
251	Snowflowe	15
251	Tropiicant	15
251	DarkS0L	15
251	stavgod	15
251	Strangemonkey71	15
251	Dreamdbr14	15
251	FormulaNewt3627	15
251	FishisTTV	15
251	diggydog67	15
267	77Holly7	14
267	dawerty	14
267	thescout7	14
267	gcaisawesome	14
267	valiSW	14
267	AnnieBathory	14
267	nut_e	14
267	Mr_Sun15	14
267	thgrocks	14
267	_flud	14
267	SingedBread	14
267	Optiprimus	14
267	ElectricDragon81	14
267	Sheldor097	14
281	Jovaphobic	13
281	j5ylim	13
281	Ryan_GEMS	13
281	Jellybean1312	13
281	ActualPatbaf	13
281	_Z3RIX_	13
281	crying_wolf_13	13
281	Laykon	13
281	Irko	13
281	XboxPanda	13
281	LAVA129	13
281	OreTheBear	13
281	The11thDoctor	13
281	xKhoshekh	13
281	Olib3ar	13
281	Luminad3	13
281	MAns_44	13
281	Druid95	13
281	33sudo	13
281	Majonezzon	13
