rank	username	minecraft:used/minecraft:bow
115	Mewar	1765
116	RodSerlingCringe	1740
117	RobotMinion101	1733
118	CollinMH06	1731
119	egglapras	1700
120	Zaridey	1681
121	AuroraValkyrie	1670
122	lillips	1629
123	Xalithia	1610
124	Nicserso	1583
125	Rumpletaezer	1567
126	mimbo1211	1543
127	PortlyPete69	1537
128	_naturell	1518
129	Nycteus_	1517
130	diggydog67	1512
131	Zoeyfortnite	1501
132	Kowcio_	1485
133	Luigipunch989	1460
134	OG_Songsee	1450
135	FishyBoy3811	1440
136	07shiny	1435
137	Freak_Genius	1422
138	Arceus1975	1370
139	xxPipperDipperxx	1361
140	r123moore	1360
141	MyNameIsJobo	1330
142	EveryonesUncle	1297
143	Lord_Jord	1291
144	Wowful	1280
144	Quincannon	1280
146	DarkS0L	1278
147	Racengan	1273
148	mariominejedi	1265
149	djancak	1262
150	laron58	1243
151	Xclax101	1239
152	Incinere	1236
153	_Dean_123	1222
154	Soul_Atreus	1208
155	Kamflame10	1202
156	jnp_gaming	1201
157	IAmTheWalrus910	1198
158	Typadopoulos	1185
159	hm947	1172
160	BobDeBouwer1337	1163
161	smogfrog	1155
162	masskedman	1136
163	KG1999	1127
164	TheDankPlatypus	1125
165	q_wq	1113
166	bloodbiter	1105
166	pixelviolin	1105
168	Fizznut909	1091
169	Iagoku	1089
170	Bumpy419	1080
171	SpouHn	1078
172	UrbanPlanner1978	1076
173	WyngGoy	1029
174	KnightmareD	1027
175	Vorlice	1026
176	301851	1009
177	surfinggiraffejp	986
178	Rasmanden	982
179	ThePoliteG	980
180	ooga47	971
181	Hiryu27	966
182	lotarp	963
183	Maenara	959
183	Dogcorn69420	959
185	Jovaphobic	945
186	DTwenty	939
187	jcool7	930
188	JayToe	924
189	Natty	922
190	Meatlaugh	910
191	Rocco_Lane	903
192	Froste131	901
193	jimintyy	900
194	AlphaWolfPlaysMC	898
195	ElectricDragon81	894
196	1442	890
197	Razzgriz	889
197	Dreamdbr14	889
199	Vizzoid	886
200	XboxPanda	885
201	alderban107	884
202	starbits140	879
203	El_Jalapeno	872
204	Groundler	861
205	anbbang	849
206	YoshikageBites	845
207	Malorn_Aetherius	824
207	Kyrum2169	824
209	impossibleteapot	821
210	fanofbands101	814
210	Flores991	814
212	Marbz_	810
213	DemTechAlpha	805
214	FirsTimeGamingTV	787
215	IforgotCS_Source	783
216	Cocoamallows	779
217	Enderslayerxz3	778
218	_Boipl_	777
219	Swexti	766
220	Leyna3	762
221	AJbeast01	760
222	Sky_light_KING	758
223	2Stout	757
224	EMC_	755
225	MunkaKris	753
226	Kateesaur	744
227	G1ldor	743
228	stellarjay	742
229	SellyZ	729
230	Guillemet	726
231	ApophisNova	724
231	MyNamaSheff	724
233	audiocracked	722
234	HAIRYCLOUD626	718
235	John6970	716
236	LordSpeed37	700
237	GravitySaint	695
238	pappaberg	689
238	SpookyDraggin	689
240	Legendosh	684
241	Dedalus36	671
242	dudcreeper	663
243	Jiminbub	640
244	tartanboy	637
245	Soap_Bender	636
246	TTNG	619
247	NinjaKnifeKill	618
248	Awyrlas	605
249	Corbsman	604
250	Donutt	603
251	GlitchyPlate810	599
252	Bandito_Roamer	587
253	HolyVenom	584
254	TheThomas69	577
255	Strangemonkey71	574
256	Spenduh	573
257	Miko_Fullbuster	571
258	diamondgolem35	564
259	Omar_Alone	551
260	Kouridragon	543
261	KlausVonStiglitz	540
262	_NieToksikpl_	535
262	GingerNeutron	535
264	Batman922	529
265	KomputerDude	528
265	heckface	528
265	Deerfoot	528
268	teslawolf38	526
269	wezzzi	523
270	Sleek_Storm_721	519
271	SUN_DREAM	518
272	thewindmillman	514
272	SkateboardR6	514
274	hcb238	513
275	Cortexia	505
275	fr_ser	505
277	Nagasaki_Riku	503
278	paranoid_plant	502
279	IdeallyGrey	497
280	livingdaydreams	491
281	titanlax	488
281	UncreativeArtist	488
281	AltnumberF4	488
284	_Karmaa	484
285	soundad	483
286	ZaneABrain	482
286	ElKaySVK	482
288	Afinnity	478
289	TheEnderman548	477
290	PigDab	476
291	stavgod	475
292	ClemenPine	474
293	CrateOfBoxes	472
294	NYJ	470
295	silverpopcorn	469
296	TheDumbHuman	468
297	LilyNova	462
297	RadarHz	462
299	Winston_Ingram	455
300	ori0le	444
