rank	username	minecraft:used/minecraft:stone_brick_wall
228	Quotary	38
233	Tommhh	37
233	bloodbiter	37
233	ApophisNova	37
233	GooseWithin	37
233	MyNamaSheff	37
233	Nicserso	37
239	AlazelTheReal	36
239	lordpipe	36
239	HesDemonPants	36
239	MadmanRaven	36
243	fkGrim	35
243	DarkS0L	35
245	Incinere	34
245	killmeiamtraitor	34
245	pappaberg	34
248	TiborSterle	33
249	MAns_44	32
249	MakeHistory157	32
251	mobunni	31
251	Zoeyfortnite	31
253	IamCL4SSY	29
253	ConnorDanky_	29
255	NameGenerat0r	28
255	fluddd	28
257	MovingFish7	27
258	Lord_Doob	26
259	Sebaschan__	25
259	laron58	25
261	eitanzaki	24
261	ZeroAbyssTTV	24
263	Ryan_GEMS	23
263	ITDV	23
263	DemTechAlpha	23
266	Malorn_Aetherius	22
266	Rich_Kat	22
266	Nekomin0	22
269	Inchef	21
269	impossibleteapot	21
269	EngagedGrub41	21
272	T045RTY	20
272	prizm_	20
272	jewbacaman	20
272	drumine	20
276	SaltineDream	19
276	MattieHD	19
276	NoxxxxiS	19
276	Kynigito	19
276	Blu3beast	19
276	TheRealHi	19
282	SyK7	18
282	KarlKaek	18
282	Felenov	18
282	TheWildMateo	18
282	CuzIm2Kev	18
282	SammiWolfGirl	18
282	Steelynan	18
282	athereall	18
290	Flores991	17
290	titanlax	17
290	SeverianOfUrth	17
290	Ze_BaronKrigler	17
290	TechnoNinja64	17
295	mwrty	16
295	ItsMrRamen	16
297	_Boipl_	15
298	Saltymart	14
298	RatatJuice	14
298	FennYuzuna	14
