rank	username	minecraft:used/minecraft:dark_oak_log
290	featherflyy	100
291	eviltunix	99
292	Killercatty78	98
292	remgrandt	98
292	Yahir091	98
295	Jovaphobic	97
296	Fuad_R	96
297	DangusCnt	95
297	Awyrlas	95
297	Quaintster	95
300	RosaDoesMC	94
