rank	username	minecraft:used/minecraft:stone_stairs
286	zOnlyKroks	10
286	The_SlideV5	10
292	Masssonnn	9
292	thebaddruid	9
292	ougstur	9
292	420BreadLizard	9
292	mihimihimihi	9
292	SpacesickPrism	9
292	alderban107	9
299	Cowison	8
299	SmashingPump	8
