rank	username	minecraft:used/minecraft:acacia_planks
187	Ardennes	12
187	o0z	12
187	cedric72	12
187	Babushka0430	12
187	__tomato	12
187	stahouo	12
194	rarrq	11
194	twinkel_star24	11
194	RedcatVII	11
197	eSpawNa	10
197	Warlord324	10
199	firesgal3116	9
199	Rebytre	9
201	SellyZ	8
201	TylerDupree	8
201	HolyVenom	8
201	natajimi	8
201	XxCookiequeenxX	8
201	_Bguette_	8
201	Eraxa	8
201	rejenita	8
209	Master_Kol	7
209	07shiny	7
209	Ir0npack	7
209	imaginek1d	7
213	12Magner05	6
213	Sky_light_KING	6
213	claivin	6
213	MasterOwen1	6
217	Apples5009	5
217	awesomeoneme	5
217	joethahobo	5
217	Resner	5
217	noam464	5
217	TableTim	5
217	MyNameIsJobo	5
217	Deodorante	5
217	_Ruzeeq_	5
226	dimondking777	4
226	RatatJuice	4
226	T045RTY	4
226	ItzSquidz	4
226	Di_infiri	4
226	SuperPooch06	4
226	NomadicRobin_	4
226	audiocracked	4
226	MyNameIsDakar	4
226	halfbakedlasagna	4
226	Spenduh	4
226	Soffbord	4
238	_Razar	3
238	SpaceGrenadier	3
238	pr33tu	3
238	mwrty	3
238	VirusUploaded	3
238	KingEgg1	3
238	pappaberg	3
238	RobotMinion101	3
238	ebanana	3
238	fluddd	3
238	Dusk_95	3
238	ediballbearings	3
238	bitsplease	3
251	numbra	2
251	Sleek_Storm_721	2
251	Historical_Sand	2
251	Zedducius	2
251	Megarboh	2
251	Hyp3rion_	2
251	_Boipl_	2
251	The11thDoctor	2
251	lizardfightclub	2
251	StarkAmberwell	2
251	marumochis	2
251	geekbird	2
251	Xovalt_	2
251	Eon_57	2
251	HAruSAme14	2
251	tartanboy	2
251	EcksD	2
251	Legendosh	2
269	dudcreeper	1
269	KingFaenor	1
269	TheBlackDeth	1
269	MSK__	1
269	Stright_	1
269	GingerNeutron	1
269	slkiey	1
269	gcaisawesome	1
269	HypixelForums	1
269	thebluehippo	1
269	Avermu	1
269	yaboo88	1
269	calajimi	1
269	andy_rex	1
269	CrateOfBoxes	1
269	shockdocta	1
269	Kynigito	1
269	justingo147	1
269	_Crimson_Legate	1
269	Jiminie	1
269	Deathkob	1
269	MinuteMira	1
269	lillips	1
269	godipose	1
269	Razzgriz	1
269	voiding_	1
269	UCP_TheKingK	1
269	jcool7	1
269	Njensen7	1
269	Hermanni__	1
269	cichy096	1
269	FelixPSY375	1
