rank	username	minecraft:used/minecraft:dark_oak_fence
140	_Razaria	113
141	Euclidoris	112
142	Skylord_Luke	110
143	Leyna3	107
143	Sral7	107
145	prizm_	104
146	2Stout	103
146	Hermanni__	103
148	Vellu21	102
149	_Huge_Male_	98
149	Snowflowe	98
151	Xclax101	95
152	Tobinator_007	94
152	KarlKaek	94
154	eitanzaki	93
155	Jovaphobic	92
156	__tomato	88
157	gusstationwerker	86
158	wwwwinnebagoooo	85
159	KeruNatsema	84
160	LeGold	82
161	audiocracked	81
161	Optiprimus	81
163	NieToksikpl	80
163	thewindmillman	80
165	MAns_44	77
165	Travka100	77
167	Spacewardharpy7	76
168	SharpDev	75
169	ImNotYuqii	73
170	xzvu	72
171	ProfessorBee	71
171	BlankityMcBlank	71
173	DarlaMeow	69
174	Zythose	66
175	Sleek_Storm_721	65
175	Kakolbus	65
177	SuperPooch06	64
177	smogfrog	64
179	seramalen	63
179	Inbefour	63
181	Jimi7hits	62
181	YungMaki	62
183	Blaiku	60
184	RosaDoesMC	59
184	Natty	59
184	SellyZ	59
187	Smashic	58
188	Ganongeek	57
189	Motsaro	56
189	Xalithia	56
189	JasmineGK	56
192	Sebaschan__	55
192	ApophisNova	55
192	kyouma777	55
192	MyNamaSheff	55
196	420BreadLizard	54
196	EcksD	54
198	Rumpletaezer	53
199	Megarboh	52
199	Jeteight	52
199	Hisiste	52
202	Bumpy419	51
202	dartwaffle	51
202	SexcMf	51
205	cichy096	50
206	Enderxz3	49
207	Fuhrer_Teemo	48
207	Deathkob	48
209	PegLegPete93	47
209	XboxPanda	47
209	Rebytre	47
209	dezxalo	47
213	Historical_Sand	45
213	Kynigito	45
213	GeromeMerris	45
213	bladeefan2009	45
217	Mister3z	44
218	Cowison	43
218	MrExplorer	43
218	Moofyman	43
221	Ssor69	42
221	Airem_Core	42
223	heckface	40
224	carloselpapii	39
224	Smiguli_	39
226	Lord_Zacler	38
227	Foof13	37
227	Yatitay	37
227	Khelvoryk	37
227	mountaingirl311	37
231	RoskobiOne	36
231	diamondgolem35	36
231	Hail_the_wombat	36
234	Atroxes	34
235	SmashingPump	33
235	Cryptacity	33
235	Norrhede	33
235	parodypatient	33
235	silverpopcorn	33
235	Warlord324	33
235	anbbang	33
242	DTwenty	32
242	monky_irl	32
244	BlancoFlaco	31
244	yaboo88	31
246	IamCL4SSY	30
247	drunkeeez	29
247	Karetoko	29
247	DAD_1996	29
250	Killercatty78	28
250	Purplehere	28
250	RobotMinion101	28
250	UCP_TheKingK	28
254	Awyrlas	27
255	ZigzagLily43042	26
255	Blu3beast	26
255	annoyingenderman	26
258	Hpdinosaur	25
258	2bolx_	25
260	Mr_Byzantine	24
260	Marbz_	24
260	Di_infiri	24
260	Kukkelikuk	24
264	SquadMonster	23
264	Boogaloo242	23
264	Hiryu27	23
264	stuy9	23
264	Ze_BaronKrigler	23
269	_stets	22
269	_Dean_123	22
269	SvenskaHugo	22
272	dudcreeper	21
272	binman420	21
272	NomadicRobin_	21
272	Deerfoot	21
272	TechnoNinja64	21
277	AshleeCW	20
277	CliffEmAll	20
277	Lutres_Torane	20
277	CheifJumbo	20
281	voiding_	19
282	youhjjhhhjj	18
282	claivin	18
282	SirBreadward	18
285	Ozixar	17
285	Hanselhoof	17
285	Luminad3	17
285	SaintJosie	17
285	GoofyBread	17
285	iSammael	17
291	rachcl	16
291	ITDV	16
291	Skomo	16
294	Sleepy_Time_	15
294	Ardennes	15
294	corvidpartyfor6	15
294	Chromary	15
294	MineMaster0012	15
294	TheOuterCore	15
300	SidorAlex	14
