rank	username	minecraft:used/minecraft:acacia_boat
142	JosephCW	8
142	KingMatthew506	8
152	Kkanot	7
152	set67	7
152	Chromary	7
152	6e519903-6217-4a88-968d-485bf79491f4	7
152	ADEXTV	7
152	Inbefour	7
152	Druid95	7
152	Pelku	7
152	Soffbord	7
152	laron58	7
152	MirielThePastor	7
163	Jovaphobic	6
163	Mr_Byzantine	6
163	ProbablyNick	6
163	ITDV	6
163	Dblikstad	6
163	HoltGrim	6
163	TechnolyzeLuceo	6
163	ooga47	6
163	F_Uhre	6
163	_Karmaa	6
163	Quincannon	6
163	FlashMigma	6
163	Groundler	6
176	nocturne78	5
176	o0z	5
176	Scathra	5
176	xxPipperDipperxx	5
176	Covalents	5
176	SHAOBADMAN	5
176	GOOBERGABE04	5
176	Bumpy419	5
176	Hiryu27	5
176	Kynigito	5
176	PigDab	5
176	thgrocks	5
176	Elastiq	5
176	Mweems	5
176	Tyrannosplart	5
176	Dakar_	5
176	NameGenerat0r	5
176	CubeMuse	5
176	CornOnTheCobalt	5
176	Razzgriz	5
176	AssFullaCum	5
176	Segotep999	5
176	__tomato	5
176	lcvezra	5
176	Slapface522	5
176	SunsetwolfGG	5
176	Hermanni__	5
176	alderban107	5
204	_Panyu_	4
204	wickedword	4
204	RebelAndroid	4
204	MLG_Kirby69	4
204	Vizzoid	4
204	jushykins	4
204	lilsay	4
204	mwrty	4
204	Irko	4
204	MEMES4_LIFE	4
204	ImDisconnected_	4
204	CollinMH06	4
204	thewindmillman	4
204	Onennon	4
204	ogoa	4
204	Jiminbub	4
204	fkGrim	4
204	fluddd	4
204	Barlycorn	4
204	MS_Pryxx	4
204	Warlord324	4
204	SUN_DREAM	4
204	geekbird	4
204	sp00ky_ghost977	4
204	Kura2218	4
204	BlankityMcBlank	4
204	c0la_c0ca	4
204	felincaus	4
204	DennyKai	4
204	Sheldor097	4
204	fffMike	4
204	erkada	4
204	_AAZAR	4
204	skrongus	4
238	KingFaenor	3
238	xXTheWolfmanXx	3
238	diamondgolem35	3
238	CoffeeNoir	3
238	ShedJr_	3
238	SDMNAEK	3
238	12Magner05	3
238	seramalen	3
238	The_Cruncy	3
238	ougstur	3
238	makw	3
238	KlausVonStiglitz	3
238	JureJurko	3
238	StinkyDiplomat	3
238	kalzor	3
238	Spacewardharpy7	3
238	ElKaySVK	3
238	_Ruzeeq_	3
238	xzvu	3
238	Slovitypagus	3
238	jcool7	3
238	Goat_Man512	3
260	Flegneh	2
260	JohnnyMines	2
260	TheMilkerOfCats	2
260	Zippyzam	2
260	Huwulling	2
260	Jackster03	2
260	Historical_Sand	2
260	ProfessorBee	2
260	Sloths_Ender	2
260	lorpus	2
260	IforgotCS_Source	2
260	NotMeanttoChange	2
260	SomeWanderer	2
260	Zerosene	2
260	surfinggiraffejp	2
260	KingEgg1	2
260	ARandomHedge	2
260	The0rangeDragon	2
260	Marbz_	2
260	willowcherrytree	2
260	Zythose	2
260	domagawha	2
260	ItsAki_	2
260	DeeDeeThonk	2
260	xKhoshekh	2
260	Ender_Souls	2
260	kubinek69	2
260	Fstivus	2
260	Maenara	2
260	TruestTurnip	2
260	Syropatathe	2
260	luseis	2
260	xofe	2
260	godipose	2
260	Deerfoot	2
260	ReflexCode	2
260	Nycteus_	2
260	SingedBread	2
260	lolpoottoot	2
260	silverpopcorn	2
260	Cocoamallows	2
