rank	username	minecraft:used/minecraft:cauldron
236	Russiancat1	4
236	DJzombiehunter	4
236	thatsjustfrankie	4
236	Twighst	4
236	Umprella	4
236	Gus2005	4
236	ProfessorDiaper	4
236	ZeaBaron	4
236	07shiny	4
236	FadedSpade82	4
236	starbits140	4
236	brofrickcheaters	4
236	obzii	4
236	zOnlyKroks	4
236	athereall	4
236	00000000-0000-0000-0009-01f3e0064b49	4
274	ItsGrayWolf	3
274	weezygator	3
274	PazinGaming	3
274	Ryker	3
274	Literally_Rat	3
274	Kronos42	3
274	IgnoredBee	3
274	Tersea_	3
274	Blackberry1310	3
274	Frxnkz	3
274	MrExplorer	3
274	corvidpartyfor6	3
274	SteveCraftBlocks	3
274	EnigmaTheYeen	3
274	UncreativeArtist	3
274	Fullbit_	3
274	Mariopreeet	3
274	olliebollie48	3
274	DisgruntledKoala	3
274	fallingemma	3
274	Windo_licker	3
274	Gzrdy	3
274	Malware_Mara	3
274	pappaberg	3
274	Hiryu27	3
274	Jekyll	3
274	ApophisNova	3
