rank	username	minecraft:used/minecraft:magma_block
191	stahouo	15
200	AstroLightz_	14
200	The_SlideV5	14
202	theonlymagikarp	13
202	Kubelz	13
202	loveseeker	13
202	Skylord_Luke	13
202	seramalen	13
202	MovingFish7	13
208	Crowvens	12
208	KarlKaek	12
208	Swexti	12
208	Bumpy419	12
208	RodSerlingCringe	12
208	anbbang	12
214	Vizzoid	11
214	titanlax	11
214	intropass	11
214	gabriels543	11
214	cichy096	11
214	RadarHz	11
220	PhantomsGhost_	10
220	Dedalus36	10
220	NinjaKnifeKill	10
220	XxCookiequeenxX	10
220	SingedBread	10
220	PortlyPete69	10
220	Legendosh	10
220	jnp_gaming	10
220	kinas45y5	10
229	MunkaKris	9
229	seanitoo	9
229	MehmetLeo	9
229	Fuhrer_Teemo	9
229	Deathkob	9
229	_k2x	9
229	Dusk_95	9
229	pixelviolin	9
229	Powowowow	9
238	JEWISHBadenBeele	8
238	Malorn_Aetherius	8
238	jacxhadow	8
238	mwrty	8
238	M_Patata	8
238	NoChumpChange	8
238	DarkS0L	8
238	little_dUki	8
238	MeetTheWollo	8
238	UrbanPlanner1978	8
248	abramgray	7
248	The_Great_Jake	7
248	dabloons	7
248	Hpdinosaur	7
248	MrExplorer	7
248	Ardennes	7
248	himak1	7
248	Xalithia	7
248	QueenHearts	7
248	Zythose	7
248	FishyBoy3811	7
248	NebulousBadger	7
248	Strangemonkey71	7
248	Nekomin0	7
248	MissCeleste7	7
263	Paint	6
263	ssleepless	6
263	ewsophie	6
263	ccormacs	6
263	Nach0Bear	6
263	NotoriousNina	6
263	The11thDoctor	6
263	aa2x_	6
263	ADEXTV	6
263	yulgur1	6
263	gustarbite	6
263	The_Quack_Dealer	6
263	chipklip	6
263	ebanana	6
263	Typadopoulos	6
263	BlankityMcBlank	6
263	Spenduh	6
263	AltnumberF4	6
281	_stets	5
281	Hyugo	5
281	RebelAndroid	5
281	Euclidoris	5
281	Guillemet	5
281	Motsaro	5
281	Paintz	5
281	AlphaWolfPlaysMC	5
281	NameGenerat0r	5
281	Groundler	5
281	Vorlice	5
281	Razzgriz	5
281	Kyrum2169	5
281	Segotep999	5
281	Fizznut909	5
281	Moetis	5
281	Kferno	5
281	trexgb	5
299	maxdacatv2	4
299	Tobinator_007	4
