rank	username	minecraft:used/minecraft:trident
234	QueenShuvi	79
235	Noah_Bez	78
235	Bumpy419	78
235	NYJ	78
238	Smashic	76
238	Cambo5000	76
240	NieToksikpl	75
241	wezzzi	74
242	burbankbuilder28	72
243	Lord_Jord	68
244	Ryker	67
245	tartanboy	66
246	Megarboh	65
246	UrbanPlanner1978	65
248	Njensen7	62
249	YungWali	60
249	Hisiste	60
251	vandmanden	59
252	pappaberg	57
253	xxPipperDipperxx	48
254	ROY4LE	46
255	lotarp	45
255	Comma__	45
255	Afinnity	45
258	Huwulling	44
258	eli_tschki	44
260	WET_WET_WET	43
260	UCP_TheKingK	43
262	Agent108	36
263	Jonte0599	34
264	Karetoko	32
265	diggydog67	31
266	Alteriity	29
266	mihimihimihi	29
268	KarlKaek	28
268	Shogunite	28
268	El_Jalapeno	28
271	Jorrdi	25
272	CowOfTheNile	23
273	WarHammer3	22
274	M_Patata	21
274	Wowful	21
274	MasterNueve	21
277	nataliecool	20
277	quintendoty	20
277	John6970	20
277	CaptainDeadBread	20
281	Yatitay	19
281	Alfred603	19
283	scottkidz	18
283	Babushka0430	18
285	UncreativeArtist	17
285	fade_emerge78823	17
287	Shadoko_	16
287	Dreamdbr14	16
289	jimbo61101jr	15
290	CollinMH06	13
290	k1ngGilgamesh	13
292	Natty	12
292	NotKaden_	12
292	pumpfonzo	12
295	Giannism	11
295	ooga47	11
295	madderfall	11
295	MyNameIsDakar	11
299	Batman922	10
299	brycepants	10
