rank	username	minecraft:used/minecraft:poppy
94	LavenderBi1ch	40
94	r123moore	40
96	_Dean_123	39
96	ROY4LE	39
96	mariominejedi	39
96	SirPiccardo	39
100	500am	38
100	G1ldor	38
102	JETrotter	37
102	pixelviolin	37
102	UCP_TheKingK	37
105	CoffeeNoir	36
105	Lez_	36
105	LeauVox4921	36
105	AJplaysMC_	36
105	masskedman	36
105	Deguns123	36
105	cichy096	36
112	bloodbiter	35
113	Rumpletaezer	34
113	Lutres_	34
113	The_SlideV5	34
116	Kowcio_	33
117	Zlatovlas	32
118	DangusCnt	30
118	ApophisNova	30
118	Steelynan	30
118	MyNamaSheff	30
122	_Huge_Male_	28
122	Vizzoid	28
122	groofles	28
125	6king6colt6	27
125	bigstankyy	27
125	jnp_gaming	27
125	diggydog67	27
129	Tommhh	26
129	Wooptey	26
129	Stiar	26
129	Powowowow	26
133	RatatJuice	25
133	rarrq	25
133	M_Patata	25
133	epiksk8erduck	25
133	Meepcraft	25
133	DarlaMeow	25
133	MasterNueve	25
140	Mr_Byzantine	24
140	Cteam	24
140	fluddd	24
143	Gamergirl420628	23
143	PaperCanvas	23
143	Njensen7	23
143	MissCeleste7	23
147	Hpdinosaur	22
147	Reneedium	22
147	Rebytre	22
147	Fuhrer_Teemo	22
147	_Bguette_	22
147	Luigipunch989	22
147	LeeMcGee30	22
147	EcksD	22
147	2blox_	22
156	CLG_Kata	20
156	Frozil20	20
156	RebelAndroid	20
156	Huwulling	20
156	Sebaschan__	20
156	Secret_Canary	20
156	djancak	20
163	_stets	19
163	Ailmast	19
163	andy_rex	19
163	dendydoom	19
163	oscminus	19
163	HellsSponge	19
169	Incinere	18
169	Chromary	18
169	Krowuss	18
169	Shogunite	18
169	TheEnderMan548	18
174	ECstardust	17
174	Sleek_Storm_721	17
174	MrExplorer	17
174	MattieHD	17
174	Dali1465	17
174	CollinMH06	17
174	TakeThis2UrGrave	17
174	Skylord_Luke	17
174	RohnJosin	17
174	Tyrannosplart	17
174	AstreaTSS	17
174	SexcMf	17
174	PortlyPete69	17
174	Dreamdbr14	17
188	YairZaki	16
188	jacxhadow	16
188	himak1	16
188	Bumpy419	16
188	Mattesco	16
188	Meatlaugh	16
188	claivin	16
195	itburb	15
195	Kamflame10	15
195	Werbe	15
195	RedcatVII	15
199	Zythose	14
199	ElderRifken	14
201	RobotMinion101	13
201	Kouridragon	13
201	AlphaWolfPlaysMC	13
201	Soap_Bender	13
201	IdeallyGrey	13
206	Lotheburgh	12
206	DinoDoctor_	12
206	Ozixar	12
206	ZeroAbyssTTV	12
206	legal_tax_evader	12
206	wezzzi	12
206	_Karmaa	12
206	Spacewardharpy7	12
206	Jimb0nat0r	12
215	Bandito_Roamer	11
215	Ilinca_Io	11
215	set67	11
215	yheece	11
215	selectrix	11
215	Inbefour	11
215	LexMakesHistory	11
215	Blaiku	11
215	07shiny	11
215	xorompole	11
225	heysushii	10
225	KarlKaek	10
225	oreee	10
225	emrekn	10
225	Xalithia	10
225	2Stout	10
225	Silvo614	10
225	Hiryu27	10
225	KeruNatsema	10
225	thgrocks	10
225	LeonelSalamanca	10
225	valkam13	10
225	Groundler	10
225	JosephCW	10
225	stavgod	10
225	tsitrawhy	10
225	jcool7	10
242	jspwn	9
242	T045RTY	9
242	Guillemet	9
242	GLLogan2	9
242	falcn15	9
242	Kubelz	9
242	Maenara	9
242	Sorry_Arey	9
242	StinkyDiplomat	9
242	KingMatthew506	9
242	Kubeusz2010	9
242	Mr_Teddiursa_K	9
242	FelixPSY375	9
255	SaltineDream	8
255	Scathra	8
255	mwrty	8
255	Covalents	8
255	Bazongoman	8
255	mick407	8
255	thewindmillman	8
255	Snowflowe	8
255	l3x07	8
255	Hoid_the_Roamer	8
255	Azmodan_246	8
255	Nicole_Plus	8
255	drompje	8
255	Ajax6	8
255	NomadicRobin_	8
255	DemTechAlpha	8
255	Racengan	8
255	ZoomieZoomie	8
255	Skippeh	8
255	BreadBacon	8
255	Smaldo	8
276	k_ce	7
276	MixerDixer	7
276	youhjjhhhjj	7
276	Alteriity	7
276	Bobby808	7
276	intropass	7
276	CasperHxly	7
276	SvenskaSara	7
276	J4k__	7
276	Russiancat1	7
276	The_Quack_Dealer	7
276	Yoaty	7
276	Lirael42	7
276	AssFullaCum	7
276	__tomato	7
276	mountaingirl311	7
276	JohnPrice	7
293	TooManyDuck	6
293	Paleshield	6
293	Reamdin	6
293	jessewegottacook	6
293	Ssor69	6
293	ccormacs	6
293	Pofen	6
293	Prodiginus	6
