rank	username	minecraft:used/minecraft:birch_slab
145	DAD_1996	61
146	WET_WET_WET	60
147	LunarRedPanda	59
148	Stiar	58
148	CalebDHawk	58
150	SaucyDark	57
150	pumpfonzo	57
150	Austinizzle	57
150	IAmTheWalrus910	57
150	anbbang	57
155	BilboBaggins23	56
155	Rebytre	56
155	OfficerAnvil	56
158	elicobnoah	55
159	a_smol_bean	53
159	OnlyOfficial	53
161	Zythose	52
161	fffMike	52
163	420BreadLizard	49
164	Dogbound	48
164	Drewen24	48
166	NYJ	45
167	eitanzaki	44
168	Pootis11	42
168	07shiny	42
170	UncreativeArtist	41
170	oxfordschool	41
172	TheDankPlatypus	39
173	xxPipperDipperxx	37
174	Truckoss	35
175	Blaiku	34
175	Spacewardharpy7	34
177	NomadicRobin_	33
177	stahouo	33
179	Renchi19	32
179	bluefragmentt	32
181	Myszoaz	30
181	IWorkAtIkea	30
183	surfinggiraffejp	29
184	TheSecondLord	28
184	NotMeanttoChange	28
184	Snowflowe	28
184	N7November	28
184	Sky_light_KING	28
189	Skyler_Diablo	27
189	JollyDroopy52	27
189	The_SlideV5	27
192	Adlair	26
192	NameGenerat0r	26
194	nataliecool	24
194	fallingemma	24
194	Suraidu	24
197	Inchef	23
197	bitsplease	23
199	Ecplosive	22
199	Vorlice	22
201	heckface	21
202	_Nuf	20
202	Meatlaugh	20
204	fkGrim	19
205	noam464	18
205	Kryktal	18
205	YungMaki	18
208	Dedalus36	17
208	Winston_Ingram	17
208	jnp_gaming	17
211	Fullut	16
211	Fuhrer_Teemo	16
211	Matorz	16
214	funeralhome	14
214	ivorico	14
214	MrExplorer	14
217	epiksk8erduck	13
217	DC_XII	13
219	PigDab	12
219	Blamphe	12
219	LexMakesHistory	12
222	The11thDoctor	11
222	wobn	11
222	claivin	11
222	TechnoNinja64	11
226	RustyKedel	9
227	PuFY	8
227	MightyWertu	8
227	BumbleBeever	8
227	Gustavo_PP	8
227	Apicomplexa	8
232	Giannism	7
232	cedric72	7
232	ReyTheLegend	7
235	Wooptey	6
235	TheMaster972	6
235	ashetrays	6
235	Kamflame10	6
235	2Stout	6
235	CharlieButt	6
235	Warlord324	6
235	JosephCW	6
235	ediballbearings	6
235	ItsJunoIGuess	6
235	cichy096	6
246	SlayerCrypto	5
246	Vetral1	5
246	lizardfightclub	5
246	TheTrueClipse	5
246	natajimi	5
246	sp00ky_ghost977	5
246	UltraZombie	5
246	Eczbek	5
246	Quotary	5
255	Groovy_MoonBird	4
255	littlesophiagirl	4
255	Foof13	4
255	Sparky_KT	4
255	Kkanot	4
255	Tjhodskins19	4
255	fluddd	4
255	Deguns123	4
255	smogfrog	4
264	mick407	3
264	Lord_Jord	3
264	_Bguette_	3
264	AvaRosey	3
264	Kyrum2169	3
264	PlasticOtari	3
264	MelodyGaysharks	3
271	Zedducius	2
271	SoftSix	2
271	Bazongoman	2
271	l3x07	2
271	stuy9	2
271	chipklip	2
271	Eraxa	2
271	Hermanni__	2
271	potatocan	2
271	EcksDofficial	2
281	PhantomsGhost_	1
281	BigBootyHudge	1
281	T045RTY	1
281	Rorrofighter	1
281	Ozixar	1
281	Nostrom	1
281	crying_wolf_13	1
281	CollinMH06	1
281	CarltheCuck	1
281	_Boipl_	1
281	ApophisNova	1
281	Kouridragon	1
281	Nycteus_	1
281	_ritter	1
281	Steven1282598	1
281	MakeHistory157	1
281	jcool7	1
281	mawileite	1
281	MyNamaSheff	1
281	little_dUki	1
