rank	username	minecraft:used/minecraft:wooden_sword
110	Miroryk	60
110	NoobSlayerPro	60
115	PhantomsGhost_	59
115	Ghosthy_	59
115	wickedword	59
115	Simon_Lowell	59
115	Sleepy_Time_	59
115	Ssor69	59
115	xPixelRainx	59
115	Groyperbuscus	59
115	MonkeySaint	59
115	himak1	59
115	Di_infiri	59
115	WhosJPG	59
115	ptweezy	59
115	groofles	59
115	St4nLe7	59
115	SolicitedPuma101	59
115	TiborSterle	59
115	Chaotic1s	59
115	NATE_the_HALO	59
115	Glumb0	59
135	Z22n	58
135	Cryptacity	58
135	thatbeanyboi	58
135	RohnJosin	58
135	zmpeg	58
140	420BreadLizard	57
140	Celeste_121	57
140	DennyKai	57
140	Nargotah	57
144	kars0n	56
144	Lutres_	56
144	Ezekson	56
147	TheSecondLord	55
147	Blu3beast	55
149	BlancoFlaco	54
149	Alteriity	54
149	swag_bro2004	54
149	A_Potatoe	54
149	jewbacaman	54
154	SaucyDark	52
154	virtual_acid	52
154	Masssonnn	52
157	lorpus	51
157	PumpkinPie1600	51
159	teslawolf38	50
159	Sna_Ke	50
159	Thomez_	50
159	LetsDoItLive	50
159	EcksD	50
159	00000000-0000-0000-0009-01f16526f034	50
165	kekhon	49
165	Touched_Bread	49
165	SvenskaSara	49
165	n0qtrnL	49
169	happy_mileo	48
169	JESS_THE_RERE	48
169	El_Jalapeno	48
169	Soplight	48
169	MadmanRaven	48
174	Ganongeek	47
174	Lisppp	47
174	ItsHydroMC	47
174	how_are_you	47
178	DSYisDizzy	46
178	Ajax6	46
178	Chuglyfe	46
181	TAKrules	45
182	Spacewardharpy7	44
183	AJplaysMC_	43
183	Werbe	43
183	Skomo	43
186	kiluaemc	42
186	bndo	42
188	PazinGaming	41
188	PBandChocolate	41
188	Timfinity4	41
188	FlameFame	41
188	plato2066	41
188	Caidoz999	41
194	MunkaKris	40
194	XeroByMyth	40
194	GoofyBread	40
194	be3ry__	40
194	sp00ky_ghost977	40
194	realSkullFace	40
194	Jimb0nat0r	40
201	Sporkikus	39
201	DeeDeeThonk	39
201	PhoenixAlpha	39
201	RedcatVII	39
205	xofe	38
205	Vellu21	38
207	MattieHD	36
207	master9067	36
207	toontownie	36
207	bruh072	36
207	ConnorDanky_	36
212	NibPicker	35
212	Firecracker320	35
212	gabukun_	35
212	type11	35
212	BlueZabu	35
212	bloomkieren	35
218	DepressedCubic	34
218	Harobrime	34
218	sstteevveenn	34
218	Ir0npack	34
218	Njensen7	34
223	kalzor	33
224	Eraza	32
224	UncleDanDan	32
224	arielovaa	32
224	kevinpamberg	32
224	MrButterscotch	32
224	xorompole	32
224	00000000-0000-0000-0009-01f73aa9620f	32
231	peachfuzz1267	31
231	sick_nubs	31
231	Future_Slaps	31
231	NameGenerat0r	31
235	MoistEggo	30
235	valiSW	30
235	Nickitoe	30
235	ScootOfBoot	30
235	DTwenty	30
235	MentheMan09	30
235	__hinterland__	30
242	brrh	29
242	MilkFootball	29
244	Sero277	28
244	TeamBreezy	28
244	sejekasper1	28
244	PhantomBionic	28
244	MRC_Gaming	28
244	vampgey	28
244	Arceus1975	28
244	AbrociousXP	28
244	csendeslol	28
244	sleepdrifter_	28
254	HazyDrummer	27
254	Merv__	27
254	Austinizzle	27
254	Nateman1000	27
254	RoytheBoye	27
254	FedirSpectator	27
260	__TheNorseMan__	26
260	YungMaki	26
262	ricekrispies69	25
262	chank_	25
262	ese_wn_po	25
262	carpet4_69	25
266	rpmm	24
266	Lekol	24
268	ECstardust	23
268	DermeinUser	23
268	Winklepicker279	23
268	Blitzwingbanter	23
268	Celaydon	23
268	Shintiki	23
274	NotP0tato	22
274	AceOfCaydes	22
274	IWorkAtIkea	22
274	Devintronix	22
274	RandimSqid	22
274	FennYuzuna	22
274	longappendage	22
274	Useless_Relic	22
274	mountaingirl311	22
274	PlasticOtari	22
284	Vollkommenheit	21
284	IgnoredBee	21
284	Alfred603	21
284	JustAWill_	21
284	PaperCanvas	21
284	Procubed	21
290	Yeltzin	20
290	Killercatty78	20
290	Seyaboy	20
290	Bak3dPotater	20
290	NameIsSeven	20
290	AlexBurnsRed	20
290	starbits140	20
290	Hermanni__	20
298	Mr_Byzantine	19
298	Nisanth	19
298	SBean737	19
