rank	username	minecraft:used/minecraft:spruce_slab
89	ProbablyNick	1139
90	pixelviolin	1135
91	andy_rex	1122
92	Bumpy419	1062
93	Cowison	1054
94	krutas2000	1000
95	obzii	982
96	MyNameIsDakar	979
97	MilleGrug	962
98	_Razar	937
99	Mr_Byzantine	893
100	Winklepicker279	885
101	CalebDHawk	862
102	__tomato	860
103	NoChumpChange	828
104	pappaberg	822
105	Matyyy15	820
106	seanitoo	795
107	stellarjay	781
108	Akoot_	777
109	Smashic	775
110	mwrty	766
111	rotten_mango	758
112	Dusk_95	755
113	Groovy_MoonBird	749
114	Stiar	715
115	FetteMutter	713
116	KlausVonStiglitz	709
117	Queen_Jalapeno	687
118	set67	684
119	RebelAndroid	680
120	ElectricDragon81	679
121	layabout100	677
121	Luigipunch989	677
123	ExtraDumb	665
124	rats_life	661
125	bigstankyy	645
125	SDMNAEK	645
127	BreadBacon	634
128	Quotary	624
129	6king6colt6	619
129	Cortexia	619
131	Werbe	604
132	MattieHD	602
133	Nicserso	597
134	Freak_Genius	595
134	Blu3beast	595
136	Th6masss	594
136	Dreamdbr14	594
138	dopplexd	592
139	MovingFish7	591
140	Patwannabegamer	587
141	Louiis123	585
141	soundad	585
143	ehunt54	568
144	Fildyr	566
145	halfbakedlasagna	563
146	SaucyDark	562
146	gaziter10	562
148	xyct	561
149	NebulousBadger	559
150	TheBiggestFeller	556
151	CrookedKaptain	546
152	Kkanot	545
153	dedgt	540
154	Incinere	539
154	Ze_BaronKrigler	539
156	Yatitay	537
157	Jokerman369	536
158	HyperCave	531
159	Sleek_Storm_721	516
160	Di_infiri	503
161	__Fanda__	497
162	natajimi	495
163	Rich_Kat	491
164	PabloGonza02	490
165	Rebytre	489
166	SquadMonster	481
166	SexcMf	481
168	Meatlaugh	471
169	IWorkAtIkea	464
170	Jovaphobic	461
171	yaboo88	460
172	MeetTheWollo	449
173	IdeallyGrey	448
174	Laykon	447
175	2Stout	446
176	Hpdinosaur	444
177	Spacewardharpy7	438
178	DarkS0L	436
179	q_wq	435
180	CrateOfBoxes	433
181	Tolhart	432
181	XxCookiequeenxX	432
183	MixerDixer	429
184	fr0stss	426
185	heysushii	408
185	Drlzyy	408
187	ClemenPine	400
188	FlashMigma	399
189	Inbefour	397
190	The_slideV3	390
191	NoxxxxiS	384
192	fluddd	383
193	Matek_	382
193	John6970	382
195	Dragonlfw	381
196	DarlaMeow	378
197	UCP_TheKingK	367
198	hm947	366
199	NomadicRobin_	364
200	Hanselhoof	361
201	monolu	360
202	GLLogan2	359
203	claivin	353
204	SuperPooch06	352
205	BlancoFlaco	348
205	Xclax101	348
207	Soap_Bender	346
208	lordpipe	344
209	Megarboh	343
210	Jackster03	336
210	Ssor69	336
212	SkateboardR6	327
213	SammiWolfGirl	320
214	Roikdean	319
215	epiksk8erduck	318
216	Jackattack53	317
217	awesomeoneme	314
218	Vetral1	312
219	FishyBoy3811	310
220	VentiHilton	308
221	intropass	302
221	Septemb3r	302
221	purpolepickle	302
221	Chuglyfe	302
225	M_Patata	300
226	MasterNueve	298
227	DizzleJay311	296
228	Serval2000	295
229	MakeHistory157	287
230	chimpmunker	284
230	Agent108	284
232	ColeSnyder	281
233	rachcl	278
234	Crasswolf	274
235	gilesmcriles	272
236	ABUSNA1996	268
237	sammidk	259
238	Enigma0251	257
239	TheGameArchitect	252
240	Swexti	250
241	livingdaydreams	249
241	LordSpeed37	249
243	ItsDeltaMC	245
244	UncleDanDan	241
245	Negriuke	238
246	Steven1282598	233
247	Minc_	231
247	toj__	231
249	BlankityMcBlank	229
250	lolpoottoot	222
251	Masssonnn	220
251	07shiny	220
251	The_SlideV5	220
254	SteveCraftBlocks	219
255	potato292	217
256	Sloths_Ender	216
257	FGamerJ	208
258	nut_e	207
259	Alphanzt99	205
260	egglapras	200
261	SaltineDream	199
262	Ryker	196
263	PartyPhoenix	195
264	alderban107	193
265	thescout7	191
266	ProfessorBee	190
267	TheMilkerOfCats	188
268	Armattillo	187
269	ssleepless	185
270	Bk2Lumby4You	183
270	Healthing	183
272	ese_wn_po	182
273	Warlord324	178
274	Matorz	177
275	G1ldor	175
276	fffMike	170
277	Mattesco	165
278	Smiguli_	163
279	Gary_	162
280	_Bguette_	161
281	KingMatthew506	159
282	Renchi19	158
283	whoaluv	155
284	tramizu	154
284	ratglock	154
286	Covalents	151
286	Jimi7hits	151
288	Base_Tempest	146
288	SpaceGrenadier	146
290	Princesse_Louise	143
291	Yoaty	141
292	JustAWill_	140
293	Blaiku	137
294	YoshikageBites	136
295	sp00ky_ghost977	135
296	regulator75	131
296	ItsJWolff	131
298	DemTechAlpha	129
299	yatsuta	128
300	grislgrobl	127
