rank	username	minecraft:used/minecraft:sticky_piston
266	TheDiamondCG	10
266	WET_WET_WET	10
266	Rasmanden	10
266	GravitySaint	10
266	CalebDHawk	10
266	alderban107	10
266	little_dUki	10
266	The_SlideV5	10
275	eclipseboi	9
275	Xalithia	9
275	WWWWMWWWWWWWWWWW	9
275	benediktine1	9
275	CharlieButt	9
275	Moofyman	9
275	balin55	9
275	Nagasaki_Riku	9
275	stavgod	9
284	mariominejedi	8
284	Voxin2K	8
284	MinerDec	8
284	stuy9	8
284	EveryonesUncle	8
284	_Bguette_	8
284	Karbl	8
284	kyouma777	8
284	djancak	8
284	Spenduh	8
294	rats_life	7
294	Houstonion	7
294	Ssor69	7
294	Comma__	7
294	Scathra	7
294	Tjhodskins19	7
294	hcb238	7
