rank	username	minecraft:used/minecraft:crafting_table
99	MyNameIsJobo	122
99	Snowflowe	122
101	T045RTY	120
101	Lord_Jord	120
103	gcaisawesome	116
103	SuperPooch06	116
105	fluddd	115
106	_Dean_123	113
107	TechnoNinja64	111
108	claivin	109
108	Smiguli_	109
110	Marbz_	105
110	_Karmaa	105
112	Smashic	103
113	yulgur1	101
114	MakeHistory157	100
114	2blox	100
116	teslawolf38	99
116	Cryptacity	99
116	kinas45y5	99
119	SaucyDark	98
119	epiksk8erduck	98
121	Paint	97
121	Natty	97
121	Sral7	97
124	CharlieButt	94
124	Luigipunch989	94
126	Myszoaz	93
126	chipklip	93
128	Chromary	92
128	SkateboardR6	92
128	KG1999	92
131	Tommhh	91
132	Touched_Bread	90
132	DarlaMeow	90
134	Kakolbus	89
134	Inbefour	89
136	Spenduh	88
137	BreadBacon	87
138	Bandito_Roamer	86
138	Alteriity	86
138	whoaluv	86
138	TheEnderman548	86
138	__tomato	86
143	fw3xywashere	85
144	RebelAndroid	84
145	Quotary	83
146	DarkS0L	82
147	MOSS000	81
147	Zaridey	81
147	jcool7	81
150	RodSerlingCringe	80
150	The_slideV3	80
150	sp00ky_ghost977	80
153	diggydog67	79
154	fffMike	78
155	pappaberg	77
156	Cowison	76
156	Quaintster	76
156	Kubeusz2010	76
159	Drlzyy	75
159	Vizzoid	75
161	_Virify_	74
161	6king6colt6	74
161	Sky_light_KING	74
164	tuckerdoodle	73
165	diamondgolem35	72
166	titanlax	71
167	ProfessorBee	70
168	_Nuf	69
168	Zythose	69
168	Fuhrer_Teemo	69
168	Razzgriz	69
168	_TCARREIRA_	69
168	obzii	69
174	fkGrim	68
175	BlancoFlaco	67
175	MSK__	67
175	Ssor69	67
178	q_wq	66
178	TheDankPlatypus	66
178	IAmTheWalrus910	66
181	Cortexia	65
181	MovingFish7	65
183	PhantomsGhost_	64
183	Ecplosive	64
183	Eczbek	64
186	AuroraSkies	63
187	Megarboh	62
187	2Stout	62
187	_Boipl_	62
187	CalebDHawk	62
191	dopplexd	61
191	MyNameIsDakar	61
193	RoskobiOne	60
193	bigstankyy	60
193	Dedalus36	60
193	Flores991	60
193	Barlycorn	60
193	WyngGoy	60
193	pipejob	60
193	ZoomieZoomie	60
193	Miko_Fullbuster	60
202	BobDeBouwer1337	59
202	Maenara	59
202	wobn	59
205	Awyrlas	58
205	masskedman	58
205	SingedBread	58
205	UCP_TheKingK	58
209	himak1	57
209	Vorlice	57
211	Mr_Byzantine	56
211	NieToksikpl	56
211	prizm_	56
211	AJplaysMC_	56
211	djancak	56
216	picardred	55
216	Wowful	55
216	Optiprimus	55
216	h2p_emrld	55
220	Menthas	54
220	bloodbiter	54
220	MinttyFressh	54
220	CHUUUBZZ_99	54
220	Powowowow	54
225	Nach0Bear	53
225	RobotMinion101	53
225	TheOnlyRake	53
225	Nicserso	53
229	youhjjhhhjj	52
229	andy_rex	52
229	fred870d	52
229	FishyBoy3811	52
229	groofles	52
229	Lutres_Torane	52
235	r123moore	51
236	Ze_BaronKrigler	50
236	voiding_	50
238	_stets	49
238	Malorn_Aetherius	49
238	Deerfoot	49
238	07shiny	49
238	calamariclam_I	49
243	Euclidoris	48
243	Jimi7hits	48
243	AlphaWolfPlaysMC	48
243	ediballbearings	48
247	_Razar	47
247	heckface	47
247	crying_wolf_13	47
247	gabriels543	47
247	NomadicRobin_	47
252	awesomeoneme	46
252	eviltunix	46
252	XboxPanda	46
252	Hiryu27	46
252	Russiancat1	46
252	LexMakesHistory	46
252	Decaying_Lotus	46
252	KingMatthew506	46
252	anbbang	46
252	Zoeyfortnite	46
262	I_Am_Mushkin	45
262	jacxhadow	45
262	BronkerBrum	45
262	Steven1282598	45
262	Typadopoulos	45
262	Warlord324	45
268	seanitoo	44
268	Kamflame10	44
268	fallingemma	44
268	Felenov	44
268	Nicky19	44
268	censorsheep	44
268	Dusk_95	44
268	SSytex_X	44
276	Jackster03	43
276	Prismyst	43
276	thgrocks	43
276	sxc_	43
276	TheTrueClipse	43
276	BumbleBeever	43
276	starbits140	43
276	Deguns123	43
284	AuroraValkyrie	42
284	Tolhart	42
284	SteveCraftBlocks	42
284	_Bguette_	42
284	krutas2000	42
284	cichy096	42
284	smogfrog	42
291	elicobnoah	41
291	ShedJr_	41
291	AnnieBathory	41
291	_naturell	41
291	JESS_THE_RERE	41
291	Nycteus_	41
291	jaimshae	41
298	IWorkAtIkea	40
298	Ozixar	40
298	Bazongoman	40
