rank	username	minecraft:used/minecraft:suspicious_stew
140	ROY4LE	1
140	theonlymagikarp	1
140	TableTim	1
140	fallingemma	1
140	ImDisconnected_	1
140	mariominejedi	1
140	gabriels543	1
140	Zythose	1
140	pappaberg	1
140	Azmodan_246	1
140	Bumpy419	1
140	Felenov	1
140	Nickitoe	1
140	ApophisNova	1
140	The11thDoctor	1
140	KartivGal	1
140	F_Uhre	1
140	Shiirazu	1
140	PigDab	1
140	J4ko8_	1
140	XeroByMyth	1
140	Maenara	1
140	Tergandius	1
140	TheTrueClipse	1
140	Lord_Jord	1
140	natajimi	1
140	master9067	1
140	Ragnar2105	1
140	GigaSl	1
140	HELLO_I_AM_BEAR	1
140	YungWali	1
140	RoofTyler	1
140	drumine	1
140	GoofyBread	1
140	Fuad_R	1
140	1442	1
140	shrimp_flips	1
140	Quaintster	1
140	FreakGenius	1
140	censorsheep	1
140	Groundler	1
140	LordAurum	1
140	THEKINGLyric10	1
140	radimju	1
140	Arlosaurus	1
140	Spacewardharpy7	1
140	Leithz6	1
140	Optiprimus	1
140	sigmabich	1
140	stavgod	1
140	Eraxa	1
140	YummyBaculum	1
140	RealGroot	1
140	Phoenix_Diacou	1
140	PncakeUniverse	1
140	PortlyPete69	1
140	GlitchyPlate810	1
140	CalebDHawk	1
140	jcool7	1
140	Steelynan	1
140	IronVines	1
140	alderban107	1
140	Armetti	1
140	ConnorDanky_	1
140	cichy096	1
140	MyNamaSheff	1
140	Nicserso	1
140	FelixPSY375	1
140	JasmineGK	1
140	HesDemonPants	1
140	Kiki_Majiki	1
140	jnp_gaming	1
140	Powowowow	1
140	MandenR1	1
140	LiquidFenrir	1
140	trexgb	1
140	h2p_emrld	1
