rank	username	minecraft:used/minecraft:shulker_box
120	Shogunite	308
121	6king6colt6	303
122	Barlycorn	301
123	Warlord324	298
124	SammiWolfGirl	294
125	xxPipperDipperxx	280
126	lizardfightclub	278
127	jcool7	275
128	Inbefour	273
128	h2p_emrld	273
130	diamondgolem35	272
131	LexMakesHistory	270
132	vandmanden	269
133	_TCARREIRA_	266
134	r123moore	263
135	_Karmaa	256
135	Powowowow	256
137	KingMatthew506	254
138	mariominejedi	251
139	Deathkob	249
140	Strangemonkey71	246
141	MSK__	243
142	CollinMH06	236
143	Syropatathe	234
144	Cowison	226
145	Rocco_Lane	224
146	SpaceGrenadier	220
146	Winston_Ingram	220
148	chipklip	219
149	SkateboardR6	217
150	stavgod	215
151	EveryonesUncle	214
152	CoffeeNoir	211
153	masskedman	209
154	claivin	208
155	stahouo	207
156	burbankbuilder28	206
157	HyperCave	204
157	Sheldor097	204
159	Ryker	199
160	_Virify_	195
161	Tjhodskins19	192
161	FishyBoy3811	192
163	Njensen7	191
164	titanlax	190
165	Bandito_Roamer	187
165	egglapras	187
165	MeetTheWollo	187
168	FishisTTV	184
169	bloodbiter	182
169	IAmTheWalrus910	182
171	GlitchyPlate810	179
172	Eczbek	178
173	Z3braYTIL	177
174	Nycteus_	175
174	Cocoamallows	175
174	TechnoNinja64	175
177	Zoeyfortnite	174
178	TheOuterCore	172
178	little_dUki	172
180	301851	171
181	I_Am_Mushkin	170
182	Deodorante	168
183	Zythose	167
183	2blox	167
185	FelixPSY375	166
185	PlasticOtari	166
187	G1ldor	158
188	Batman922	157
189	Auseawesome	156
189	ibarker21	156
191	MustaLoordi	154
192	epiksk8erduck	153
193	Nicserso	152
194	TooManyDuck	151
194	tuckerdoodle	151
194	PortlyPete69	151
197	El_Jalapeno	149
198	Myszoaz	148
198	thgrocks	148
200	RobotMinion101	147
201	SteveCraftBlocks	145
202	Luigipunch989	141
203	KnightmareD	139
204	_Dean_123	137
204	laron58	137
206	Dogcorn69420	136
207	TheEnderman548	134
208	PegLegPete93	133
208	_naturell	133
210	Da_Boss_Rani	131
210	Smashic	131
212	jushykins	125
213	Hpdinosaur	124
213	Kubelz	124
213	ZeroKraken	124
213	EcksDofficial	124
217	ExtraDumb	121
217	FirsTimeGamingTV	121
217	heckface	121
220	KarlKaek	120
220	1442	120
222	hcb238	119
223	CyrusIsTired	116
223	Winklepicker279	116
225	Nicky_H225	115
225	__TheNorseMan__	115
225	Vorlice	115
225	Airem_Core	115
229	IdeallyGrey	111
230	Lepthymo	110
231	brofrickcheaters	108
232	wezzzi	107
233	Drlzyy	106
233	ssleepless	106
233	BronkerBrum	106
233	audiocracked	106
237	Leyna3	103
238	NotMeanttoChange	102
239	Truckoss	100
240	Menthas	99
240	Dreamdbr14	99
242	Quaintster	98
242	UCP_TheKingK	98
244	ZaneABrain	97
244	pappaberg	97
246	SellyZ	96
246	DarlaMeow	96
246	UrbanPlanner1978	96
249	DarkS0L	95
249	ebanana	95
251	teslawolf38	94
251	Factoroni	94
253	Incinere	93
253	The_slideV3	93
253	33sudo	93
256	LAVA129	92
257	Dan_Scha	91
257	layabout100	91
259	KGTV	89
259	fluddd	89
261	xPixelRainx	86
261	BlankityMcBlank	86
263	Aezekial	85
264	Chickenchaser2	84
265	Covalents	83
265	Kubeusz2010	83
267	seramalen	81
267	KliBeast21	81
267	The_SlideV5	81
270	Merv__	80
270	gustarbite	80
270	PlzNoBM	80
273	Groovy_MoonBird	79
273	HesDemonPants	79
275	Gundam_Steven	78
275	surfinggiraffejp	78
275	Nagasaki_Riku	78
278	ShedJr_	77
279	Maenara	76
280	Dedalus36	74
280	ItsDeltaMC	74
280	__tomato	74
280	AltnumberF4	74
284	soundad	73
285	501g	72
286	Nesquiczek	71
286	NotKaden_	71
286	SuperPooch06	71
286	MangoTheFish	71
286	Optiprimus	71
291	Ecplosive	70
292	ProfessorBee	69
292	CruncyIsTaken	69
292	SpookyDraggin	69
295	boog4loo	68
295	LilyNova	68
297	King_Pancake1	66
297	censorsheep	66
299	Jaka_Saurus_715	65
300	CSG_Haru	64
