rank	username	minecraft:used/minecraft:polished_diorite
240	H72l9w	18
240	Historical_Sand	18
240	Auseawesome	18
240	500am	18
244	SquadMonster	16
244	Fullut	16
244	Di_infiri	16
244	pappaberg	16
244	RobotMinion101	16
244	DemTechAlpha	16
250	Spenduh	15
250	Haadrada	15
250	TechnoNinja64	15
253	Argraol	14
253	loveseeker	14
253	stavgod	14
253	YungMaki	14
257	redikul	13
258	Rasmanden	12
259	nataliecool	11
259	claivin	11
259	Racengan	11
262	Ardennes	10
262	PegLegPete93	10
262	eSpawNa	10
262	godipose	10
262	Eraxa	10
262	xof_on_microwave	10
262	NoxXIV	10
269	rats_life	9
269	mariominejedi	9
269	pixelviolin	9
272	dream_mist	8
272	Drewen24	8
272	Seashimi	8
275	SaucyDark	7
275	tramizu	7
275	SUSUGAM	7
275	byFlixxx	7
279	_Nuf	6
280	Avrelion	5
280	thewindmillman	5
280	Zythose	5
280	lcvezra	5
284	thescout7	4
284	ApophisNova	4
284	madderfall	4
284	E775	4
284	Jamstroxian	4
284	__tomato	4
284	Kubeusz2010	4
284	MyNamaSheff	4
284	WYFYoyo	4
293	heysushii	3
293	Prodiginus	3
293	lilsay	3
293	Kkanot	3
293	egglapras	3
293	Bobby808	3
293	The11thDoctor	3
293	sadvavilloso	3
