rank	username	minecraft:used/minecraft:melon_slice
137	andy_rex	60
137	sp00ky_ghost977	60
140	noam464	59
140	Mpkkiller	59
142	Barlycorn	58
143	Merv__	56
143	Zoeyfortnite	56
145	Natofthese	55
145	CantinaTaco	55
145	Drewen24	55
148	Ozixar	54
148	DaviusMaximoose	54
148	groofles	54
151	ibarker21	53
152	BodaciousCake	51
153	Jovaphobic	50
153	Soul_Atreus	50
155	Nach0Bear	49
156	TakeThis2UrGrave	48
157	IceYoung	46
157	Kubelz	46
157	Russiancat1	46
157	Tobias0113	46
161	SellyZ	45
161	SkateboardR6	45
163	Nicky_H225	44
163	TheMiddayMoon	44
163	Vorlice	44
163	WyngGoy	44
167	Michaelelelelele	43
167	slkiey	43
167	Matyyy15	43
170	_Bguette_	42
171	titanlax	40
171	coobert42	40
173	BlancoFlaco	39
173	Darkgon	39
173	lcvezra	39
176	diggydog67	38
177	Bandito_Roamer	37
177	BD01	37
177	Swexti	37
177	AngalexikCZ	37
177	SuperStreetCat	37
177	CasperHxly	37
183	Lez_	36
183	BRRRN179	36
183	cedric72	36
183	pk1297	36
187	WhatchaEaton	35
187	Captain_Hardtak	35
189	Doom_melon	34
189	Freak_Genius	34
189	halfbakedlasagna	34
189	Goat_Man512	34
193	ItsJunoIGuess	33
194	Schwarz323	32
194	nocturne78	32
194	RodSerlingCringe	32
194	Nagasaki_Riku	32
194	jalapenodinosaur	32
199	aj3512	31
199	CalebDHawk	31
201	imaginek1d	30
201	PlasticOtari	30
203	Bad_At_Names_Guy	29
203	fkGrim	29
203	Babushka0430	29
206	XxCookiequeenxX	28
206	PartyPhoenix	28
208	SquadMonster	27
208	Shazzyling	27
208	Norrhede	27
208	SokaOtaku	27
208	marumochis	27
208	ImagineRamen	27
208	YungMaki	27
215	Frozil20	26
215	MonitorLizards	26
215	thgrocks	26
215	Skippeh	26
219	rarrq	25
219	Malorn_Aetherius	25
219	YungJakobo	25
219	_Nuf	25
219	mwrty	25
224	_Dean_123	24
224	2Stout	24
224	LePhotographes	24
224	Th6masss	24
224	silverpopcorn	24
229	the_fireminer	23
229	Stright_	23
229	blackdusk6	23
229	platinumzero	23
229	PigDab	23
229	DominusBeryl	23
229	KasterNM	23
229	Omar_Alone	23
229	yatsuta	23
238	Dedalus36	22
238	HollieDaNugget	22
238	Jackster03	22
238	fw3xywashere	22
242	Crasswolf	21
242	Hiryu27	21
242	Skylord_Luke	21
242	Lord_Zacler	21
242	Quaintster	21
242	Deguns123	21
248	T045RTY	20
248	Susscra	20
248	Hormones	20
248	Howertt	20
248	WET_WET_WET	20
248	seramalen	20
248	CruncyIsTaken	20
248	rotten_mango	20
256	nevywop	19
256	KGTV	19
256	Soplight	19
256	RadarHz	19
256	00000000-0000-0000-0009-01ff0c3e5e4f	19
261	prodby_Lyka	18
261	bloodbiter	18
261	lordsaladito	18
261	NLKBuilder	18
261	msJabberwock	18
261	SkyHighSkier	18
267	CryoInferno_	17
267	fallingemma	17
267	MyNameIsJobo	17
267	parodypatient	17
267	ElderRifken	17
267	HELLO_I_AM_BEAR	17
267	Winston_Ingram	17
274	Mr_Byzantine	16
274	I_snowy_I	16
274	InfernalMound	16
274	plowingmonkey	16
274	Awyrlas	16
274	RyuNeko932000	16
274	starbits140	16
274	Poppy235	16
274	anbbang	16
283	Batman922	15
283	bbrothers_5	15
283	UncreativeArtist	15
283	RefluxRatio	15
283	Leyna3	15
283	radioactv_jelly	15
283	Wenceslavs	15
283	AoiMiyabi	15
283	SirBreadward	15
283	Cheez1	15
293	RebelAndroid	14
293	shneed	14
293	bbquakes	14
293	_Minnty_	14
293	TylerDupree	14
293	Felenov	14
293	Alfman007	14
293	stuy9	14
