rank	username	minecraft:used/minecraft:blue_shulker_box
133	ogoa	33
136	Hiryu27	31
136	fffMike	31
138	mariominejedi	30
138	lillips	30
138	tsitrawhy	30
141	Lukeee33	29
141	Smashic	29
141	The_slideV3	29
144	jushykins	27
144	FreakGenius	27
144	GoofySilly	27
144	voiding_	27
144	Fizznut909	27
149	CadenSteele	25
149	ApophisNova	25
149	OG_Songsee	25
149	Dreamdbr14	25
149	MyNamaSheff	25
154	chipklip	24
154	Jakobo1337	24
154	redikul	24
154	Zaridey	24
154	cedric72	24
154	Hisiste	24
160	titanlax	23
161	SaucyDark	22
161	Rich_Kat	22
161	Syropatathe	22
161	Optiprimus	22
165	sammidk	21
165	Juh1s	21
167	MattieHD	20
167	prizm_	20
167	Akoot_	20
167	LexMakesHistory	20
171	LeGold	19
171	Njensen7	19
173	emrekn	18
173	audiocracked	18
173	masskedman	18
173	iSammael	18
173	yatsuta	18
178	ssleepless	17
178	Marbz_	17
178	Lutres_Torane	17
178	THEKINGLyric10	17
178	MakeHistory157	17
178	Razzgriz	17
184	Ailmast	16
184	MinttyFressh	16
184	SeverianTheLame	16
187	PazinGaming	15
187	Historical_Sand	15
187	shyshyannne	15
187	Inchef	15
187	RoBe__	15
187	the__Reaper4999	15
187	Eczbek	15
194	ITDV	14
194	SteveCraftBlocks	14
194	PigDab	14
194	_Karmaa	14
198	MixerDixer	13
198	Quaintster	13
198	UCP_TheKingK	13
198	KingMatthew506	13
202	TAKrules	12
203	EMC_	11
203	Incinere	11
203	ProfessorBee	11
203	Covalents	11
203	NomadicRobin_	11
203	GravitySaint	11
203	ElKaySVK	11
203	lcvezra	11
211	Mahoose	10
211	_Dean_123	10
211	Rebytre	10
214	Xalithia	9
214	Rumpletaezer	9
214	El_Jalapeno	9
214	ProfessorDiaper	9
214	Iamthejo	9
219	SmashingPump	8
219	Euclidoris	8
219	xxPipperDipperxx	8
219	FishyBoy3811	8
219	ZA07	8
219	Agent108	8
219	Nycteus_	8
219	_Dri_	8
227	zorin123	7
227	SellyZ	7
227	King_Pancake1	7
227	IamCL4SSY	7
227	ReSynced	7
227	SpacesickPrism	7
227	FelixPSY375	7
234	IWorkAtIkea	6
234	Crowman1	6
234	UncreativeArtist	6
234	hanaryheatwave	6
234	Truckoss	6
234	Racengan	6
234	IdeallyGrey	6
234	Smoke____	6
242	jessewegottacook	5
242	Queen_Jalapeno	5
242	MangoTheFish	5
242	Leyna3	5
242	DTwenty	5
242	Dogcorn69420	5
242	88Hazza88	5
242	anbbang	5
250	nattybears	4
250	fr0stss	4
250	WET_WET_WET	4
250	weabis	4
254	Yirtle	3
254	Eraza	3
254	ROY4LE	3
254	nitram49b	3
254	pappaberg	3
254	Maenara	3
254	TheCordicus	3
254	_Bguette_	3
254	KSI	3
254	SexcMf	3
254	MilleGrug	3
254	JayToe	3
266	Groovy_MoonBird	2
266	Mr_Byzantine	2
266	Sleek_Storm_721	2
266	ExtraDumb	2
266	Wooptey	2
266	livingdaydreams	2
266	Octatrack	2
266	Sparky_KT	2
266	Nostrom	2
266	Arceus1975	2
266	bearlystraight	2
266	DominusBeryl	2
266	fw3xywashere	2
266	shrimp_flips	2
266	Dusk_95	2
266	LeEricc	2
266	K_a__a_n	2
266	The_SlideV5	2
266	xolstoi	2
266	FishisTTV	2
286	Bandito_Roamer	1
286	LeDuctTape	1
286	TooManyDuck	1
286	NatrixxddxYT	1
286	ShedJr_	1
286	nocturne78	1
286	Malorn_Aetherius	1
286	NotMeanttoChange	1
286	Cellcorgi649	1
286	M_Patata	1
286	Kakolbus	1
286	CollinMH06	1
286	xambsam	1
286	Kondzik2008	1
286	Solar_Power	1
