rank	username	minecraft:used/minecraft:wooden_axe
260	RoyalDorrr	40
260	561cool	40
265	Butternutsquatch	39
265	musique99	39
265	ComplexSquirrel	39
268	Elprone266	38
268	HumanBeing112	38
270	beeperbeeper5	37
270	MooxPlaysRust	37
270	BumbleBeever	37
270	Spacewardharpy7	37
270	Catharsist	37
270	Miko_Fullbuster	37
270	the_cocos	37
277	jbow022	36
277	KazmaninSapi	36
277	420joe	36
277	EllaBellaChu	36
277	Cheesebal1	36
277	Andzic	36
277	Marahuyo00	36
277	MAns_44	36
277	Testificate_517	36
286	SilentFatGuy	35
286	rpmm	35
286	Phantom7569	35
286	0nly_sn1per	35
286	PumpkinPie1600	35
286	aa2x_	35
286	Nagasaki_Riku	35
293	RED_DOG_	34
293	Kegradigm	34
293	error10101	34
293	r123moore	34
293	Purplehere	34
293	SpaggeDR	34
293	Snart_Sniffler	34
293	Universz	34
