rank	username	minecraft:used/minecraft:oak_sign
171	Covalents	50
171	XboxPanda	50
173	ABUSNA1996	48
173	Guillemet	48
173	DarlaMeow	48
173	CSG_Haru	48
173	CalebDHawk	48
178	Scathra	47
178	Luigipunch989	47
180	yaboo88	46
180	PigDab	46
182	Malorn_Aetherius	45
182	SuperPooch06	45
182	xorompole	45
185	AJplaysMC_	44
185	_naturell	44
187	Z3braYTIL	43
187	himak1	43
189	G1ldor	41
189	Steven1282598	41
189	Kyrum2169	41
189	Skippeh	41
189	h2p_emrld	41
194	livingdaydreams	40
194	Swexti	40
194	WET_WET_WET	40
194	_Bguette_	40
198	Auseawesome	39
198	slkiey	39
198	gcaisawesome	39
198	LordSpeed37	39
198	stahouo	39
198	anbbang	39
204	Matemaks2137	38
204	shdesolt	38
204	chipklip	38
204	yatsuta	38
208	Incinere	37
208	_8man	37
208	Shogunite	37
208	cog	37
208	AvaRosey	37
208	Kowcio_	37
208	gaming4Naming	37
215	FirsTimeGamingTV	36
215	LexMakesHistory	36
215	GoofyBread	36
215	mawileite	36
215	BreadBacon	36
220	Kouridragon	35
220	bpmm	35
220	audiocracked	35
220	Nekomin0	35
220	Nicserso	35
225	Mewar	34
225	ItzYaBoiPicard	34
225	seramalen	34
228	Jovaphobic	33
228	Tmb1	33
228	Zythose	33
228	RoboTramp7865	33
232	DSYisDizzy	32
232	EcksDofficial	32
234	Xalithia	31
234	IAmTheWalrus910	31
234	diggydog67	31
237	dongli	30
237	set67	30
237	burbankbuilder28	30
237	Fildyr	30
237	PlzNoBM	30
242	jushykins	29
242	Gryglu583	29
244	TheDankPlatypus	28
244	Jackattack53	28
244	RyuNeko932000	28
244	FishyBoy3811	28
244	Drewen24	28
244	Darkgon	28
244	GravitySaint	28
244	Kferno	28
244	Vellu21	28
253	Flores991	27
253	MrExplorer	27
253	DermeinUser	27
253	RodSerlingCringe	27
253	33sudo	27
253	_TCARREIRA_	27
253	Teebone15	27
260	TooManyDuck	26
260	King_Pancake1	26
260	Corbsman	26
260	Lord_Zacler	26
264	Louiis123	25
264	jimbo61101jr	25
264	MSK__	25
264	fred870d	25
264	ILoveCarrot	25
264	Quincannon	25
264	ayamefag	25
264	laron58	25
264	blimpeey	25
273	hzs91	24
273	ProfessorBee	24
273	Aatronix1	24
273	Chromary	24
273	ClemenPine	24
273	NameGenerat0r	24
273	PortlyPete69	24
280	Drlzyy	23
280	Ilinca_Io	23
280	Stynxy	23
280	eclipseboi	23
280	wiqor	23
280	thewindmillman	23
280	SSytex_X	23
280	ThatBurritoTh0	23
288	Hyugo	22
288	Motsaro	22
288	theonlymagikarp	22
288	fffMike	22
288	Dreamdbr14	22
293	Comma__	21
293	jacxhadow	21
293	GLLogan2	21
293	IforgotCS_Source	21
293	NotMeanttoChange	21
293	benediktine1	21
293	Nyxiom_	21
293	Leyna3	21
