rank	username	minecraft:used/minecraft:tnt
97	Lord_Jord	475
98	pr33tu	451
99	yheece	446
100	FishisTTV	440
101	Elastiq	439
102	gren_ben	435
103	Onennon	434
104	pixelviolin	427
105	Marbz_	425
106	imcombxt	423
107	fffMike	413
108	NoChumpChange	388
108	MissCeleste7	388
110	_Boipl_	383
111	ReSynced	372
112	AltnumberF4	371
113	Bumpy419	367
114	MilleGrug	357
115	Secret_Canary	355
116	lorpus	349
117	monky_irl	347
118	CLG_Kata	346
118	EMC_	346
120	Arceus1975	341
121	HesDemonPants	335
122	Legendosh	332
123	Frozil20	312
124	Crafter45	311
125	Awesomely_SYD	300
126	hanaryheatwave	293
127	calamariclam_I	285
128	k1ngGilgamesh	278
129	PlzNoBM	268
130	TheWildMateo	265
131	excelsionprime	264
132	iSammael	263
133	xolstoi	254
134	non089	245
135	PA_Tech_Gaming	242
136	Mattesco	240
137	hm947	239
138	gcaisawesome	234
139	benediktine1	233
140	Groovy_MoonBird	230
141	Merv__	225
142	LazySupport00	222
143	ProbsNotNova	221
144	AlexxO_o	219
145	CollinMH06	216
146	Snowflowe	215
147	Tyrannosplart	213
148	fr_ser	212
148	oscminus	212
148	claivin	212
151	I_Moose	206
152	xzvu	199
153	Inchef	198
154	Steve897	197
155	sp00ky_ghost977	196
156	Blu3beast	193
157	ccwildfire1	190
158	obzii	188
159	prizm_	181
160	Ezekson	179
161	KGTV	176
162	lillips	171
163	LilyNova	169
164	Quaintster	166
165	Eczbek	162
166	Eraxa	157
167	4774	140
168	Yungandspicy	137
169	AuroraSkies	135
170	GooseWithin	132
171	_Karmaa	131
172	__tomato	130
173	EveryonesUncle	129
173	501g	129
173	deadshot16	129
176	KarlKaek	126
177	Kubeusz2010	125
178	skrongus	124
179	Soplight	123
180	Wanjibon	120
181	SaphLaseer	119
181	Krowuss	119
183	ZeroAbyssTTV	118
184	Frach23	115
185	Hiryu27	114
185	LexMakesHistory	114
187	Soap_Bender	113
188	tartanboy	112
189	fluddd	110
190	SmashingPump	109
191	FreddyFart	106
192	Cowison	105
193	Jonte0599	103
194	pappaberg	102
194	Nicky19	102
196	tsitrawhy	100
196	ConnorDanky_	100
198	jushykins	99
198	Druid95	99
200	Chickenchaser2	95
201	Mahoose	94
202	Flores991	93
202	Eczbox	93
204	mariominejedi	92
205	Dogcorn69420	90
206	MrQuanQuan	89
207	gustarlep	88
208	Swexti	87
209	__Auspicious	83
209	Luigipunch989	83
209	alderban107	83
212	Mr_Teddiursa_K	81
213	SvenskaAlvar	79
214	Yatitay	76
214	Kateesaur	76
216	Kazekage	72
216	diggydog67	72
218	MrKrabOnCoke	71
218	whoaluv	71
218	TheEnderMan548	71
221	TheImperial	70
222	chipklip	69
222	Aeons666	69
224	Apollo_993	66
224	Aryamanee	66
226	Da_Boss_Rani	64
226	rarrq	64
226	noodlepack	64
229	InfernalMound	62
230	_Bguette_	61
231	MineMaster0012	60
231	cichy096	60
233	thescout7	58
234	ImpavidArcher	56
235	El_Jalapeno	54
235	lcvezra	54
235	Sral7	54
238	starbits140	53
239	Rumpletaezer	51
239	NameGenerat0r	51
241	I_Am_Mushkin	50
241	Sorins	50
243	Blackberry1310	46
243	Fullut	46
243	cedric72	46
246	MattieHD	41
247	elicobnoah	40
247	Hpdinosaur	40
249	MakeHistory157	38
250	moolerbooler2	37
251	ebanana	35
251	TechnoNinja64	35
253	Creativebuilder2	34
253	Motsaro	34
253	aymonkey	34
256	Ibrahim00	33
257	himak1	32
258	H72l9w	31
258	UCP_TheKingK	31
260	Leithz6	29
260	h2p_emrld	29
262	emrekn	28
262	SvenskaHugo	28
264	diamondgolem35	27
264	Diavri	27
266	ROY4LE	26
267	TheShyPig	25
268	LordSpeed37	23
269	ogoa	22
269	stavgod	22
269	sadvavilloso	22
269	Nicserso	22
269	Powowowow	22
274	lotarp	21
274	Tmb1	21
276	jamesq133	20
276	mimbo1211	20
276	F_Uhre	20
276	Martin_198	20
276	Zoeyfortnite	20
281	Windo_licker	19
282	ShedJr_	18
282	SSytex_X	18
282	WYFYoyo	18
285	ooga47	17
285	J4k__	17
285	xDraggin	17
285	censorsheep	17
285	Fizznut909	17
290	WyngGoy	16
291	drompje	15
292	Zaridey	14
292	SpouHn	14
292	OffWithTheirHead	14
292	IdeallyGrey	14
292	NATE_the_HALO	14
292	00000000-0000-0000-0009-01ff0c3e5e4f	14
298	GreedyFern8581	13
298	groofles	13
298	ChiefThrock	13
