rank	username	minecraft:used/minecraft:cooked_chicken
268	RedcatVII	26
268	Heisenbberrg	26
268	jcool7	26
268	MirielThePastor	26
275	Tommhh	25
275	lotarp	25
275	PeteO1995	25
275	Jiminbub	25
279	Mr_Byzantine	24
279	CryoInferno_	24
279	__TheNorseMan__	24
279	ese_wn_po	24
279	non089	24
279	PlzNoBM	24
285	gaziter10	23
285	Enigma0251	23
285	Winklepicker279	23
285	IamCL4SSY	23
285	Kateesaur	23
290	ETILEROP	22
290	Paintz	22
290	prizm_	22
290	The_Cruncy	22
290	weabis	22
295	Simon_Lowell	21
295	Ssor69	21
295	SvenskaSara	21
295	queenalina123	21
295	bloomkieren	21
295	FelixPSY375	21
